N	2gram	Ircho_Kome	PoTuStor
1	может быть	14	17
2	и в	37	16
3	мы можем	7	9
4	в этом	18	9
5	таким образом	16	9
6	прежде всего	7	9
7	и с	5	8
8	точки зрения	8	8
9	совершенно не	2	8
10	не может	9	8
11	и его	10	8
12	сказать что	4	7
13	не только	13	7
14	с его	6	7
15	и это	4	6
16	с точки	6	6
17	к отцу	2	6
18	конечно не	4	6
19	самом деле	13	6
20	я и	2	6
21	и к	4	6
22	при этом	11	6
23	ни в	14	5
24	как бы	7	5
25	только для	2	5
26	нуждается в	2	5
27	еще не	10	5
28	в чем	7	5
29	отношение к	7	5
30	как мы	6	4
31	и на	6	4
32	все это	7	4
33	его в	9	4
34	в его	12	4
35	и ее	3	4
36	но и	18	4
37	и не	28	4
38	и все	6	4
39	но в	7	4
40	с самого	5	4
41	в этой	7	4
42	так как	16	4
43	все что	6	4
44	и может	2	4
45	только в	3	4
46	в нем	8	4
47	хотя бы	5	4
48	так и	4	4
49	самого начала	5	4
50	отнюдь не	5	4
51	и даже	6	4
52	едва ли	16	3
53	назад в	2	3
54	что в	11	3
55	даже не	5	3
56	и теперь	2	3
57	и как	3	3
58	и потому	2	3
59	тех же	3	3
60	а в	12	3
61	в том	24	3
62	их в	3	3
63	по сравнению	3	3
64	и вот	3	3
65	с другими	2	3
66	между ними	4	3
67	в области	3	3
68	до сих	12	3
69	и есть	3	3
70	во время	8	3
71	сравнению с	3	3
72	в этих	2	3
73	чем не	2	3
74	в конечном	2	3
75	отношения к	2	3
76	как это	5	3
77	то что	5	3
78	только как	2	3
79	во всех	4	3
80	могут быть	3	3
81	сих пор	12	3
82	всяком случае	3	3
83	вместе с	16	3
84	в одном	3	3
85	к себе	9	3
86	на этом	3	3
87	мы знаем	2	3
88	во всяком	3	3
89	том что	22	3
90	в основе	3	3
91	один из	6	2
92	никогда не	5	2
93	для нас	7	2
94	все остальные	2	2
95	что мы	4	2
96	по своему	3	2
97	мы видим	2	2
98	на них	3	2
99	в них	6	2
100	к ним	5	2
101	для этого	3	2
102	и для	7	2
103	что не	5	2
104	аналогии с	2	2
105	и по	3	2
106	таким путем	2	2
107	а на	3	2
108	что и	12	2
109	не менее	9	2
110	нет никаких	2	2
111	и мы	5	2
112	было бы	7	2
113	не могут	2	2
114	как не	2	2
115	о том	21	2
116	то же	14	2
117	они не	2	2
118	с этим	5	2
119	как и	10	2
120	что он	15	2
121	так же	8	2
122	говорить о	6	2
123	да еще	3	2
124	того же	9	2
125	в своей	6	2
126	мы не	6	2
127	себя и	2	2
128	это делает	2	2
129	ни было	3	2
130	из этих	2	2
131	в самом	17	2
132	в начале	5	2
133	с этой	5	2
134	в свое	2	2
135	не на	3	2
136	в частности	4	2
137	войти в	2	2
138	он не	11	2
139	в голову	2	2
140	у него	10	2
141	если мы	2	2
142	со всеми	2	2
143	при всей	2	2
144	и о	3	2
145	за пределы	3	2
146	к этому	11	2
147	конечном счете	3	2
148	в развитии	3	2
149	нет и	4	2
150	по всему	3	2
151	меньше всего	5	2
152	с помощью	4	2
153	не знает	7	2
154	в пределах	3	2
155	и этим	3	2
156	не будет	2	2
157	с ним	10	2
158	между собой	5	2
