N	3gram	Tiupa_Anal	Vladivir
1	в том что	12	29
2	о том что	7	22
3	тем не менее	3	18
4	и то что	2	14
5	дело в том	3	13
6	во всяком случае	6	12
7	к тому же	7	11
8	в то же	7	10
9	с точки зрения	2	10
10	не может быть	2	10
11	то же время	7	9
12	в свое время	4	7
13	том что он	2	6
14	в данном случае	11	6
15	в отличие от	5	6
16	с другой стороны	7	6
17	так или иначе	5	6
18	не только в	5	5
19	в сравнении с	2	5
20	по крайней мере	5	4
21	сам по себе	2	4
22	можно сказать что	2	4
23	в этом отношении	3	4
24	с одной стороны	3	4
25	в том чтобы	2	4
26	что он не	2	3
27	так и не	5	3
28	не только не	3	3
29	что несмотря на	2	3
30	в свою очередь	7	3
31	а в том	2	3
32	и прежде всего	2	2
33	так и его	2	2
34	в ответ на	2	2
35	в таком случае	2	2
