N	2gram	Trubetskoy	Formalny
1	и в	24	95
2	и не	9	78
3	может быть	17	66
4	в этом	13	61
5	не может	18	57
6	вовсе не	2	53
7	таким образом	34	52
8	и его	2	51
9	так и	10	50
10	точки зрения	14	47
11	в нем	3	42
12	в его	5	42
13	прежде всего	3	41
14	с точки	8	40
15	как и	10	39
16	не в	9	35
17	в самом	8	35
18	в процессе	2	34
19	но и	11	33
20	то же	4	32
21	самом деле	12	32
22	не только	10	30
23	в том	31	26
24	отнюдь не	2	26
25	если бы	8	26
26	то что	18	25
27	на самом	7	24
28	при этом	9	24
29	лишь в	5	24
30	на почве	3	24
31	в ней	3	23
32	связи с	4	23
33	было бы	3	23
34	в то	6	22
35	и ее	2	22
36	в истории	3	21
37	как бы	10	21
38	что в	9	21
39	и с	5	21
40	в их	4	20
41	не менее	7	20
42	между ними	2	20
43	и от	5	20
44	с тем	4	20
45	как мы	3	20
46	же время	2	20
47	не могут	4	19
48	все это	13	19
49	хотя бы	4	19
50	все же	15	18
51	и все	9	18
52	все эти	19	18
53	в связи	3	18
54	должна быть	6	18
55	и их	5	18
56	только в	6	18
57	социальной жизни	4	17
58	так же	8	16
59	во всяком	2	16
60	совершенно не	4	16
61	с другой	6	16
62	потому что	9	16
63	всяком случае	2	16
64	его в	5	15
65	но в	5	15
66	бы в	3	15
67	так как	7	15
68	должно быть	5	15
69	во всех	10	15
70	именно в	5	15
71	и на	6	15
72	что он	7	14
73	в целом	5	14
74	в своем	12	14
75	еще не	6	14
76	в жизни	3	14
77	в этой	7	14
78	если мы	4	14
79	и потому	3	14
80	жизни и	2	14
81	вместе с	7	14
82	в настоящее	3	13
83	настоящее время	3	13
84	того что	7	13
85	а в	3	13
86	что же	2	13
87	что и	7	13
88	сводится к	2	13
89	независимо от	2	13
90	в результате	9	13
91	она не	2	13
92	по отношению	11	12
93	того чтобы	8	12
94	к тому	8	12
95	отношению к	11	12
96	и для	6	12
97	никогда не	4	11
98	они не	2	11
99	в общем	6	11
100	в основе	2	11
101	но не	3	11
102	то ни	4	11
103	что они	2	11
104	для него	2	11
105	зависимости от	2	11
106	между тем	12	11
107	не есть	4	10
108	друг друга	2	10
109	не было	2	10
110	в дальнейшем	4	10
111	по существу	7	10
112	бы то	3	10
113	мы видели	2	10
114	другой стороны	5	10
115	с ее	2	10
116	в своих	2	10
117	конечно не	3	10
118	он не	4	10
119	если же	3	10
120	тем же	2	10
121	быть и	5	9
122	и до	3	9
123	и может	3	9
124	у нас	3	9
125	в свою	2	9
126	ни было	3	9
127	говорить о	2	9
128	мы знаем	10	9
129	это не	3	8
130	между собой	4	8
131	до сих	15	8
132	одной стороны	2	8
133	и те	2	8
134	в них	2	8
135	с одной	3	8
136	в области	4	8
137	же как	3	8
138	для этого	7	8
139	что это	5	8
140	с этим	12	8
141	в данном	3	8
142	всех этих	4	8
143	сих пор	15	8
144	следует что	2	8
145	из этого	7	8
146	должен быть	2	8
147	и к	5	8
148	в сторону	3	8
149	для того	8	8
150	не следует	2	8
151	ясно что	8	8
152	следовательно и	2	7
153	том что	20	7
154	в себе	5	7
155	свою очередь	2	7
156	как к	5	7
157	или менее	8	7
158	более или	8	7
159	во втором	2	7
160	в сущности	2	7
161	к этому	5	7
162	и наконец	3	7
163	и только	2	7
164	и более	2	7
165	но все	5	7
166	столь же	5	7
167	ничем не	5	7
168	из них	5	7
169	высшей степени	2	7
170	в высшей	2	7
171	данном случае	3	6
172	тем самым	3	6
173	в которой	5	6
174	ее и	4	6
175	в конце	4	6
176	отношение к	4	6
177	на этом	2	6
178	и других	3	6
179	у них	6	6
180	в частности	2	6
181	и это	3	6
182	тому что	2	6
183	в этих	3	6
184	те же	2	6
185	этого слова	2	6
186	должны быть	3	6
187	из этих	8	6
188	при таком	2	6
189	отличается от	6	6
190	но для	2	6
191	такой же	2	6
192	от нее	2	6
193	жизнь и	3	6
194	о том	7	6
195	их в	2	6
196	если он	2	6
197	только не	2	6
198	с ним	6	6
199	той же	2	6
200	даже в	3	5
201	мы должны	4	5
202	что оно	3	5
203	от того	3	5
204	в виду	2	5
205	на все	5	5
206	мы уже	4	5
207	отличие от	3	5
208	не так	4	5
209	и истории	5	5
210	в такой	4	5
211	и по	3	5
212	все без	2	5
213	хотя и	4	5
214	и то	4	5
215	не от	2	5
216	то в	2	5
217	то и	2	5
218	в мире	6	5
219	мы можем	6	5
220	в эту	2	5
221	с этой	3	5
222	для нас	3	5
223	к нему	2	5
224	не имеет	2	5
225	в самой	2	5
226	в котором	2	5
227	а лишь	3	5
228	и что	9	5
229	таким же	3	5
230	как на	6	5
231	в нашем	3	5
232	вопрос о	3	5
233	все дело	2	4
234	очевидно что	3	4
235	от него	3	4
236	но даже	3	4
237	одним из	4	4
238	конце концов	4	4
239	входящих в	2	4
240	он должен	2	4
241	тогда когда	3	4
242	между двумя	5	4
243	того же	9	4
244	так чтобы	2	4
245	не будет	5	4
246	во всей	2	4
247	от тех	3	4
248	этот процесс	2	4
249	имеет место	2	4
250	одна из	2	4
251	нет в	2	4
252	возможно лишь	3	4
253	тех же	2	4
254	только то	2	4
255	а к	2	4
256	тем не	4	4
257	на него	2	4
258	целый ряд	4	4
259	как не	2	4
