N	2gram	Ircho_Kome	FransuaR
1	и в	37	367
2	в этом	18	112
3	и не	28	101
4	таким образом	16	100
5	и его	10	99
6	в его	12	98
7	прежде всего	7	92
8	не только	13	87
9	но и	18	84
10	как бы	7	82
11	вовсе не	6	77
12	как и	10	76
13	в нем	8	75
14	но в	7	75
15	в эпоху	2	75
16	и на	6	72
17	в том	24	71
18	как мы	6	71
19	то же	14	66
20	и все	6	66
21	так и	4	65
22	в этой	7	65
23	в них	6	65
24	в сущности	3	64
25	и с	5	64
26	во время	8	63
27	в то	14	63
28	все это	7	62
29	во всех	4	62
30	же время	12	55
31	что в	11	52
32	в своем	9	51
33	только в	3	48
34	так как	16	46
35	и до	2	46
36	том что	22	45
37	здесь в	2	41
38	то что	5	41
39	у него	10	40
40	в самом	17	38
41	точки зрения	8	37
42	в ней	7	37
43	с его	6	36
44	может быть	14	35
45	мы видим	2	35
46	он был	6	35
47	о том	21	35
48	до нас	7	34
49	сказать что	4	34
50	и даже	6	34
51	в себе	4	34
52	в конце	14	32
53	он не	11	32
54	в своей	6	31
55	нового времени	5	31
56	до конца	4	31
57	так же	8	30
58	никогда не	5	30
59	и потому	2	30
60	той же	2	30
61	один из	6	30
62	потому что	19	30
63	но он	3	30
64	в этих	2	29
65	не может	9	29
66	еще не	10	29
67	его в	9	29
68	не в	7	29
69	при этом	11	29
70	в одном	3	29
71	связи с	5	29
72	что он	15	29
73	из них	11	28
74	в основе	3	28
75	в той	2	28
76	здесь и	3	28
77	и к	4	28
78	роль в	3	27
79	сих пор	12	27
80	по своему	3	27
81	до сих	12	27
82	том числе	2	27
83	все же	9	27
84	с помощью	4	25
85	в области	3	25
86	отношение к	7	24
87	того чтобы	9	24
88	в ее	3	24
89	и от	3	24
90	в частности	4	24
91	например в	3	24
92	но не	9	24
93	как в	4	24
94	и у	4	24
95	он и	5	24
96	времени и	2	24
97	и для	7	23
98	это не	3	23
99	в их	5	23
100	с ним	10	23
101	и здесь	11	23
102	к нему	8	23
103	и о	3	22
104	и во	3	22
105	даже в	3	22
106	а в	12	22
107	что и	12	22
108	тем что	12	22
109	вместе с	16	22
110	не было	6	22
111	в своих	4	21
112	в качестве	4	21
113	в отношении	4	21
114	ни в	14	21
115	одним из	2	21
116	и как	3	21
117	уже в	3	21
118	в образе	5	20
119	а также	3	20
120	как раз	9	20
121	одной из	4	20
122	этом отношении	2	20
123	в виду	3	20
124	они были	2	20
125	с точки	6	20
126	самом деле	13	20
127	и это	4	20
128	в связи	4	20
129	того же	9	19
130	в дальнейшем	5	19
131	их в	3	19
132	во всем	2	19
133	хотя и	6	19
134	к этому	11	19
135	в ту	2	19
136	было бы	7	19
137	за пределы	3	19
138	далеко не	3	19
139	с другой	5	19
140	это в	2	18
141	со всеми	2	18
142	на этом	3	18
143	здесь не	2	18
144	числе и	2	17
145	для того	9	17
146	но все	5	17
147	можно было	3	17
148	в результате	2	17
149	на площади	4	17
150	на его	5	17
151	и вот	3	17
152	еще более	4	17
153	такой же	2	17
154	конечно не	4	17
155	а не	5	17
156	между тем	6	16
157	тот же	11	16
158	ничего не	6	16
159	в начале	5	16
160	между ними	4	16
161	в другом	2	16
162	они не	2	16
163	с одной	5	16
164	одно из	3	15
165	в истории	2	15
166	никто не	2	15
167	а затем	4	15
168	в первой	3	15
169	в которой	6	15
170	не мог	2	15
171	из этих	2	15
172	мы не	6	14
173	все что	6	14
174	по существу	4	14
175	и он	5	14
176	несмотря на	7	14
177	и по	3	14
178	в чем	7	14
179	в котором	6	14
180	образом в	2	14
181	на них	3	14
182	как он	5	13
183	отличие от	5	13
184	в других	4	13
185	здесь нет	4	13
186	с этим	5	13
187	и еще	4	13
188	бы в	5	13
189	в мире	2	13
190	и есть	3	13
191	и сам	11	13
192	не на	3	13
193	и эта	2	13
194	в известной	3	13
195	в одной	2	13
196	о чем	11	13
197	одной стороны	4	13
198	не знает	7	13
199	в новой	2	12
200	из всех	3	12
201	только для	2	12
202	не могут	2	12
203	вещей и	2	12
204	в пределах	3	12
205	и ее	3	12
206	по своей	2	12
207	раз в	3	12
208	главным образом	2	12
209	не был	2	12
210	он в	2	12
211	другой стороны	2	12
212	об этом	12	12
213	все время	3	11
214	из этого	2	11
215	на фоне	2	11
216	в свое	2	11
217	она была	2	11
218	он говорит	3	11
219	того как	5	11
220	и что	8	11
221	в прологе	4	11
222	из самых	2	11
223	в течение	3	11
224	и особенно	2	11
