N	4gram	Losev_Vesc	Problema
1	и тем не менее	5	15
2	не что иное как	12	14
3	в то время как	4	12
4	ни в каком случае	4	12
5	или по крайней мере	2	11
6	есть не что иное	8	11
7	дело в том что	4	10
8	и т д и	11	9
9	в каком случае не	2	9
10	т д и т	10	8
11	д и т д	10	7
12	заключается в том что	2	6
13	бы то ни было	12	6
14	то это значит что	3	6
15	по крайней мере в	2	6
16	свидетельствует о том что	3	5
17	можно ли сказать что	3	5
18	указывает на то что	3	4
19	одно и то же	5	4
20	а тем не менее	3	3
21	с этой точки зрения	3	3
22	и в то же	3	3
23	в том что он	2	3
24	это значит что мы	4	2
25	если это так то	2	2
26	чего бы то ни	2	2
27	так что в результате	2	2
28	но если это так	2	2
