N	2gram	Medvedev_V	Hudozhes
1	в качестве	12	31
2	и в	26	23
3	не только	26	20
4	в том	15	20
5	может быть	23	19
6	в частности	12	18
7	художественной деятельности	2	17
8	и не	20	16
9	но и	10	14
10	а в	3	13
11	в себе	6	13
12	но не	2	13
13	а не	7	13
14	то же	10	12
15	в этом	29	12
16	и его	6	12
17	так и	6	12
18	как бы	5	11
19	точки зрения	3	11
20	в его	15	11
21	сводится к	3	11
22	но в	2	10
23	по отношению	7	10
24	отношению к	7	10
25	не в	6	9
26	или иной	2	9
27	том что	8	9
28	не может	17	9
29	с другой	11	9
30	в искусстве	6	9
31	в то	6	8
32	в области	2	8
33	в самом	4	7
34	лишь в	2	7
35	в своей	4	7
36	только в	8	7
37	же время	5	7
38	как это	12	7
39	что в	11	7
40	не столько	2	7
41	всего лишь	3	6
42	более или	6	6
43	мы имеем	3	6
44	другой стороны	8	6
45	приводит к	6	6
46	в нем	7	6
47	можно сказать	4	6
48	в ее	4	6
49	художественного творчества	19	6
50	с его	4	6
51	или менее	6	6
52	с другими	2	5
53	конечном счете	5	5
54	могут быть	8	5
55	в конечном	7	5
56	в художественном	10	5
57	между ними	3	5
58	для того	3	5
59	того чтобы	3	5
60	в виду	4	5
61	в их	5	5
62	не является	5	5
63	что он	4	5
64	то что	7	5
65	не менее	2	5
66	прежде всего	13	5
67	того что	3	5
68	для него	9	5
69	в слове	3	4
70	сказать что	5	4
71	его в	3	4
72	в воображении	2	4
73	далеко не	3	4
74	это не	7	4
75	того или	2	4
76	к тому	5	4
77	между тем	6	4
78	в форме	3	4
79	художественного произведения	6	4
80	в другом	2	4
81	в силу	14	4
82	и как	3	4
83	еще не	2	4
84	говорить о	2	4
85	он не	2	4
86	не следует	8	4
87	например в	3	4
88	в своем	8	4
89	хотя и	2	4
90	даже в	5	3
91	в жизни	2	3
92	и для	2	3
93	искусства и	2	3
94	и ее	4	3
95	произведения как	6	3
96	в романе	4	3
97	как и	7	3
98	их в	7	3
99	о чем	2	3
100	одной стороны	2	3
101	том числе	2	3
102	в целом	5	3
103	в противоположность	3	3
104	говорит и	8	3
105	к его	2	3
106	и к	3	3
107	во всех	7	3
108	из этих	7	3
109	творческого воображения	21	3
110	связи с	5	3
111	тому как	3	3
112	если бы	3	3
113	в стихотворении	2	3
114	как раз	4	3
115	подобно тому	3	3
116	художественное произведение	7	3
117	как говорит	5	3
118	в связи	4	3
119	таким образом	32	3
120	и сам	2	3
121	в которой	2	3
122	во всей	2	3
123	в пределах	5	3
124	в одном	5	3
125	с одной	2	3
126	в системе	2	3
127	никогда не	5	2
128	о том	10	2
129	одной из	2	2
130	говоря иначе	3	2
131	одна из	4	2
132	чтобы не	2	2
133	начиная с	2	2
134	и др	10	2
135	на время	2	2
136	ее в	4	2
137	тому что	7	2
138	автора как	2	2
139	и потому	2	2
140	а для	2	2
141	при всем	3	2
142	еще и	2	2
143	слова не	2	2
144	в чем	2	2
145	что такое	2	2
146	или в	3	2
147	в творческом	3	2
148	именно в	3	2
149	но как	3	2
150	все эти	8	2
151	не всегда	2	2
152	человека и	3	2
153	мира и	3	2
154	вслед за	3	2
155	что она	2	2
156	должен быть	4	2
157	этой точки	2	2
158	так же	3	2
159	отличается от	2	2
160	об этом	9	2
161	из которых	2	2
162	и по	3	2
163	он и	2	2
164	отнюдь не	4	2
165	один из	6	2
166	в них	5	2
167	по себе	2	2
168	которая не	2	2
169	в порядке	6	2
170	не вполне	2	2
171	противном случае	2	2
172	роль в	4	2
173	на этом	2	2
174	это и	6	2
175	все это	13	2
176	с ними	4	2
177	бы не	2	2
178	о его	2	2
179	числе и	2	2
180	что и	3	2
181	в противном	2	2
182	и некоторые	2	2
183	в значительной	3	2
184	в году	7	2
185	одним из	5	2
186	и может	2	2
187	только о	2	2
188	а затем	2	2
189	анны карениной	2	2
190	в этой	4	2
191	даже самая	2	2
192	говорит в	3	2
193	как способность	2	2
194	который в	2	2
195	вовсе не	3	2
196	заключается в	2	2
197	на основе	5	2
198	у него	6	2
199	не с	2	2
200	при всей	2	2
