N	3gram	Vygotskiy_	EvropaiC
1	в том что	20	16
2	до сих пор	6	15
3	друг с другом	2	9
4	с точки зрения	11	8
5	на самом деле	3	7
6	мы знаем что	2	7
7	для того чтобы	17	7
8	на то что	16	7
9	в самом деле	29	5
10	к тому же	2	5
11	представляет из себя	2	5
12	том случае если	4	4
13	которых мы говорили	2	4
14	в том случае	4	4
15	тот факт что	3	4
16	с другой стороны	5	4
17	о том что	8	4
18	о которых мы	5	4
19	не может быть	3	4
20	вместе с тем	3	3
21	так же как	2	3
22	в данном случае	5	3
23	заключается в том	10	3
24	и то что	3	3
25	ничего общего с	2	2
26	с одной стороны	6	2
27	во всяком случае	6	2
28	в том и	2	2
29	в то время	4	2
30	в том виде	2	2
31	том что он	3	2
32	и может быть	3	2
33	что до сих	2	2
34	только то что	3	2
35	в свою очередь	3	2
