N	2gram	Bakhtin_Pr	Russkaja
1	не может	27	22
2	и не	42	19
3	в том	8	17
4	в этом	15	17
5	и в	38	14
6	то что	8	13
7	точки зрения	8	11
8	то же	5	11
9	таким образом	10	11
10	в то	4	10
11	но и	9	10
12	же время	3	10
13	не только	9	9
14	том что	3	9
15	может быть	26	9
16	в себе	4	9
17	с точки	6	9
18	того чтобы	2	8
19	прежде всего	13	8
20	и с	17	7
21	о том	4	7
22	в данном	4	7
23	мы должны	2	7
24	отнюдь не	19	7
25	ни к	2	7
26	самом деле	6	7
27	на самом	4	6
28	и для	11	6
29	в своих	2	6
30	в россии	2	6
31	и к	3	6
32	если бы	3	6
33	все это	3	6
34	для того	2	6
35	и при	2	6
36	что он	2	6
37	в своем	5	6
38	или иной	2	5
39	а в	6	5
40	на то	2	5
41	было бы	8	5
42	хотя бы	4	5
43	из которых	2	5
44	и на	3	5
45	при этом	5	5
46	в нем	15	5
47	он должен	2	5
48	в своей	7	5
49	себя и	3	5
50	конечно не	5	5
51	только в	13	5
52	никогда не	5	5
53	и только	4	5
54	он не	3	5
55	между тем	7	5
56	во всех	11	5
57	по существу	2	5
58	что в	7	4
59	но не	12	4
60	его в	9	4
61	все же	6	4
62	себя в	2	4
63	не могут	2	4
64	не в	7	4
65	как и	7	4
66	в мире	3	4
67	как бы	22	4
68	все что	3	4
69	можно было	4	4
70	а лишь	2	4
71	приводит к	3	4
72	в его	43	4
73	в их	10	4
74	то ни	3	4
75	во всем	2	4
76	бы то	3	4
77	в корне	2	4
78	одной из	3	3
79	данном случае	4	3
80	да и	3	3
81	все они	5	3
82	одна из	2	3
83	о котором	2	3
84	в большинстве	5	3
85	что все	2	3
86	что это	2	3
87	лучшем случае	2	3
88	о которых	2	3
89	она может	3	3
90	ни одна	2	3
91	должно быть	5	3
92	не есть	6	3
93	и потому	4	3
94	что оно	2	3
95	в другом	2	3
96	в значительной	2	3
97	в самом	7	3
98	и как	8	3
99	в лучшем	2	3
100	несмотря на	3	3
101	что и	2	3
102	или в	2	3
103	лишь в	2	3
104	и во	2	3
105	говорить о	3	3
106	той или	2	3
107	связи с	2	3
108	еще не	7	3
109	в виде	2	3
110	того что	2	3
111	не было	2	3
112	и т	14	3
113	тем что	2	3
114	ибо в	2	3
115	и о	5	2
116	и должно	3	2
117	и от	3	2
118	не к	6	2
119	но она	2	2
120	в таких	2	2
121	тем самым	4	2
122	или иного	2	2
123	и те	2	2
124	большинстве случаев	5	2
125	к нему	10	2
126	помнить что	3	2
127	она не	2	2
128	но в	4	2
129	того или	2	2
130	ни в	11	2
131	в котором	2	2
132	на почве	3	2
133	в начале	2	2
134	для нее	8	2
135	в ней	4	2
136	центр тяжести	2	2
137	в некоторых	2	2
138	по отношению	21	2
139	с самим	2	2
140	отличается от	2	2
141	и даже	3	2
142	а не	5	2
143	себя как	5	2
144	от него	3	2
145	мы можем	6	2
146	не можем	2	2
147	место в	8	2
148	к себе	2	2
149	отметить что	7	2
150	в других	4	2
151	и тем	3	2
152	к чему	2	2
153	и что	2	2
154	но это	3	2
155	все эти	5	2
156	том же	2	2
157	совершенно не	7	2
158	и наконец	6	2
159	в этих	2	2
160	в частности	2	2
161	в таком	3	2
162	и есть	2	2
163	но совершенно	2	2
164	должна быть	4	2
165	отношения к	6	2
166	в области	11	2
167	с ним	5	2
168	культуры и	3	2
169	и более	2	2
170	ясно что	3	2
