N	3gram	Trubetskoy	Analitik
1	в том что	7	25
2	не может быть	4	19
3	в то же	10	16
4	о том что	2	15
5	той или иной	3	14
6	в данном случае	3	14
7	то же время	10	14
8	того или иного	2	9
9	с точки зрения	9	8
10	во всяком случае	6	7
11	в этом случае	3	5
12	для того чтобы	6	4
13	и тем самым	2	4
14	лишь в том	2	4
15	и не может	3	4
16	сама по себе	2	4
17	бы то ни	4	3
18	и то что	3	3
19	что он не	2	2
20	более или менее	4	2
21	в противоречие с	2	2
22	можно было бы	3	2
23	с самим собой	2	2
24	к тому что	2	2
25	друг с другом	14	2
26	в том и	2	2
27	до сих пор	5	2
28	а между тем	5	2
29	не только к	2	2
30	на то что	4	2
