N	2gram	Trubetskoy	Poddanst
1	не только	10	17
2	и в	26	14
3	и не	8	12
4	в области	9	11
5	в этом	15	10
6	в отношении	6	10
7	но в	7	9
8	то же	4	9
9	в том	11	9
10	в качестве	3	9
11	хотя бы	3	8
12	в то	4	7
13	только в	4	7
14	же время	2	7
15	но и	9	6
16	в смысле	4	6
17	с другой	8	5
18	не в	2	5
19	и о	3	5
20	в которых	4	5
21	может быть	10	5
22	что в	9	4
23	если бы	3	4
24	на пути	2	4
25	и потому	6	4
26	в своем	3	4
27	том что	7	4
28	европейской культуры	3	4
29	а также	2	4
30	мы должны	6	4
31	в котором	4	4
32	и к	5	4
33	как бы	12	4
34	и если	3	4
35	то что	7	4
36	не может	4	4
37	а в	4	4
38	что мы	2	3
39	и как	3	3
40	с тем	18	3
41	но не	8	3
42	с точки	6	3
43	в россии	2	3
44	для того	5	3
45	в себе	6	3
46	точки зрения	13	3
47	потому что	7	3
48	одной стороны	7	3
49	в нем	4	3
50	между тем	2	3
51	вслед за	2	3
52	прежде всего	2	3
53	тот же	2	3
54	с одной	7	3
55	в них	2	2
56	в мире	5	2
57	если в	3	2
58	не к	2	2
59	в эту	2	2
60	в русском	2	2
61	и это	2	2
62	в его	5	2
63	по сравнению	2	2
64	в общем	8	2
65	не менее	3	2
66	именно в	2	2
67	русский народ	3	2
68	в начале	2	2
69	в виде	4	2
70	все это	6	2
71	значительной мере	2	2
72	том числе	5	2
73	как на	8	2
74	а не	5	2
75	не было	2	2
76	мысль о	2	2
77	и с	10	2
78	может ли	2	2
79	во всех	2	2
80	заключает в	2	2
81	в значительной	3	2
82	того что	3	2
83	в силу	5	2
84	главным образом	8	2
85	так называемые	3	2
86	из них	7	2
