N	3gram	Bakhtin_Fr	VeschiIm
1	в том что	4	9
2	в самом деле	3	7
3	с точки зрения	4	6
4	в то же	12	5
5	в чем же	2	5
6	в свою очередь	3	5
7	более или менее	3	4
8	сам по себе	2	4
9	о том как	3	4
10	о том что	4	4
11	дело в том	2	4
12	то же время	12	4
13	в отрыве от	2	3
14	можно было бы	2	3
15	с одной стороны	3	3
16	свидетельствует о том	2	3
17	с другой стороны	2	3
18	все то что	3	2
19	мы находим в	2	2
20	в этом отношении	3	2
21	нужно сказать что	3	2
22	в связи с	2	2
23	мы видим что	2	2
24	и есть то	2	2
25	в конце концов	5	2
26	в том или	2	2
27	а следовательно и	2	2
28	в свое время	2	2
