N	2gram	Berdyaev_O	Marksizm
1	может быть	11	64
2	и в	19	63
3	и не	13	55
4	как бы	3	53
5	не может	4	47
6	и его	4	41
7	в этом	12	39
8	лишь в	7	30
9	не только	11	29
10	в нем	10	28
11	но и	13	27
12	прежде всего	9	24
13	как и	6	24
14	в самом	5	24
15	так и	2	23
16	в том	5	22
17	то что	5	22
18	а не	11	22
19	для него	5	20
20	том что	2	19
21	не в	11	19
22	в его	7	19
23	но в	2	18
24	в ее	2	18
25	и для	2	18
26	все же	2	17
27	что он	3	15
28	хотя бы	3	14
29	ничего не	2	13
30	того чтобы	4	13
31	было бы	3	13
32	в своей	2	13
33	что в	4	13
34	а в	5	12
35	для того	3	12
36	он не	7	12
37	и все	10	11
38	к нему	3	11
39	и на	2	11
40	все эти	4	11
41	и от	3	11
42	так как	2	11
43	еще не	3	11
44	никогда не	9	10
45	его в	2	10
46	и потому	2	10
47	с его	4	10
48	сказать что	2	10
49	к этому	2	10
50	в своем	2	10
51	в себе	3	9
52	это не	3	9
53	в истории	2	9
54	не имеет	2	9
55	и ее	3	8
56	что не	4	8
57	что и	2	8
58	мысли и	3	8
59	и с	2	8
60	не было	9	8
61	у него	22	8
62	до конца	7	7
63	от него	7	7
64	того что	3	7
65	по себе	2	7
66	могут быть	3	7
67	в этой	5	7
68	в этих	3	7
69	о том	3	7
70	он сам	4	7
71	не есть	2	6
72	вопрос о	10	6
73	в другом	2	6
74	что же	2	6
75	все это	6	6
76	в единстве	2	6
77	различие между	3	5
78	и вот	3	5
79	в душе	2	5
80	хотя и	2	5
81	должно быть	2	5
82	ее в	2	5
83	жизни в	2	5
84	не могут	3	4
85	из всего	2	4
86	так что	2	4
87	и к	2	4
88	при чтении	2	4
89	что все	2	4
90	и он	8	4
91	он был	8	4
92	что они	2	4
93	и то	2	4
94	нет ничего	7	4
95	в которой	2	4
96	нем нет	3	4
97	уже в	2	4
98	в других	2	4
99	тем что	2	4
100	только и	4	3
101	не все	2	3
102	как к	2	3
103	ведь это	2	3
104	подойти к	2	3
105	ко всем	2	3
106	с тем	2	3
107	потому что	9	3
108	даже и	2	3
109	в этот	2	3
110	человека в	11	3
111	должен был	2	3
112	и о	2	3
113	в своих	3	3
114	в русской	3	3
115	когда он	3	3
116	учение о	2	3
117	и есть	3	3
118	с ним	3	3
119	момент в	2	3
120	добро и	2	2
121	нужно искать	5	2
122	всего в	2	2
123	и ни	2	2
124	к этой	2	2
125	которую он	2	2
126	у достоевского	19	2
127	совсем не	2	2
128	его не	2	2
129	никто не	3	2
130	более всего	3	2
131	это было	3	2
132	есть лишь	4	2
133	него не	2	2
134	в самой	9	2
135	то к	2	2
136	все в	4	2
137	но он	7	2
