N	2gram	Kanaev_Sov	Analitik
1	не только	4	71
2	и в	7	66
3	в том	4	52
4	может быть	12	52
5	в этом	7	51
6	как и	6	50
7	и не	6	48
8	а не	3	42
9	при этом	3	40
10	не может	17	29
11	как бы	4	29
12	отнюдь не	3	29
13	а в	4	28
14	в его	2	27
15	не в	3	26
16	в себе	3	24
17	и даже	2	22
18	в этой	3	22
19	что в	2	22
20	но в	3	19
21	то же	3	19
22	в самом	2	19
23	или иной	2	17
24	такого рода	2	17
25	в целом	4	17
26	могут быть	2	16
27	прежде всего	5	15
28	уже не	2	15
29	отличие от	2	14
30	не менее	2	14
31	в отличие	2	14
32	ничего не	6	13
33	точки зрения	12	13
34	и к	3	12
35	еще не	3	12
36	в свою	2	11
37	это не	4	11
38	той же	2	11
39	в конце	3	10
40	все же	3	10
41	было бы	3	10
42	с одной	2	10
43	свою очередь	2	9
44	в результате	6	9
45	говорить о	2	9
46	таким образом	11	9
47	вместе с	4	9
48	роль в	2	8
49	и все	3	8
50	времени и	2	8
51	как известно	2	8
52	с точки	5	8
53	на его	2	7
54	все это	3	7
55	во всяком	2	7
56	одна из	3	7
57	у него	2	7
58	и т.д	3	7
59	приводит к	2	7
60	в одном	3	7
61	всяком случае	2	7
62	как мы	2	7
63	в таком	2	7
64	в нашем	2	7
65	в нем	3	6
66	из этих	2	6
67	тем не	2	6
68	на этом	2	6
69	из которых	2	6
70	из них	4	6
71	уже в	3	6
72	и потому	3	5
73	не могут	2	5
74	совершенно не	2	5
75	самом деле	2	5
76	в один	2	5
77	он в	3	5
78	и по	2	5
79	все эти	5	5
80	мы не	9	5
81	в первом	3	5
82	тот же	2	5
83	такой же	2	5
84	в области	3	4
85	в каждом	8	4
86	как он	3	4
87	на две	3	4
88	и что	2	4
89	что же	5	4
90	и во	2	4
91	то ни	2	4
92	с этим	2	4
93	что она	3	4
94	в которой	2	4
95	отличается от	3	4
96	и есть	2	4
97	вопрос о	4	3
98	мы должны	4	3
99	о жизни	2	3
100	она может	2	3
101	может иметь	2	3
102	ведь это	3	3
103	при таком	3	3
104	на котором	2	3
105	между собой	3	3
106	что все	2	3
107	в зависимости	4	3
108	принципиально не	2	3
109	так как	4	3
110	так сказать	2	3
111	который как	2	3
112	зависимости от	4	3
113	тот или	2	3
114	и наконец	5	3
115	на этот	2	3
116	жизни и	4	3
117	своего предмета	2	3
118	же самое	2	3
119	этих двух	2	3
120	но мы	3	2
121	для нас	3	2
122	между всеми	2	2
123	к чему	2	2
124	когда мы	3	2
125	на этой	3	2
126	с другом	2	2
127	у всех	3	2
128	из четырех	2	2
129	в которую	2	2
130	отдельном случае	5	2
131	мы видим	2	2
132	что это	2	2
133	не будем	2	2
134	то и	2	2
135	а на	2	2
136	каждом отдельном	5	2
137	мы можем	6	2
138	значение в	2	2
139	в два	3	2
140	у нас	3	2
141	со всеми	2	2
142	а все	3	2
143	друг с	2	2
144	нет и	4	2
145	в дальнейшем	4	2
146	он может	3	2
147	их в	4	2
148	еще более	2	2
149	что при	2	2
150	свою собственную	2	2
151	не можем	7	2
152	которой он	2	2
153	может не	3	2
154	тем же	2	2
155	в системе	3	2
