N	3gram	Ircho_Kome	Vvedenie
1	и т д	4	39
2	для того чтобы	3	22
3	в том что	13	15
4	о том что	6	13
5	в этом смысле	2	10
6	тем не менее	2	9
7	до сих пор	3	7
8	до н э	3	6
9	в то же	5	6
10	то же время	5	6
11	во всяком случае	4	5
12	и т п	7	5
13	с другой стороны	6	5
14	так или иначе	4	4
15	т е в	2	4
16	в этом отношении	3	4
17	с одной стороны	5	4
18	по отношению к	5	4
19	в отличие от	3	4
20	можно было бы	3	4
21	вместе с тем	4	3
22	то же самое	2	3
23	во второй половине	3	2
24	к этому времени	3	2
25	в соответствии с	2	2
26	в конце концов	4	2
27	по меньшей мере	2	2
28	не говоря уже	4	2
29	после того как	3	2
30	в связи с	3	2
