N	2gram	Bakhtin_Fr	RusskieA
1	и в	68	79
2	в том	12	64
3	том что	6	59
4	что в	14	57
5	не только	21	41
6	во время	17	38
7	так как	7	34
8	в этом	28	33
9	и другие	4	33
10	как бы	7	31
11	но и	17	31
12	в других	4	30
13	как и	17	28
14	может быть	10	28
15	и на	16	28
16	в этот	2	26
17	одна из	3	24
18	о том	5	23
19	с в	2	23
20	при этом	5	22
21	это не	5	20
22	как мы	18	20
23	а в	3	20
24	там же	2	20
25	из них	8	19
26	все это	6	18
27	потому что	3	17
28	то что	11	17
29	об этом	3	17
30	таким образом	22	17
31	вместе с	4	17
32	мы не	3	16
33	один из	9	15
34	будто бы	2	15
35	в xix	3	14
36	у нас	4	14
37	мы видели	6	14
38	не менее	2	14
39	в них	19	14
40	и не	25	14
41	и с	15	14
42	и что	2	14
43	и по	4	13
44	к этому	6	13
45	не может	5	13
46	еще не	3	13
47	как в	4	13
48	уже не	2	13
49	в виде	2	12
50	мы имеем	2	12
51	других местах	3	12
52	тем что	6	12
53	что на	2	11
54	а затем	2	11
55	но это	5	11
56	мы увидим	3	11
57	далеко не	3	11
58	его в	7	10
59	и других	7	10
60	так и	8	10
61	так например	2	10
62	между тем	3	10
63	все же	6	10
64	что и	3	10
65	а также	6	10
66	в течение	3	10
67	или в	3	10
68	данном случае	3	9
69	о чем	3	9
70	том же	4	9
71	но в	20	9
72	по улицам	2	9
73	к жизни	2	9
74	и все	16	9
75	что они	3	9
76	то же	14	9
77	но не	4	9
78	на части	10	9
79	видно что	4	9
80	так же	3	8
81	после этого	2	8
82	того что	3	8
83	одно из	3	8
84	в данном	5	8
85	того чтобы	6	8
86	их в	7	8
87	же в	2	8
88	связи с	8	8
89	представление о	2	8
90	что это	4	8
91	во всех	8	8
92	подобно тому	2	8
93	для того	5	8
94	в этих	8	8
95	тому как	2	8
96	в своем	11	7
97	ничего не	4	7
98	начиная с	3	7
99	в настоящее	2	7
100	в свете	3	7
101	не в	2	7
102	главным образом	3	7
103	к нему	4	7
104	настоящее время	2	7
105	на них	3	7
106	было бы	4	7
107	до конца	10	7
108	для этого	3	7
109	из этих	2	7
110	в это	2	7
111	и как	5	7
112	еще в	4	7
113	в эти	2	7
114	только в	9	7
115	связанные с	4	7
116	как будто	2	7
117	а не	6	7
118	в этой	15	6
119	и их	5	6
120	и у	2	6
121	друг друга	2	6
122	на этом	3	6
123	в их	6	6
124	только на	4	6
125	в нем	12	6
126	так в	4	6
127	в году	11	6
128	с ними	4	6
129	все эти	16	6
130	связаны с	6	6
131	в качестве	2	6
132	чем в	2	6
133	в одном	7	6
134	и о	5	6
135	что здесь	2	6
136	в первый	2	6
137	также в	2	6
138	но они	4	6
139	и более	2	6
140	в таком	2	6
141	на самом	7	5
142	и потому	6	5
143	за этим	4	5
144	вплоть до	5	5
145	или же	2	5
146	что он	7	5
147	прежде всего	23	5
148	и др	9	5
149	в разных	3	5
150	в свою	3	5
151	с этим	2	5
152	в то	14	5
153	в целом	3	5
154	в связи	7	5
155	там где	6	5
156	не было	7	5
157	например в	2	5
158	тот же	4	5
159	в его	21	5
160	можно было	3	5
161	в особенности	6	5
162	только для	6	5
163	и для	6	5
164	с другой	8	5
165	входит в	2	5
166	и к	4	5
167	с ним	3	5
168	связь между	3	5
169	мы уже	19	5
170	в таких	3	4
171	в доме	3	4
172	которые в	2	4
173	и ее	3	4
174	некоторые из	4	4
175	не был	4	4
176	влияние на	2	4
177	и при	2	4
178	всякого рода	2	4
179	здесь мы	3	4
180	от них	2	4
181	они и	4	4
182	своего рода	5	4
183	но эти	4	4
184	в основном	7	4
185	отличие от	3	4
186	и под	4	4
187	на землю	2	4
188	и до	14	4
189	не на	2	4
190	во всей	3	4
191	этого слова	3	4
192	во всяком	2	4
193	в основе	7	4
194	и от	4	4
195	по своему	3	4
196	дело не	3	4
197	и здесь	5	4
198	к тем	2	4
199	кроме того	5	4
200	в уже	2	4
201	такой же	3	4
202	в отличие	3	4
203	но все	5	4
204	переход от	2	4
205	что у	2	4
206	что для	2	4
207	именно в	5	4
208	в котором	3	4
209	в своих	7	4
210	как они	2	4
211	уже в	4	4
212	в ней	6	4
213	всяком случае	2	4
214	вряд ли	3	4
215	во всем	4	4
216	и после	2	4
217	на основе	3	4
218	но он	9	4
219	никогда не	2	3
220	всех этих	5	3
221	руки и	4	3
222	его к	3	3
223	в одной	3	3
224	каждый из	2	3
225	в форме	3	3
226	то есть	31	3
227	есть и	4	3
228	это и	4	3
229	в виду	8	3
230	тут же	3	3
231	как он	4	3
232	мы здесь	2	3
233	и такие	2	3
234	мы знаем	3	3
235	ноги и	2	3
236	они были	4	3
237	что все	2	3
238	что один	2	3
239	и это	5	3
240	точки зрения	8	3
241	связь с	6	3
242	в различных	2	3
243	большинстве случаев	3	3
244	встречаются и	2	3
245	в области	5	3
246	в ее	5	3
247	них в	2	3
248	и во	6	3
249	считает что	3	3
250	в своей	11	3
251	он был	5	3
252	до того	2	3
253	свою очередь	2	3
254	из самых	2	3
255	хотя и	2	3
256	и то	2	3
257	на которых	2	3
258	это в	4	3
259	по отношению	3	3
260	и еще	3	3
261	в которой	6	3
262	церковь и	2	3
263	от этого	2	3
264	в эту	7	3
265	если бы	3	3
266	для этой	3	3
267	носит характер	2	3
268	отношению к	2	3
269	сих пор	6	3
270	жизнь и	2	3
271	с одной	5	3
272	думать что	2	3
273	не к	2	3
274	улицам и	2	3
275	все что	4	3
276	своей книге	3	3
277	слова в	3	3
278	с таким	3	3
279	на весь	4	3
280	с точки	4	3
