N	3gram	Propp_Isto	Literetu
1	в том что	4	21
2	по отношению к	2	12
3	с одной стороны	7	12
4	в данном случае	2	11
5	не может быть	6	11
6	о том что	5	10
7	с другой стороны	10	7
8	в том числе	3	6
9	подобно тому как	2	6
10	не только в	2	6
11	тем не менее	6	5
12	этой точки зрения	2	5
13	с этой точки	2	5
14	в связи с	6	5
15	в том чтобы	2	5
16	и тем самым	2	4
17	и то что	3	4
18	на то что	3	3
19	том числе и	2	3
20	одно и то	2	2
21	для того чтобы	3	2
22	и то же	2	2
23	это уже не	2	2
24	и вместе с	3	2
25	исключают друг друга	2	2
26	в этом случае	13	2
27	не исключают друг	2	2
28	но и в	2	2
29	вместе с тем	7	2
30	тем что он	3	2
