N	2gram	Berdyaev_N	Problema
1	и в	16	182
2	и не	11	152
3	то что	4	144
4	не есть	3	113
5	не только	5	104
6	потому что	4	89
7	в этом	7	88
8	может быть	7	82
9	том что	2	81
10	в том	8	81
11	сказать что	3	72
12	но и	3	70
13	и даже	2	66
14	не менее	4	58
15	о том	4	57
16	так и	2	56
17	а не	17	56
18	но в	2	55
19	ни в	6	51
20	в себе	2	48
21	смысле слова	3	47
22	в своей	3	45
23	прежде всего	4	45
24	что в	9	44
25	все эти	2	43
26	не в	6	43
27	и что	2	40
28	не может	16	39
29	такого рода	2	39
30	хотя бы	2	37
31	в нем	5	37
32	еще не	3	36
33	и все	4	36
34	когда мы	2	35
35	и с	2	34
36	как и	7	34
37	уже не	2	34
38	в то	2	32
39	но не	2	32
40	все это	5	31
41	что такое	3	31
42	так же	2	31
43	но это	6	31
44	с другой	3	30
45	и для	4	30
46	мы не	2	28
47	а в	2	28
48	и это	2	27
49	хотя и	2	27
50	как будто	2	26
51	вместе с	2	26
52	это не	4	26
53	другой стороны	2	26
54	и на	2	25
55	не имеет	4	24
56	с тем	3	24
57	по своему	4	23
58	никогда не	6	22
59	и есть	10	22
60	значит что	4	22
61	и от	2	22
62	есть в	2	22
63	и к	5	22
64	и потому	4	20
65	можно было	2	20
66	он не	8	19
67	в них	4	19
68	это есть	7	19
69	как в	3	19
70	этом смысле	2	19
71	жизни и	8	19
72	не будет	7	18
73	того чтобы	2	18
74	в ее	3	18
75	не было	4	18
76	не существует	3	18
77	в ней	5	18
78	это и	2	17
79	совсем не	12	17
80	во всех	3	17
81	к тому	3	16
82	для этого	2	16
83	как это	2	16
84	что она	2	16
85	у него	2	15
86	с этим	2	15
87	что все	2	14
88	за пределы	3	14
89	который в	2	13
90	с одной	2	12
91	время как	2	12
92	в смысле	2	12
93	в истории	3	11
94	мы говорим	2	11
95	одной стороны	2	11
96	жизни в	3	11
97	не имеют	2	10
98	все время	2	10
99	вопрос о	3	9
100	она не	3	9
101	нет и	2	9
102	это было	3	9
103	в жизни	5	9
104	с ее	5	8
105	не значит	3	8
106	но для	2	8
107	конечно не	3	8
108	и весь	2	8
109	времени и	2	7
110	в основе	3	7
111	в эпоху	9	7
112	все они	2	7
113	мира и	2	7
114	для чего	2	7
115	же как	2	7
116	перейти к	3	7
117	ведь и	2	6
118	в новое	3	6
119	ни к	2	6
120	не знает	6	6
121	по существу	2	6
122	могут быть	2	6
123	с его	6	6
124	но она	2	6
125	перестает быть	4	6
126	нового времени	12	6
127	от всякого	2	6
128	не к	2	6
129	человека и	3	5
130	одна из	2	5
131	и начала	2	5
132	xix и	4	5
133	лишь в	6	5
134	том чтобы	2	5
135	тому как	3	5
136	я не	2	5
137	не знал	2	5
138	должно быть	4	5
139	себя в	2	5
140	и общества	2	5
141	подобно тому	3	5
142	в духе	3	4
143	наряду с	3	4
144	должен быть	5	4
145	к преодолению	3	4
146	в одну	2	4
147	не могли	2	4
148	свободы и	2	4
149	ни одна	2	4
150	новое время	4	4
151	духа и	3	4
152	xix века	5	4
153	можно назвать	2	4
154	с их	2	4
155	к ним	3	4
156	если нет	2	4
157	этот мир	2	4
158	и пр	3	4
159	равно как	2	4
160	на путях	2	4
161	и общественной	5	3
162	мысли в	2	3
163	в новой	7	3
164	самой жизни	2	3
165	будет уже	2	3
166	в свои	2	3
167	времени в	2	3
168	и заключается	2	3
169	должна быть	3	3
170	ли это	2	3
171	более не	2	3
172	не ставит	2	3
173	думать что	2	3
174	в мировой	2	3
175	но я	2	3
176	и должно	2	3
177	помнить что	2	3
178	не во	4	3
179	в россии	3	3
180	в природе	2	3
181	быть в	2	3
182	вот почему	2	3
183	не будут	2	3
184	и мы	4	3
185	вернуться к	2	3
186	еще до	2	3
187	мысли и	2	3
188	формы и	2	3
189	мир и	2	3
190	истории в	5	3
191	место в	2	3
192	такой же	2	2
193	все категории	2	2
194	большую роль	4	2
195	верить в	3	2
196	в ночи	3	2
197	том и	2	2
198	и ночи	2	2
199	жизни как	2	2
200	роль в	2	2
201	в будущем	2	2
202	духа в	2	2
203	переходе от	2	2
204	стремится к	3	2
205	к самой	2	2
206	истинного бога	2	2
207	познания и	2	2
208	дня и	3	2
209	в прошлом	3	2
210	не означает	3	2
211	силы и	2	2
212	к новому	7	2
213	зависит от	2	2
214	жизни не	3	2
215	революции и	3	2
216	будет и	2	2
