N	2gram	Propp_Isto	EvropaiC
1	таким образом	21	34
2	в том	13	31
3	и в	44	24
4	том что	12	20
5	все эти	11	19
6	не может	10	18
7	то что	16	18
8	может быть	31	17
9	до сих	7	15
10	все же	17	15
11	сих пор	7	15
12	точки зрения	3	14
13	в этом	20	13
14	все это	4	13
15	в своем	3	12
16	с этим	7	12
17	самом деле	2	12
18	по отношению	2	11
19	но и	16	11
20	отношению к	2	11
21	не только	17	10
22	так и	9	10
23	во всех	3	10
24	мы знаем	12	10
25	как и	12	10
26	все что	5	10
27	как бы	4	10
28	из себя	4	10
29	друг с	2	9
30	и не	19	9
31	не в	11	9
32	что в	18	9
33	и все	4	9
34	на то	3	9
35	с другом	2	9
36	того же	3	9
37	потому что	18	9
38	при этом	4	9
39	и что	13	9
40	так же	14	8
41	из этих	5	8
42	если бы	5	8
43	для того	3	8
44	знаем что	10	8
45	того чтобы	3	8
46	ясно что	5	8
47	для этого	3	7
48	о которых	4	7
49	так как	19	7
50	в силу	7	7
51	что он	29	7
52	того что	3	7
53	не менее	6	7
54	о том	11	7
55	из этого	3	7
56	что и	11	7
57	в этой	5	7
58	по существу	2	7
59	что при	5	7
60	вместе с	26	7
61	в европе	3	6
62	только в	8	6
63	у них	2	6
64	еще не	16	6
65	и при	3	6
66	так что	2	6
67	что касается	2	6
68	в то	5	6
69	должна быть	3	6
70	и для	3	6
71	с другой	11	6
72	и на	11	6
73	мы можем	6	6
74	несмотря на	3	6
75	что с	2	6
76	как на	3	6
77	с ним	9	6
78	его в	17	5
79	но все	8	5
80	к этому	5	5
81	оказывается что	2	5
82	в которой	4	5
83	лишь в	2	5
84	на все	2	5
85	из них	4	5
86	что это	8	5
87	этих народов	2	5
88	у него	7	5
89	что все	4	5
90	но в	7	5
91	и с	8	5
92	и к	3	5
93	другой стороны	10	5
94	в целом	4	5
95	между двумя	7	5
96	в его	16	5
97	как будто	2	5
98	никогда не	5	4
99	и то	5	4
100	не могут	2	4
101	мы должны	7	4
102	что эта	2	4
103	всех этих	2	4
104	хотя бы	2	4
105	тем не	6	4
106	отношение к	3	4
107	и у	3	4
108	целый ряд	4	4
109	социальной жизни	3	4
110	состоит из	4	4
111	ее и	3	4
112	та же	2	4
113	то же	9	4
114	а с	2	4
115	одним из	4	4
116	в виде	13	4
117	совершенно не	2	4
118	что его	4	4
119	в течение	2	4
120	с тем	9	4
121	этом случае	13	4
122	и сейчас	3	4
123	представление об	5	4
124	на вопрос	3	4
125	из которых	7	4
126	что мы	4	4
127	выше мы	2	4
128	связи с	10	4
129	в таком	2	4
130	он не	5	4
131	в дальнейшем	6	4
132	мы уже	6	4
133	совершенно так	3	4
134	даже в	4	3
135	данном случае	2	3
136	представление о	22	3
137	и вообще	3	3
138	вопрос о	5	3
139	тем самым	2	3
140	при помощи	11	3
141	это не	8	3
142	и потому	2	3
143	гораздо больше	2	3
144	от него	2	3
145	в тех	4	3
146	но даже	2	3
147	которые не	2	3
148	даже если	2	3
149	только что	3	3
150	очевидно что	3	3
151	с этой	4	3
152	в этих	7	3
153	и других	5	3
154	в связи	6	3
155	и наконец	2	3
156	как у	2	3
157	прежде всего	7	3
158	с одной	7	3
159	образом в	3	3
160	одно из	3	3
161	но не	8	3
162	очень много	2	3
163	и это	5	3
164	в данном	3	3
165	на этой	5	3
166	а в	9	3
167	в нем	10	3
168	указывают на	2	3
169	в ней	8	3
170	что оно	4	3
171	тогда когда	3	3
172	для нас	6	3
173	должны быть	2	3
174	сейчас же	2	3
175	было бы	2	3
176	и по	3	3
177	и может	2	3
178	таким же	5	3
179	в истории	7	3
180	случаях когда	2	3
181	во всем	4	3
182	же как	12	3
183	это представление	5	3
184	уже и	3	3
185	как мы	9	3
186	одна из	6	2
187	другими словами	4	2
188	нет в	2	2
189	тех же	2	2
190	то в	2	2
191	что представление	2	2
192	но как	2	2
193	к ним	2	2
194	одну из	5	2
195	не потому	5	2
196	на одном	2	2
197	то время	3	2
198	что она	3	2
199	от которого	2	2
200	в другом	2	2
201	из нее	2	2
202	но если	2	2
203	борьбы с	3	2
204	на него	10	2
205	друг друга	5	2
206	должен быть	2	2
207	не было	2	2
208	он должен	2	2
209	из двух	2	2
210	в частности	9	2
211	по его	2	2
212	него в	2	2
213	что они	3	2
214	от себя	2	2
215	такой же	3	2
216	никто не	4	2
217	и из	3	2
218	в одно	2	2
219	показывают что	8	2
220	для него	2	2
221	только тогда	4	2
222	мы видели	9	2
223	на нее	3	2
224	есть в	2	2
225	от них	2	2
226	том чтобы	3	2
227	не имеет	4	2
228	но так	3	2
229	также и	2	2
230	что у	6	2
231	к нему	5	2
232	она не	7	2
233	со своими	3	2
234	на том	5	2
235	они не	5	2
236	в котором	2	2
237	эти примеры	3	2
238	их в	7	2
239	все его	2	2
240	и там	3	2
241	ту же	2	2
242	в своих	4	2
243	в свою	3	2
244	этот вопрос	2	2
245	в которых	4	2
246	одной стороны	7	2
247	но для	4	2
248	между прочим	2	2
249	на этом	5	2
250	между ними	2	2
251	если он	2	2
252	что за	2	2
253	в них	3	2
254	совершенно ясно	6	2
255	же что	2	2
256	жизни и	4	2
257	а затем	7	2
258	с ними	4	2
259	но вместе	4	2
260	и уже	2	2
261	на более	2	2
262	из него	3	2
263	и его	15	2
264	и сам	2	2
265	из таких	3	2
266	и более	3	2
267	в себя	3	2
268	только один	3	2
269	той же	2	2
270	вовсе не	6	2
271	мы и	3	2
272	в основе	3	2
