N	3gram	Losev_Vlad	KulturaY
1	и т д	3	42
2	для того чтобы	3	38
3	в том что	13	33
4	во всяком случае	8	19
5	тем не менее	8	19
6	то обстоятельство что	2	19
7	с другой стороны	3	17
8	в том чтобы	4	14
9	в связи с	7	12
10	в этом отношении	2	11
11	не может быть	4	11
12	о том что	9	10
13	в этом смысле	4	10
14	вместе с тем	2	9
15	не в том	3	8
16	не только в	3	8
17	после того как	2	7
18	тех пор пока	2	7
19	до тех пор	2	7
20	в свою очередь	2	7
21	в то же	7	6
22	к тому же	3	6
23	то же время	7	6
24	не говоря уже	3	6
25	в свое время	6	6
26	что же касается	8	5
27	более или менее	5	5
28	говоря уже о	3	5
29	тем более что	2	5
30	точно так же	2	4
31	и потому что	3	4
32	том что он	4	4
33	на то что	6	4
34	так или иначе	3	4
35	а в том	3	4
36	в настоящее время	2	3
37	в то время	6	3
38	как раз и	2	3
39	не то что	2	3
40	в конце концов	6	3
41	что и в	2	3
42	и то обстоятельство	2	3
43	уже не только	2	3
44	хотя бы на	2	3
45	что он не	3	2
46	бы то ни	2	2
47	не что иное	2	2
48	так и не	3	2
49	потому что в	2	2
50	мы знаем что	2	2
51	и тот же	2	2
52	хотя и не	2	2
53	с первого же	2	2
54	так как он	2	2
55	как мы знаем	3	2
56	до некоторой степени	2	2
57	что иное как	2	2
58	но в том	2	2
59	один и тот	2	2
60	также и в	2	2
61	и в том	2	2
62	в тех же	2	2
63	у нас нет	2	2
64	можно сказать что	3	2
65	но даже и	3	2
66	и в то	3	2
67	что можно сказать	2	2
