N	3gram	Trubetskoy	Myslijsy
1	в том что	16	47
2	по отношению к	11	26
3	не может быть	4	19
4	заключает в себе	2	19
5	тем не менее	4	18
6	в свою очередь	2	14
7	то же время	2	13
8	в то же	2	13
9	а между тем	8	13
10	во всяком случае	2	12
11	с другой стороны	4	12
12	более или менее	8	12
13	до сих пор	15	12
14	для того чтобы	7	11
15	в то время	2	10
16	с одной стороны	2	10
17	одного и того	3	9
18	о том что	4	9
19	на то что	7	9
20	и того же	3	9
21	на самом деле	7	8
22	вместе с тем	3	8
23	в этом случае	4	8
24	как и в	2	7
25	с точки зрения	8	7
26	не в состоянии	3	7
27	и в том	2	7
28	и может быть	2	6
29	друг от друга	6	6
30	в том случае	4	5
31	таким образом в	3	5
32	и то что	3	5
33	в том и	2	4
34	в данном случае	3	4
35	в том же	3	4
36	не более как	2	4
37	лишь тогда когда	2	4
38	что касается до	6	4
39	в том виде	2	4
40	бы то ни	3	3
41	рано или поздно	2	3
42	что же касается	2	3
43	том что он	2	3
44	ничего общего с	2	3
45	но так как	2	3
46	с течением времени	4	3
47	в связи с	3	3
48	лишь в том	5	3
49	же касается до	2	3
50	заключается в том	3	3
51	так или иначе	5	3
52	не подлежит сомнению	3	3
53	таким же образом	2	2
54	друг к другу	2	2
55	в своем развитии	4	2
56	но вместе с	2	2
57	том случае если	4	2
58	так же как	3	2
59	случае если бы	2	2
60	только то что	2	2
61	друг на друга	2	2
62	то ни было	3	2
63	каждый из этих	2	2
64	и все что	2	2
65	о которой мы	2	2
66	а следовательно и	2	2
67	но все же	2	2
