N	2gram	Bakhtin_fo	Komedia
1	и в	84	77
2	и не	19	47
3	в том	16	44
4	том что	7	42
5	о том	4	33
6	но и	14	32
7	может быть	18	30
8	таким образом	14	29
9	из них	8	29
10	в то	13	28
11	и его	26	28
12	в этом	41	27
13	потому что	11	27
14	что он	2	26
15	к тому	6	26
16	не только	16	25
17	тому же	2	25
18	вместе с	9	25
19	так как	12	24
20	как и	15	23
21	в дом	2	23
22	ни в	9	23
23	что в	9	23
24	что и	5	22
25	если бы	6	22
26	в самом	9	22
27	в конце	11	21
28	так и	17	21
29	а в	6	21
30	то же	18	21
31	ясно что	2	21
32	в его	19	20
33	во время	7	19
34	к этому	5	19
35	в этой	3	18
36	и т	21	17
37	тем что	4	17
38	еще не	8	17
39	и здесь	2	17
40	в нем	28	17
41	же время	13	17
42	все же	12	16
43	у него	8	16
44	при этом	8	16
45	тот же	4	16
46	до нас	6	16
47	и сам	2	16
48	сих пор	4	16
49	он не	6	16
50	до сих	4	16
51	его в	8	15
52	в своем	8	15
53	не в	10	15
54	точки зрения	14	15
55	прежде всего	28	15
56	один из	5	15
57	на себя	2	15
58	было бы	2	15
59	в которой	3	15
60	и на	13	15
61	все это	10	14
62	об этом	3	14
63	на протяжении	3	14
64	в свою	2	14
65	и с	10	14
66	о чем	4	13
67	то что	13	13
68	так что	4	13
69	самом деле	2	13
70	но в	16	13
71	того же	9	13
72	в них	11	13
73	того чтобы	11	13
74	мы можем	2	13
75	в одном	10	13
76	как раз	13	13
77	так же	7	12
78	с другой	4	12
79	для того	12	12
80	т п	18	12
81	как это	2	12
82	уже в	5	12
83	в качестве	6	12
84	в истории	6	12
85	хотя и	5	12
86	в начале	3	12
87	не может	8	12
88	как в	10	12
89	но не	9	12
90	в котором	8	12
91	по отношению	3	11
92	наряду с	7	11
93	в их	9	11
94	в частности	11	11
95	с тем	5	11
96	как мы	19	11
97	то время	4	11
98	к ней	2	11
99	и даже	5	11
100	и для	12	11
101	с ним	5	11
102	в отношении	5	10
103	в целом	2	10
104	к себе	8	10
105	отношение к	5	10
106	ничего не	9	10
107	одной из	3	10
108	и все	10	10
109	в чем	3	10
110	мы не	4	10
111	же в	6	10
112	он был	2	10
113	с его	10	10
114	с этим	11	10
115	тем более	4	10
116	с одной	5	10
117	как бы	11	10
118	отличие от	3	9
119	одной стороны	3	9
120	в образе	8	9
121	и по	5	9
122	даже не	2	9
123	в своей	2	9
124	а также	5	9
125	и еще	3	9
126	отношению к	5	9
127	время как	5	9
128	но все	6	9
129	все что	2	9
130	друг друга	3	9
131	вовсе не	20	9
132	только в	12	9
133	в ней	4	9
134	идет о	2	8
135	и ее	4	8
136	и других	5	8
137	как он	4	8
138	по своему	3	8
139	с самого	3	8
140	место в	4	8
141	не знает	4	8
142	а затем	3	8
143	связи с	14	8
144	да и	4	8
145	с этой	3	8
146	в течение	2	8
147	в которых	4	8
148	если не	3	8
149	не было	8	8
150	во всех	13	8
151	вопрос о	2	7
152	до конца	5	7
153	в себе	7	7
154	и поэтому	2	7
155	само собой	2	7
156	в другом	2	7
157	и у	8	7
158	это время	8	7
159	античной литературы	4	7
160	и к	4	7
161	самого начала	3	7
162	в других	9	7
163	и это	5	7
164	и во	13	7
165	в связи	13	7
166	что они	3	7
167	во всяком	5	7
168	тех же	2	7
169	из этих	5	7
170	хотя бы	2	7
171	в результате	6	7
172	целый ряд	2	7
173	и вот	2	7
174	не является	4	7
175	в этих	6	7
176	и тот	2	7
177	не имеет	5	7
178	равно как	4	7
179	отнюдь не	7	7
180	для нас	2	7
181	в виду	5	6
182	всего в	4	6
183	его от	3	6
184	том числе	7	6
185	так в	2	6
186	могут быть	7	6
187	здесь в	6	6
188	что не	3	6
189	в сущности	5	6
190	никто не	2	6
191	нет и	4	6
192	в дальнейшем	10	6
193	на которые	2	6
194	не зная	2	6
195	и он	3	6
196	это было	2	6
197	к концу	3	6
198	и как	12	6
199	человека в	22	6
200	по всему	3	6
201	в отличие	3	6
202	еще более	7	6
203	с собой	2	6
204	на этом	2	6
205	мы встречаем	3	6
206	с точки	9	6
207	или в	3	6
208	а не	7	6
209	никогда не	8	5
210	этом отношении	5	5
211	это не	8	5
212	для всех	3	5
213	его на	3	5
214	том как	2	5
215	в каждом	2	5
216	роль в	12	5
217	после этого	2	5
218	по существу	17	5
219	к ним	3	5
220	мы имеем	2	5
221	что на	3	5
222	не могла	2	5
223	между собой	5	5
224	в ее	6	5
225	только один	2	5
226	в честь	2	5
227	сказать что	4	5
228	и от	3	5
229	себя в	2	5
230	в мире	4	5
231	т д	3	5
232	мира в	6	5
233	к своему	2	5
234	раз в	4	5
235	именно в	5	5
236	здесь нет	3	5
237	в это	5	5
238	со своей	3	5
239	жизни и	12	5
240	здесь и	3	5
241	конечно не	7	5
242	друг другу	4	5
243	же самое	2	5
244	той же	2	5
245	тем же	3	5
246	но он	4	5
247	с помощью	5	5
248	чем в	3	5
249	не о	2	4
250	все более	2	4
251	которые в	2	4
252	собой разумеется	2	4
253	в глаза	3	4
254	не столько	2	4
255	в трагедии	3	4
256	наконец в	2	4
257	за счет	2	4
258	всякого рода	3	4
259	по сравнению	3	4
260	и этим	2	4
261	в более	2	4
262	все его	7	4
263	времени в	14	4
264	он так	2	4
265	между ними	5	4
266	сравнению с	3	4
267	же как	2	4
268	не на	4	4
269	здесь мы	4	4
270	из самых	3	4
271	например в	7	4
272	в основе	9	4
273	одна из	3	4
274	одно из	3	4
275	каждый из	2	4
276	бы он	2	4
277	нет ничего	4	4
278	с их	2	4
279	стороны и	2	4
280	был бы	3	4
281	и их	11	4
282	у нас	2	4
283	времени и	10	4
284	и другие	6	4
285	одновременно с	2	4
286	в пределах	8	4
287	нас в	3	4
288	далеко не	3	4
289	прежде чем	3	4
290	их в	6	4
291	выражение в	3	4
292	что мы	2	4
293	в той	5	4
294	правда в	2	4
295	как его	3	4
296	в себя	3	4
297	на площади	4	4
298	и речи	6	4
299	если мы	2	3
300	в соответствии	2	3
301	и потому	4	3
302	не могут	4	3
303	в одной	2	3
304	вплоть до	3	3
305	всего это	2	3
306	их к	3	3
307	затем в	3	3
308	не был	2	3
309	для себя	8	3
310	должен быть	2	3
311	того в	2	3
312	если они	2	3
313	не без	2	3
314	а как	3	3
315	том же	4	3
316	друг от	2	3
317	только на	3	3
318	не являются	3	3
319	в какой-то	4	3
320	от этого	4	3
321	она не	2	3
322	они не	4	3
323	с другом	5	3
324	его и	2	3
325	людей и	2	3
326	не столь	2	3
327	по этому	2	3
328	на них	2	3
329	для них	3	3
330	на землю	2	3
331	одну из	2	3
332	протяжении всего	2	3
333	было в	2	3
334	принадлежит к	4	3
335	ссылаясь на	2	3
336	всего этого	3	3
337	между двумя	6	3
338	мы видели	2	3
339	только два	2	3
340	они были	4	3
341	числе и	4	3
342	в эпоху	5	3
343	его с	2	3
344	и эта	2	3
345	в новое	4	3
346	и уже	4	3
347	друг с	5	3
348	мы находим	2	3
349	для своего	2	3
350	в греческом	29	3
351	только для	2	3
352	совершенно не	3	3
353	чувствует себя	5	3
354	чем не	5	3
355	было и	4	3
356	жизнь и	4	3
357	и более	3	3
358	отношения к	7	3
359	за пределами	2	3
360	от греческого	3	3
361	в самой	3	3
362	связанные с	5	3
363	похож на	3	3
364	время и	4	3
365	в большинстве	3	3
366	соответствии с	2	3
367	по себе	3	3
368	находится в	3	3
369	разумеется что	2	3
370	в один	2	3
371	является не	2	3
372	ему в	3	3
373	в присутствии	4	3
374	в таком	4	3
375	и есть	3	3
376	как на	2	3
377	чем они	3	3
378	во всем	3	3
379	не к	2	3
380	в нашем	3	3
381	однако не	2	3
382	от друга	2	3
383	образом и	2	2
384	еще и	3	2
385	в каком	2	2
386	те же	5	2
387	главный герой	2	2
388	с которой	2	2
389	как можно	3	2
390	не для	3	2
391	и следовательно	5	2
392	характера в	2	2
393	человека и	15	2
394	а потом	2	2
395	не как	2	2
396	связанных с	3	2
397	что здесь	2	2
398	действующим лицом	2	2
399	не могли	3	2
400	были в	2	2
401	во времени	6	2
402	за ними	3	2
403	у них	4	2
404	начинается с	2	2
405	в основном	12	2
406	более что	2	2
407	была уже	2	2
408	что даже	2	2
409	того что	5	2
410	нем не	3	2
411	со всеми	4	2
412	и дает	3	2
413	этого времени	2	2
414	как уже	3	2
415	что все	4	2
416	к вопросу	2	2
417	и тех	2	2
418	могло быть	5	2
419	здесь же	2	2
420	была бы	2	2
421	жизнь в	2	2
422	а мы	2	2
423	в античном	6	2
424	ту же	4	2
425	во втором	2	2
426	в уста	2	2
427	не входит	2	2
428	лучше всего	2	2
429	друг за	2	2
430	и те	4	2
431	и та	2	2
432	большинстве случаев	2	2
433	же что	3	2
434	в основу	3	2
435	совсем не	4	2
436	здесь не	5	2
437	в браке	2	2
438	вернуться к	2	2
439	в полном	2	2
440	мы видим	4	2
441	и были	2	2
442	и до	7	2
443	все эти	12	2
444	чтобы они	4	2
445	себя и	6	2
446	этому вопросу	2	2
447	почти всегда	2	2
448	мир в	6	2
449	и может	2	2
450	в центре	2	2
451	в реальном	2	2
452	рядом с	4	2
453	особенно в	3	2
454	нет в	2	2
455	имеет в	2	2
456	то в	2	2
457	времени а	2	2
458	с другими	3	2
459	в литературе	17	2
460	ни был	2	2
461	и так	2	2
462	в этот	5	2
463	в порядке	4	2
464	с ее	7	2
465	слова и	4	2
466	на земле	2	2
467	жизни в	11	2
468	как по	2	2
469	в философии	2	2
470	где он	2	2
471	начиная от	3	2
472	но они	3	2
473	формы и	4	2
474	друг на	4	2
475	не похож	3	2
476	с человеком	2	2
