N	2gram	Berdyaev_N	Freidism
1	и не	11	34
2	не может	16	30
3	и пр	3	29
4	может быть	7	28
5	и в	16	28
6	в этом	7	28
7	прежде всего	4	26
8	то что	4	17
9	все эти	2	15
10	так и	2	14
11	в своей	3	14
12	во всех	3	13
13	и все	4	13
14	но в	2	13
15	как и	7	13
16	и потому	4	12
17	том что	2	12
18	ни в	6	12
19	все это	5	12
20	сказать что	3	11
21	никогда не	6	10
22	и с	2	10
23	за пределы	3	10
24	не только	5	10
25	но и	3	10
26	не в	6	10
27	он не	8	10
28	в том	8	10
29	конечно не	3	10
30	могут быть	2	9
31	уже не	2	9
32	и на	2	9
33	мы не	2	9
34	а не	17	9
35	с его	6	9
36	с этим	2	8
37	еще не	3	8
38	а в	2	8
39	в ней	5	8
40	в жизни	5	7
41	в то	2	7
42	в себе	2	7
43	что в	9	7
44	хотя бы	2	7
45	и для	4	7
46	роль в	2	7
47	на протяжении	2	7
48	но не	2	7
49	что все	2	7
50	в нем	5	7
51	и к	5	7
52	жизни и	8	7
53	для этого	2	6
54	в высшей	6	6
55	человека и	3	6
56	не менее	4	6
57	она не	3	6
58	к тому	3	6
59	что такое	3	6
60	совсем не	12	6
61	и что	2	6
62	высшей степени	6	6
63	в основе	3	6
64	что она	2	5
65	с их	2	5
66	как это	2	5
67	не знает	6	5
68	это не	4	5
69	того чтобы	2	5
70	не было	4	5
71	в ее	3	5
72	вместе с	2	5
73	одна из	2	4
74	все время	2	4
75	так же	2	4
76	но это	6	4
77	мысли и	2	4
78	с ее	5	4
79	у него	2	4
80	как в	3	4
81	по своему	4	4
82	потому что	4	4
83	и т.п	2	4
84	не существует	3	4
85	смысле слова	3	4
86	нет и	2	4
87	это и	2	4
88	в истории	3	4
89	я не	2	4
90	и от	2	3
91	в эпоху	9	3
92	жизни в	3	3
93	и даже	2	3
94	как не	8	3
95	такой же	2	3
96	в центре	2	3
97	ведь и	2	3
98	о том	4	3
99	центр тяжести	2	3
100	но для	2	3
101	в обществе	2	3
102	в них	4	3
103	формы и	2	3
104	себя в	2	3
105	жизни к	4	3
106	и есть	10	3
107	в одну	2	2
108	вопрос о	3	2
109	когда мы	2	2
110	ли это	2	2
111	должно быть	4	2
112	всех сторон	4	2
113	такого рода	2	2
114	это было	3	2
115	должен быть	5	2
116	и начинается	2	2
117	связана с	2	2
118	все они	2	2
119	с одной	2	2
120	должна быть	3	2
121	в мире	3	2
122	в прошлом	3	2
123	думать что	2	2
124	не имеет	4	2
125	не есть	3	2
126	с другой	3	2
127	и творчества	2	2
128	зависит от	2	2
129	и было	2	2
130	стремление к	2	2
131	большую роль	4	2
132	личность в	2	2
133	одной стороны	2	2
134	этом смысле	2	2
135	равно как	2	2
136	же как	2	2
137	связаны с	2	2
138	каждого человека	2	2
139	это есть	7	2
140	не к	2	2
