N	2gram	Tiupa_Hudo	formyVre
1	и в	23	148
2	в этом	12	73
3	то есть	26	70
4	в романе	3	58
5	в нем	6	51
6	прежде всего	5	46
7	и не	16	37
8	в его	11	36
9	и его	12	36
10	вовсе не	2	35
11	но и	14	33
12	то же	12	32
13	частной жизни	2	32
14	не только	20	32
15	в литературе	2	32
16	но в	10	31
17	так и	12	29
18	времени в	2	27
19	может быть	19	27
20	не в	9	26
21	как и	3	25
22	как бы	11	25
23	человеческой жизни	3	24
24	точки зрения	11	24
25	в то	8	23
26	времени и	2	23
27	только в	7	23
28	то что	5	22
29	в том	20	22
30	жизни в	2	21
31	все эти	2	21
32	связи с	3	21
33	во всех	3	21
34	же время	7	21
35	в своем	4	19
36	и др	2	19
37	и для	3	19
38	и на	3	19
39	у него	2	18
40	еще не	4	18
41	таким образом	3	18
42	человека и	2	17
43	при этом	19	17
44	в пределах	3	17
45	того же	3	16
46	в связи	3	16
47	в основе	7	16
48	не может	9	16
49	никогда не	2	15
50	в них	2	15
51	лишь в	7	15
52	в пространстве	2	15
53	в одном	3	15
54	с точки	3	15
55	с его	6	15
56	так же	2	14
57	все это	2	14
58	и как	4	14
59	как раз	3	14
60	а не	13	14
61	роль в	2	13
62	в их	5	13
63	в частности	18	13
64	а в	13	13
65	того чтобы	5	13
66	для того	5	13
67	как в	2	13
68	в самом	7	13
69	с ним	2	13
70	отнюдь не	2	12
71	но не	13	12
72	потому что	3	12
73	он не	4	12
74	что в	7	12
75	его в	4	11
76	между ними	5	11
77	хотя и	4	11
78	ни в	5	11
79	мира и	2	11
80	этом мире	2	10
81	здесь не	2	10
82	в ее	6	10
83	и другие	2	10
84	входит в	4	10
85	уже не	6	10
86	и того	3	10
87	на основе	2	10
88	могут быть	5	9
89	одного и	3	9
90	том что	9	9
91	мира в	2	9
92	и это	2	9
93	с другой	9	9
94	для него	5	9
95	есть в	3	9
96	в самой	2	9
97	их в	3	9
98	оно не	2	9
99	отношения к	4	9
100	это не	4	8
101	или иной	9	8
102	для себя	4	8
103	и прежде	3	8
104	и потому	2	8
105	в произведении	3	8
106	к тому	4	8
107	отношение к	7	8
108	том числе	3	8
109	в целом	3	8
110	и т.п	7	8
111	один из	2	8
112	хронотоп в	2	8
113	что и	2	8
114	и то	4	8
115	а также	6	8
116	и по	2	8
117	если бы	3	8
118	героя и	5	8
119	в этих	4	8
120	отношению к	10	8
121	с одной	3	8
122	в жизни	3	8
123	в мире	24	8
124	и к	3	8
125	в виду	5	8
126	жизни но	2	8
127	во времени	4	7
128	в себе	13	7
129	не как	2	7
130	отличие от	7	7
131	не знает	4	7
132	того что	5	7
133	между собой	2	7
134	в той	3	7
135	место в	5	7
136	себя и	3	7
137	например в	4	7
138	имеет место	3	7
139	из этих	3	7
140	в которой	3	7
141	с ее	6	7
142	не могло	2	7
143	ее в	2	7
144	в отличие	7	7
145	в форме	4	7
146	в себя	4	7
147	но он	3	7
148	в отношении	4	6
149	и ее	3	6
150	с самим	2	6
151	своей жизни	2	6
152	одной из	2	6
153	могло быть	2	6
154	одной стороны	3	6
155	между двумя	2	6
156	в качестве	31	6
157	во всей	3	6
158	сказать что	4	6
159	только и	2	6
160	за пределы	2	6
161	не является	5	6
162	автора и	3	6
163	о том	2	6
164	именно в	2	6
165	имеем в	3	6
