N	2gram	Medvedev_U	OGranits
1	и в	14	13
2	прежде всего	8	9
3	и не	8	8
4	не может	7	8
5	может быть	6	8
6	в его	2	7
7	не только	10	6
8	стилистических приемов	5	6
9	таким образом	2	6
10	только в	2	6
11	то что	7	6
12	и т.д	3	5
13	эстетического объекта	6	5
14	все же	3	5
15	хотя бы	5	5
16	художественного произведения	2	5
17	но в	3	4
18	то же	5	4
19	в своей	3	4
20	все это	5	4
21	было бы	3	4
22	вопроса о	2	4
23	мы не	2	4
24	и для	2	3
25	и то	3	3
26	материала и	2	3
27	превращается в	2	3
28	вряд ли	3	3
29	как и	3	3
30	не в	2	3
31	в их	4	3
32	в себе	2	3
33	самом деле	2	3
34	не как	3	3
35	в искусстве	6	3
36	но и	4	3
37	не столько	2	3
38	в самом	2	2
39	могут быть	2	2
40	в этом	7	2
41	в том	2	2
42	тем что	2	2
43	если бы	2	2
44	с другой	4	2
45	том что	2	2
46	а как	2	2
47	художественное произведение	5	2
48	в области	3	2
49	формальный метод	11	2
50	истории литературы	3	2
51	а не	10	2
52	другой стороны	3	2
53	художественных произведений	2	2
54	и является	2	2
55	между тем	2	2
56	к сожалению	3	2
57	в шкловского	2	2
58	для него	3	2
