N	3gram	Vinokur_Ku	Vvedenie
1	и т д	21	39
2	для того чтобы	21	22
3	в том что	23	15
4	о том что	6	13
5	в этом смысле	8	10
6	но также и	2	10
7	не может быть	5	10
8	тем не менее	9	9
9	с течением времени	2	7
10	до сих пор	5	7
11	в широком смысле	2	7
12	мере в какой	6	6
13	не трудно видеть	3	6
14	в то же	4	6
15	в этом случае	4	6
16	в той мере	6	6
17	в самом деле	14	6
18	то же время	4	6
19	той мере в	6	6
20	не что иное	2	5
21	во всяком случае	8	5
22	что иное как	2	5
23	на этот вопрос	3	5
24	и т п	39	5
25	с другой стороны	12	5
26	в том чтобы	9	5
27	по крайней мере	11	4
28	не только в	4	4
29	в общем случае	2	4
30	и в том	2	4
31	так или иначе	3	4
32	само по себе	6	4
33	т е в	3	4
34	в этом отношении	8	4
35	но все же	3	4
36	с одной стороны	2	4
37	по отношению к	8	4
38	в отличие от	3	4
39	с точки зрения	16	4
40	можно было бы	11	4
41	вместе с тем	3	3
42	заключается в том	2	3
43	большей или меньшей	2	3
44	можно говорить о	2	3
45	в зависимости от	7	3
46	и тем не	4	3
47	можно сказать что	2	3
48	и в самом	4	3
49	в свое время	4	3
50	широком смысле этого	3	2
51	состоит в том	4	2
52	что же касается	4	2
53	этой точки зрения	4	2
54	на этой почве	2	2
55	с этой точки	3	2
56	не в том	5	2
57	в соответствии с	5	2
58	в конце концов	3	2
59	и того же	2	2
60	в данном отношении	4	2
61	точно так же	4	2
62	только в том	5	2
63	обратить внимание на	2	2
64	одного и того	2	2
65	и потому что	4	2
66	смысле этого слова	2	2
67	не говоря уже	2	2
68	после того как	2	2
69	хотя бы и	4	2
70	в связи с	4	2
71	в свою очередь	4	2
