N	2gram	Propp_Morf	VelikijI
1	и не	16	20
2	и в	17	16
3	так как	20	9
4	то что	10	9
5	еще не	4	8
6	что они	5	7
7	а не	11	7
8	как бы	6	5
9	но и	9	5
10	все это	2	5
11	хотя и	5	5
12	того что	3	5
13	это еще	2	4
14	как и	4	4
15	потому что	7	4
16	в образе	6	4
17	что мы	2	4
18	говорить о	4	4
19	в этом	18	4
20	что он	5	4
21	и есть	3	4
22	так и	10	4
23	превращается в	2	3
24	что в	10	3
25	в том	10	3
26	и для	4	3
27	не имеет	2	3
28	тому что	5	3
29	но в	4	3
30	к тому	5	3
31	ни в	3	3
32	их в	2	3
33	то это	5	3
34	но это	6	3
35	оно не	2	3
36	хотя бы	5	3
37	во всех	6	3
38	к чему	3	3
39	что и	10	3
40	и что	3	3
41	не в	3	3
42	все эти	5	3
43	в этих	17	3
44	должна быть	2	3
45	в чем	2	3
46	с его	3	3
47	когда в	2	2
48	с тем	2	2
49	самого себя	2	2
50	они и	5	2
51	одна из	5	2
52	не так	2	2
53	но не	8	2
54	это не	6	2
55	ее в	3	2
56	не только	8	2
57	не могут	7	2
58	является в	2	2
59	а в	8	2
60	том что	7	2
61	но мы	3	2
62	чтобы овладеть	2	2
63	от него	2	2
64	во всяком	2	2
65	и тогда	3	2
66	вслед за	5	2
67	уже не	4	2
68	могут быть	21	2
69	в последнем	3	2
70	один из	7	2
71	т д	60	2
72	того чтобы	4	2
73	тем что	4	2
74	мы не	8	2
75	можно было	4	2
76	только в	3	2
77	и за	2	2
78	в форме	6	2
79	его и	2	2
80	для нас	2	2
81	прежде всего	14	2
82	и т	62	2
83	это мы	2	2
84	между тем	5	2
85	а с	2	2
86	для него	2	2
87	не с	2	2
