N	2gram	Voloshinov	VeschiIm
1	не есть	2	79
2	и не	10	57
3	не только	4	48
4	то что	5	48
5	не может	16	46
6	и в	12	45
7	вещи и	2	40
8	может быть	14	39
9	а не	5	37
10	в себе	3	23
11	по себе	3	23
12	только в	6	23
13	сказать что	7	22
14	и что	2	22
15	и следовательно	5	20
16	как бы	13	20
17	и ее	3	19
18	но и	3	19
19	все же	4	18
20	в этом	4	18
21	прежде всего	8	17
22	так как	9	17
23	что мы	5	17
24	того что	3	16
25	таким образом	12	16
26	в том	6	15
27	как и	5	15
28	в ней	6	15
29	уже не	4	15
30	не в	4	14
31	и то	2	14
32	но это	2	14
33	том что	5	13
34	и для	3	13
35	в самом	4	13
36	то ни	3	13
37	в себя	2	13
38	ничего не	2	12
39	смысл и	2	12
40	что в	2	12
41	точки зрения	14	12
42	что и	2	12
43	то же	5	12
44	ни было	4	12
45	еще не	3	12
46	о том	3	12
47	и с	3	12
48	бы то	3	12
49	в то	2	11
50	не менее	3	11
51	что не	4	11
52	тем не	3	11
53	и пр	3	11
54	ни в	3	11
55	в чем	2	10
56	ясно что	3	10
57	это не	2	9
58	в своем	2	9
59	она не	2	9
60	хотя бы	5	9
61	но не	2	9
62	но что	2	9
63	и его	13	9
64	с ним	3	9
65	в отношении	2	8
66	его в	4	8
67	и потому	2	8
68	но в	5	8
69	мы не	3	8
70	себя и	2	8
71	все это	3	8
72	должна быть	5	8
73	можно сказать	5	8
74	с другими	2	8
75	мы имеем	2	8
76	если бы	9	8
77	для него	3	8
78	с другой	4	8
79	отнюдь не	5	8
80	от того	4	7
81	самом деле	3	7
82	все эти	3	7
83	относится к	2	7
84	или не	3	7
85	слова и	6	7
86	с этой	2	7
87	ни на	2	7
88	оно не	2	7
89	никогда не	5	6
90	в каком	3	6
91	как же	2	6
92	независимо от	2	6
93	ведь и	3	6
94	и все	2	6
95	в нем	6	6
96	между ними	2	6
97	в своей	3	6
98	одно и	2	6
99	и вообще	3	6
100	в данном	2	6
101	дело в	4	6
102	быть только	2	6
103	жизни и	4	6
104	с точки	2	6
105	как только	2	6
106	да и	3	5
107	как к	3	5
108	вместе с	2	5
109	как это	2	5
110	точка зрения	3	5
111	тогда когда	2	5
112	в его	2	5
113	быть и	3	5
114	на это	2	5
115	и здесь	2	5
116	кроме того	2	5
117	в жизни	5	5
118	от всех	2	5
119	если же	2	5
120	так же	3	4
121	и притом	2	4
122	отношение к	4	4
123	так и	4	4
124	этой точки	3	4
125	мы можем	2	4
126	на него	2	4
127	в особенности	2	4
128	отношении к	3	4
129	и более	3	4
130	в котором	3	4
131	есть уже	2	4
132	он не	2	4
133	только на	3	3
134	к нему	4	3
135	была бы	2	3
136	одной стороны	2	3
137	другой стороны	2	3
138	и самое	2	3
139	как в	5	3
140	свое выражение	4	3
141	с одной	2	3
142	но все	2	3
143	выражение в	2	3
144	допустим что	2	3
145	из этого	3	3
146	перестает быть	2	3
147	не к	3	3
148	этих двух	2	3
149	данном случае	2	2
150	ее и	3	2
151	еще раз	2	2
152	общения и	2	2
153	которые мы	2	2
154	едва ли	2	2
155	слово в	3	2
156	в виду	5	2
157	на все	2	2
158	точку зрения	2	2
159	и дает	2	2
160	не так	2	2
161	уже в	2	2
162	по природе	2	2
163	нет ничего	2	2
164	и та	2	2
165	между собой	2	2
166	и совершенно	2	2
167	нуждается в	3	2
168	но зато	2	2
169	к его	2	2
170	из общего	3	2
171	здесь не	3	2
172	его как	2	2
173	к этому	2	2
174	бы даже	2	2
175	стороны и	2	2
176	как не	2	2
177	и другие	2	2
178	и так	2	2
179	зависит от	2	2
180	когда он	3	2
181	и к	4	2
182	но для	3	2
183	для нас	7	2
184	и на	4	2
185	и уже	3	2
186	конечно не	3	2
187	выражение и	2	2
188	с его	2	2
