N	2gram	Medvedev_S	formyVre
1	и в	3	148
2	в этом	5	73
3	в его	3	36
4	но и	2	33
5	то же	2	32
6	не только	3	32
7	может быть	2	27
8	не в	3	26
9	как бы	2	25
10	только в	2	23
11	то что	2	22
12	в том	5	22
13	по существу	2	18
14	еще не	2	18
15	таким образом	2	18
16	все это	7	14
17	в конце	2	14
18	в частности	2	13
19	что в	2	12
20	том что	2	9
21	в результате	2	8
22	отношению к	2	8
23	было бы	2	7
24	за пределы	2	6
25	далеко не	2	5
26	в смысле	2	5
27	и только	3	5
28	по отношению	2	4
29	тем более	2	4
30	это и	2	4
31	литературы и	2	3
32	главным образом	2	3
33	или даже	2	2
34	ведь это	2	2
35	исторического развития	2	2
36	идей и	2	2
37	для нас	3	2
38	должна быть	2	2
39	по природе	2	2
40	как только	2	2
