N	2gram	Bakhtin_sl	VerxiiNi
1	и в	69	26
2	таким образом	16	22
3	в этом	21	15
4	вместе с	3	15
5	точки зрения	24	13
6	как бы	16	12
7	в том	7	11
8	не только	37	10
9	из этих	3	10
10	и с	10	10
11	может быть	40	10
12	что в	3	9
13	так как	7	9
14	связи с	4	9
15	но и	37	9
16	но не	7	8
17	с другой	8	8
18	и у	2	8
19	и не	32	8
20	но все	2	7
21	к нему	7	7
22	потому что	2	7
23	связанные с	7	7
24	одной стороны	7	7
25	из них	3	7
26	то что	2	7
27	с одной	7	7
28	но в	13	7
29	том что	6	7
30	а с	2	7
31	в отношении	9	6
32	все же	10	6
33	к тому	3	6
34	о том	5	6
35	того же	7	6
36	в себе	3	6
37	несмотря на	2	6
38	всяком случае	7	6
39	что и	2	6
40	с точки	11	6
41	все эти	15	6
42	все это	14	6
43	и потому	9	6
44	так и	22	6
45	во всяком	9	6
46	никогда не	9	5
47	одной из	4	5
48	и для	7	5
49	более или	5	5
50	так же	2	5
51	и к	9	5
52	друг с	2	5
53	отношение к	8	5
54	лишь в	6	5
55	в его	19	5
56	для того	2	5
57	с другом	2	5
58	а не	29	5
59	образом в	4	5
60	сих пор	4	5
61	до сих	4	5
62	или менее	5	5
63	и от	5	4
64	что все	2	4
65	далеко не	7	4
66	а в	10	4
67	с другими	8	4
68	в котором	2	4
69	в самом	6	4
70	в нем	44	4
71	не может	27	4
72	в смысле	7	4
73	что оно	4	4
74	то есть	46	4
75	целый ряд	2	4
76	в виде	4	4
77	то же	17	4
78	и что	2	4
79	и по	3	4
80	в этих	8	4
81	только в	9	4
82	что он	2	4
83	и только	2	4
84	он не	5	4
85	в то	17	4
86	в своем	9	3
87	к ним	2	3
88	или иначе	2	3
89	уже не	5	3
90	хотя бы	6	3
91	и нет	3	3
92	к этому	3	3
93	в результате	4	3
94	с ней	2	3
95	в которой	4	3
96	в значительной	6	3
97	тем не	2	3
98	и даже	11	3
99	и как	3	3
100	из которого	2	3
101	и те	3	3
102	же как	2	3
103	в других	4	3
104	при этом	12	3
105	не менее	4	3
106	как о	2	3
107	у них	2	3
108	в качестве	4	3
109	и при	2	3
110	с этой	3	3
111	в связи	2	3
112	и другие	3	3
113	в таком	5	3
114	так что	2	3
115	случае не	2	3
116	и о	3	3
117	но по	2	3
118	можно сказать	2	3
119	отношению к	2	3
120	в одном	4	3
121	того что	4	3
122	для него	8	3
123	культуры и	2	3
124	по своему	2	2
125	не исчерпывается	3	2
126	мы видели	3	2
127	сказать что	4	2
128	связан с	2	2
129	которые в	4	2
130	для этого	4	2
131	в эту	3	2
132	и заставляет	3	2
133	из этого	3	2
134	и связанные	2	2
135	от подлинной	2	2
136	или иной	13	2
137	не могут	7	2
138	а также	5	2
139	не должны	3	2
140	и проч	4	2
141	на то	2	2
142	для всех	2	2
143	он в	6	2
144	одновременно и	5	2
145	в процессе	14	2
146	они в	2	2
147	между этими	3	2
148	есть как	3	2
149	связь с	2	2
150	между тем	5	2
151	одним из	5	2
152	особенно в	3	2
153	в свою	4	2
154	из себя	3	2
155	не как	4	2
156	связанных с	4	2
157	из своих	2	2
158	не могла	2	2
159	именно в	5	2
160	конечно не	7	2
161	отличается от	3	2
162	приводит к	2	2
163	с одним	3	2
164	тогда когда	2	2
165	требует от	2	2
166	те же	3	2
167	в них	11	2
168	только не	2	2
169	и особенно	2	2
170	и на	17	2
171	и здесь	5	2
172	уже в	2	2
173	еще не	9	2
174	по своей	2	2
175	наконец в	5	2
176	жизни и	5	2
177	в новом	3	2
178	не было	4	2
179	по своим	6	2
180	различия между	3	2
181	этом отношении	2	2
182	и мир	9	2
183	не в	14	2
184	из него	4	2
185	и наконец	9	2
186	ни было	2	2
187	той или	13	2
188	перестает быть	2	2
189	в одно	2	2
190	ее с	2	2
191	на все	3	2
192	и все	9	2
193	же время	15	2
194	героев и	2	2
195	один из	9	2
196	в виду	2	2
197	со всеми	3	2
198	связано с	3	2
199	них не	2	2
200	людей и	2	2
201	прежде всего	14	2
202	его не	4	2
203	исторического развития	2	2
204	не могло	3	2
205	связана с	2	2
206	его от	2	2
207	с его	8	2
208	во всех	25	2
209	в разных	3	2
210	тем и	3	2
211	быть и	6	2
212	не с	5	2
213	по существу	3	2
