N	3gram	Tiupa_Hudo	Problemy
1	то же время	11	26
2	в то же	11	26
3	с точки зрения	5	25
4	по отношению к	15	18
5	и т п	10	18
6	к себе самому	2	18
7	не может быть	5	14
8	но в то	3	11
9	до сих пор	3	10
10	в самом деле	5	9
11	в том что	15	8
12	как бы в	2	7
13	и в то	2	7
14	и в этом	3	7
15	и т д	5	7
16	подобно тому как	4	5
17	можно было бы	5	5
18	но все же	2	5
19	тем не менее	6	4
20	то что было	2	4
21	о том что	14	4
22	как и в	5	4
23	а между тем	3	4
24	в этом отношении	4	4
25	но при этом	3	3
26	то что я	2	3
27	в данном случае	3	3
28	на то что	2	3
29	все же не	2	3
30	и это не	2	3
31	не только не	3	3
32	и в самом	4	3
33	что она не	2	3
34	в художественном мире	2	3
35	в такой же	2	2
36	то же самое	3	2
37	рядом с собой	2	2
38	же как и	2	2
39	но тем не	2	2
40	в столкновение с	2	2
41	что он не	3	2
42	что же касается	2	2
43	друг от друга	2	2
44	не только в	4	2
45	к тому что	8	2
46	не согласиться с	2	2
47	для того чтобы	2	2
48	в значительной степени	3	2
49	как будто бы	3	2
