N	2gram	Losev_Vesc	Vvedenie
1	и т	37	45
2	т е	79	40
3	т д	36	39
4	в том	15	38
5	в этом	17	35
6	и в	44	35
7	том что	13	30
8	может быть	37	30
9	не только	48	26
10	для того	3	23
11	того чтобы	4	22
12	таким образом	16	21
13	также и	9	20
14	не может	44	19
15	то что	47	19
16	потому что	25	18
17	со стороны	9	16
18	о том	11	16
19	только в	23	16
20	так как	17	15
21	и не	57	13
22	что в	11	13
23	в самом	13	13
24	в нем	6	13
25	в их	4	12
26	того что	16	12
27	что такое	20	12
28	точки зрения	10	12
29	в его	5	12
30	этом смысле	2	11
31	в данном	6	11
32	то же	12	11
33	по себе	22	11
34	в ее	8	11
35	как мы	6	11
36	ясно что	10	11
37	вопрос о	6	10
38	не в	14	10
39	прежде всего	17	10
40	но в	8	10
41	в той	6	10
42	тем не	11	9
43	и как	12	9
44	все же	18	9
45	но не	9	9
46	не менее	11	9
47	в истории	3	9
48	это не	9	8
49	можно было	6	8
50	о котором	2	8
51	с другой	8	8
52	а только	3	8
53	именно в	2	8
54	как нечто	3	8
55	в качестве	4	8
56	и то	14	7
57	самом деле	7	7
58	как и	15	7
59	как бы	19	7
60	этот вопрос	6	7
61	но и	19	7
62	в разных	6	7
63	только как	2	7
64	было бы	24	7
65	в применении	2	7
66	сказать что	21	6
67	его в	8	6
68	том чтобы	2	6
69	хотя бы	9	6
70	иное как	12	6
71	об этом	5	6
72	и даже	12	6
73	применении к	3	6
74	но если	12	6
75	к истории	2	6
76	тем что	7	6
77	как он	2	6
78	мере в	2	6
79	на вопрос	2	6
80	с тем	8	6
81	каждой из	2	6
82	и это	17	6
83	а в	6	6
84	уже не	15	6
85	в то	11	6
86	один из	5	6
87	в руки	2	6
88	и что	22	6
89	и его	4	6
90	все это	7	6
91	же время	4	6
92	вовсе не	11	6
93	вместе с	4	6
94	данном случае	2	5
95	независимо от	5	5
96	дело в	6	5
97	дело не	4	5
98	не что	12	5
99	есть и	13	5
100	в виду	2	5
101	и тем	7	5
102	с этой	6	5
103	что он	7	5
104	так что	9	5
105	что иное	12	5
106	что не	11	5
107	одно из	2	5
108	от этого	3	5
109	как это	4	5
110	на почве	6	5
111	а потому	2	5
112	есть не	17	5
113	не есть	79	5
114	она есть	12	5
115	другой стороны	3	5
116	уже в	2	5
117	в целом	3	5
118	всяком случае	2	5
119	что и	11	5
120	говорить о	9	5
121	не просто	23	5
122	а не	34	5
123	в первом	2	5
124	но с	2	5
125	хотя и	5	5
126	во всяком	4	5
127	да и	5	4
128	еще и	11	4
129	само по	4	4
130	истории и	2	4
131	по сравнению	8	4
132	в чисто	5	4
133	в результате	9	4
134	мы имеем	8	4
135	о чем	2	4
136	одной стороны	3	4
137	и ее	19	4
138	только что	2	4
139	должен быть	5	4
140	к делу	2	4
141	в особенности	3	4
142	этом отношении	2	4
143	это только	2	4
144	но ведь	2	4
145	как о	5	4
146	еще не	12	4
147	е в	7	4
148	по крайней	10	4
149	в чем	10	4
150	с одной	3	4
