N	2gram	Nazirov_Tv	Mirosoze
1	и в	40	97
2	у достоевского	51	94
3	может быть	11	64
4	не только	16	63
5	в этом	11	55
6	но и	10	54
7	он не	10	53
8	а не	9	53
9	в нем	4	49
10	не может	9	49
11	у него	11	47
12	во имя	3	39
13	и не	12	39
14	никогда не	13	38
15	потому что	10	37
16	в ней	2	37
17	не было	3	36
18	не в	3	34
19	и есть	2	33
20	для него	9	31
21	человека в	9	30
22	не есть	2	30
23	но он	3	30
24	прежде всего	10	29
25	как и	16	29
26	достоевского есть	2	29
27	но в	11	27
28	и он	4	27
29	в мире	8	27
30	человека и	6	26
31	к человеку	3	26
32	и это	2	25
33	в своей	8	25
34	он был	2	25
35	и все	6	24
36	переходит в	2	24
37	свободы и	2	24
38	о свободе	3	24
39	у нас	2	24
40	в своем	4	23
41	иван карамазов	9	23
42	ведет к	3	23
43	что в	17	23
44	и достоевский	5	23
45	что он	11	22
46	творчество достоевского	6	21
47	достоевского и	5	21
48	в самом	6	21
49	в себе	3	20
50	достоевский не	7	20
51	бога и	3	20
52	до конца	2	19
53	в россии	5	19
54	как бы	26	19
55	ивана карамазова	7	18
56	в его	19	18
57	и потому	4	17
58	того что	3	17
59	любви к	2	17
60	достоевского в	19	16
61	в том	13	16
62	том что	14	16
63	то что	9	16
64	было бы	2	16
65	на земле	4	16
66	для достоевского	5	16
67	и его	14	16
68	не был	4	15
69	быть может	3	15
70	в этой	7	15
71	не знает	2	15
72	в котором	8	15
73	в конце	5	14
74	великом инквизиторе	3	14
75	она не	2	14
76	так как	6	14
77	в творчестве	10	14
78	из подполья	19	13
79	достоевского он	2	13
80	о великом	3	13
81	та же	4	13
82	и вот	2	13
83	друг друга	2	13
84	достоевского к	5	13
85	и на	12	13
86	это не	9	12
87	добра и	3	12
88	в человеке	4	12
89	и зла	2	12
90	и у	3	12
91	в любви	3	12
92	все это	14	12
93	но не	7	12
94	достоевский в	7	12
95	он сам	8	12
96	человеческой личности	5	11
97	но это	10	11
98	хотя бы	5	11
99	в которой	5	11
100	только в	7	11
101	достоевского но	2	11
102	был бы	3	11
103	как в	10	11
104	в русской	5	11
105	уже не	6	11
106	жизни и	3	11
107	не могут	2	10
108	достоевского не	12	10
109	для человека	3	10
110	так же	6	10
111	есть не	2	10
112	это и	4	10
113	один из	5	10
114	чем у	2	10
115	образ человека	2	10
116	то же	19	10
117	связана с	2	10
118	человека к	2	10
119	не имеет	2	10
120	xix века	13	9
121	а в	10	9
122	к тому	2	9
123	не будет	2	9
124	что и	3	9
125	я не	5	9
126	х годов	3	9
127	образ и	2	9
128	в бесах	8	9
129	подпольного человека	14	9
130	то есть	16	9
131	в свою	8	9
132	человек и	2	9
133	с ним	4	9
134	не мог	3	9
135	вместе с	4	9
136	ничего не	3	8
137	от него	2	8
138	в этих	2	8
139	дневнике писателя	2	8
140	не так	5	8
141	сам достоевский	3	8
142	жизнь в	2	8
143	самого достоевского	4	8
144	что не	5	8
145	не знал	2	8
146	с его	12	8
147	в дневнике	3	8
148	себя в	3	8
149	творчестве достоевского	9	8
150	достоевского нет	3	8
151	тем что	2	8
152	отношении к	2	8
153	о том	9	8
154	достоевский и	4	8
155	и с	9	8
156	еще в	3	8
157	уже в	5	8
158	в духе	6	7
159	но если	4	7
160	что все	4	7
161	достоевского о	2	7
162	что она	5	7
163	что человек	3	7
164	жизни в	9	7
165	в жизни	3	7
166	герои достоевского	8	7
167	не существует	3	7
168	если он	4	7
169	не могу	2	7
170	его в	2	6
171	братьях карамазовых	7	6
172	когда человек	2	6
173	личности и	2	6
174	людей и	2	6
175	в братьях	6	6
176	этом он	2	6
177	в ее	3	6
178	что достоевский	10	6
179	и человек	3	6
180	в образе	4	6
181	должен был	2	6
182	и от	8	6
183	достоевский с	2	6
184	к ней	3	6
185	было в	2	6
186	записок из	4	6
187	если бы	4	6
188	с этой	4	6
189	же и	2	6
190	русской литературы	3	6
191	жизнь и	2	6
192	и более	2	6
193	что у	5	6
194	веру в	3	6
195	и здесь	2	6
196	в которых	3	6
197	подпольный человек	25	6
198	не к	2	6
199	и если	3	5
200	жизнь идей	2	5
201	означает что	2	5
202	в то	23	5
203	отказывается от	2	5
204	к которому	3	5
205	в их	5	5
206	достоевского это	7	5
207	так и	5	5
208	все время	3	5
209	как у	3	5
210	человека его	2	5
211	человека у	2	5
212	верит в	2	5
213	и я	2	5
214	сказать что	3	5
215	тот же	3	5
216	во всяком	2	5
217	в основе	3	5
218	в мир	2	5
219	и мир	3	5
220	с этим	2	5
221	говорит что	2	5
222	по преимуществу	4	5
223	мысли и	5	5
224	достоевским в	6	5
225	xx века	3	5
226	и как	5	5
227	человека но	3	5
228	еще не	5	5
229	его и	2	5
230	как будто	5	5
231	на протяжении	3	5
232	культуры и	2	5
233	страдания и	2	5
234	он же	2	5
235	когда он	4	5
236	по достоевскому	3	5
237	личности в	3	5
238	природа человека	2	5
239	той же	4	5
240	и тут	2	5
241	ее и	2	4
242	настасья филипповна	4	4
