N	2gram	Tiupa_Hudo	Stilisti
1	и в	34	42
2	как бы	11	30
3	не только	22	28
4	и т.п	2	25
5	прежде всего	12	22
6	и т.д	3	21
7	хотя бы	2	18
8	то же	14	16
9	но и	13	16
10	и не	15	14
11	не может	10	13
12	может быть	12	13
13	как и	16	12
14	точки зрения	7	11
15	мы уже	7	11
16	в себе	19	10
17	отнюдь не	4	10
18	в этом	22	10
19	как мы	5	10
20	в то	12	9
21	для того	3	9
22	все же	5	9
23	то что	13	9
24	эти слова	3	9
25	при этом	21	9
26	мы не	2	9
27	тем самым	2	8
28	ничего не	11	8
29	так как	2	8
30	и это	7	8
31	в ней	6	8
32	что же	4	8
33	с его	9	8
34	никогда не	8	7
35	и от	6	7
36	в которой	2	7
37	же время	11	7
38	так и	19	7
39	потому что	7	7
40	только в	8	7
41	а не	23	7
42	и на	6	7
43	того чтобы	6	7
44	было бы	8	7
45	и его	8	7
46	той же	3	7
47	и тем	2	7
48	точкой зрения	2	6
49	или иной	2	6
50	когда мы	2	6
51	и так	3	6
52	бы в	2	6
53	во всех	2	6
54	не в	16	6
55	но ведь	2	6
56	в конце	5	6
57	в нем	5	6
58	на его	2	6
59	в его	17	6
60	в форме	2	6
61	слова в	2	6
62	в этой	11	6
63	и то	2	5
64	все время	2	5
65	того или	4	5
66	в нашем	2	5
67	своей жизни	6	5
68	самом деле	6	5
69	как это	8	5
70	а с	5	5
71	но все	2	5
72	тому что	8	5
73	а в	11	5
74	но в	6	5
75	или иного	4	5
76	в самом	7	5
77	и с	10	5
78	уже в	2	5
79	с точки	5	5
80	же самое	4	5
81	у которого	2	5
82	вместе с	2	5
83	да и	5	4
84	что это	2	4
85	слово не	2	4
86	в одном	3	4
87	человека не	3	4
88	так же	3	4
89	так сказать	3	4
90	о своей	3	4
91	ту или	2	4
92	на это	2	4
93	в данной	2	4
94	его в	5	4
95	на него	3	4
96	если бы	7	4
97	лишь в	5	4
98	слова как	2	4
99	влияние на	2	4
100	к своему	2	4
101	того что	5	4
102	можно было	6	4
103	один из	6	4
104	и все	10	4
105	к тому	11	4
106	о том	21	4
107	или иную	2	4
108	уже не	12	4
109	и к	6	4
110	в целом	2	4
111	не знаем	2	4
112	все это	2	4
113	в качестве	13	4
114	себя в	11	4
115	как только	3	4
116	заключает в	2	4
117	можно сказать	9	4
118	сказать что	3	3
119	на самом	2	3
120	это не	12	3
121	но при	3	3
122	том что	31	3
123	нуждается в	2	3
124	внутренней жизни	6	3
125	в начале	3	3
126	и эта	3	3
127	и поэтому	2	3
128	долгое время	2	3
129	перед нами	13	3
130	о своем	2	3
131	об этом	8	3
132	и даже	4	3
133	роль в	2	3
134	во второй	7	3
135	та же	5	3
136	в том	24	3
137	в частности	10	3
138	еще не	10	3
139	только на	6	3
140	его и	2	3
141	как в	11	3
142	не знает	2	3
143	к той	3	3
144	для него	15	3
145	не с	2	3
146	по своему	3	3
147	и для	5	3
148	нет и	2	3
149	ни на	2	3
150	что у	4	3
151	в котором	5	3
152	их в	2	3
153	заметить что	2	3
154	и внешней	2	3
155	в голову	3	3
156	зрения на	2	3
157	быть может	7	3
158	между ними	2	3
159	из них	5	3
160	для нас	4	3
161	хотя и	3	3
162	несмотря на	7	3
163	жизни и	10	3
164	что и	3	3
165	в ее	16	3
166	и уже	3	3
167	все эти	4	3
168	связи с	4	3
169	что было	3	3
170	перед ним	2	3
171	между тем	14	3
172	в основе	3	3
173	еще и	2	2
174	до конца	3	2
175	вопрос о	2	2
176	и потому	3	2
177	значительной степени	3	2
178	как например	2	2
179	с этим	3	2
180	с другими	2	2
181	нет ничего	4	2
182	из этих	3	2
183	но как	3	2
184	литературного творчества	3	2
185	человека и	4	2
186	в первой	6	2
187	бы и	2	2
188	времени и	2	2
189	должно быть	2	2
190	на одном	2	2
191	человек с	2	2
192	по отношению	15	2
193	с самим	2	2
194	не нужно	3	2
195	отношение к	3	2
196	друг друга	5	2
197	я и	7	2
198	тем что	6	2
199	человека в	10	2
200	бы не	3	2
201	этом отношении	4	2
202	в их	2	2
203	другого человека	2	2
204	в значительной	3	2
205	этими словами	2	2
206	в этих	7	2
207	что он	14	2
208	по своей	5	2
209	ничем не	3	2
210	и сам	3	2
211	ни к	2	2
212	теперь же	4	2
213	отношению к	15	2
214	себе и	3	2
215	сих пор	3	2
216	в пределах	4	2
217	себе в	2	2
218	одной из	5	2
219	в жизни	9	2
220	в мире	10	2
221	только потому	2	2
222	но не	7	2
223	в душе	6	2
224	как уже	3	2
225	в него	2	2
226	под воздействием	2	2
227	про себя	2	2
228	установки на	2	2
229	не должно	2	2
230	к нему	2	2
231	но мы	2	2
232	прежде чем	2	2
233	в своих	4	2
234	с собой	2	2
235	о них	4	2
236	однако в	4	2
237	и он	6	2
238	на наш	6	2
239	место в	3	2
240	о чем	9	2
241	не было	8	2
242	и когда	4	2
243	здесь не	2	2
244	в предыдущей	3	2
245	но это	2	2
246	в своей	15	2
247	или даже	2	2
248	ответить на	2	2
249	и тогда	2	2
250	или в	3	2
251	в связи	3	2
252	он не	8	2
253	в дальнейшем	2	2
254	с ним	6	2
255	от лица	2	2
256	вовсе не	2	2
257	у себя	3	2
258	ясно что	2	2
