N	2gram	Bakhtin_KF	Otkroven
1	и в	28	19
2	но и	9	13
3	и не	28	13
4	в этом	15	12
5	не только	5	11
6	не в	13	11
7	а не	17	11
8	может быть	45	11
9	и все	9	10
10	человека и	3	10
11	в нем	32	10
12	вопрос о	2	10
13	никогда не	5	9
14	потому что	2	9
15	не было	8	9
16	прежде всего	4	9
17	человек не	2	7
18	лишь в	8	7
19	в его	42	7
20	до конца	3	7
21	от него	3	7
22	он не	6	7
23	как и	5	6
24	все это	10	6
25	для него	13	5
26	а в	5	5
27	в том	6	5
28	то что	7	5
29	в этой	2	5
30	отношение к	6	5
31	и его	18	4
32	что в	4	4
33	есть лишь	5	4
34	того чтобы	2	4
35	все эти	11	4
36	него и	2	4
37	человек и	2	4
38	не может	29	4
39	что не	3	4
40	с его	2	4
41	в себе	21	3
42	о том	3	3
43	это не	10	3
44	к нему	12	3
45	что он	2	3
46	было бы	8	3
47	для того	3	3
48	еще не	5	3
49	и есть	10	3
50	в своих	4	3
51	и ее	2	3
52	как бы	9	3
53	хотя бы	5	3
54	могут быть	3	3
55	это было	2	3
56	с ним	5	3
57	того что	3	3
58	как к	2	2
59	и то	2	2
60	можно ли	2	2
61	и на	3	2
62	с тем	2	2
63	и для	10	2
64	совсем не	2	2
65	не имеет	6	2
66	ничего не	3	2
67	что и	7	2
68	этого мира	3	2
69	и потому	2	2
70	и ни	3	2
71	в ее	17	2
72	в своем	17	2
73	и этим	3	2
74	тем что	3	2
75	но в	5	2
76	том что	4	2
77	все же	5	2
78	жизни в	5	2
79	в своей	11	2
80	ведь это	2	2
81	по себе	2	2
82	должно быть	6	2
83	не есть	22	2
84	к этому	2	2
85	так и	2	2
86	этом мире	2	2
87	момент в	7	2
88	в единстве	8	2
89	в другом	3	2
90	что есть	2	2
91	ни у	2	2
92	его в	5	2
