N	2gram	Voloshinov	Tvorches
1	и в	13	56
2	как бы	6	41
3	в его	7	37
4	то же	4	25
5	не только	6	24
6	но в	4	24
7	и его	12	23
8	и не	8	23
9	а в	2	23
10	как и	3	23
11	в этом	2	22
12	в том	2	21
13	что в	3	21
14	том что	2	19
15	может быть	8	19
16	то что	6	18
17	все это	4	17
18	таким образом	6	17
19	никогда не	3	16
20	прежде всего	9	16
21	как в	2	16
22	при этом	2	16
23	не может	8	16
24	но и	3	16
25	а не	2	13
26	в целом	2	12
27	все же	5	11
28	в своей	4	11
29	для него	2	11
30	не в	3	10
31	так и	3	10
32	уже в	2	10
33	в самом	2	10
34	только в	6	10
35	в нем	2	9
36	в своих	2	9
37	так же	2	8
38	в себе	3	8
39	в их	3	8
40	не менее	2	8
41	так как	3	8
42	вовсе не	2	8
43	соответствии с	2	8
44	самом деле	3	7
45	своего рода	2	7
46	в чем	2	7
47	в которой	3	7
48	в книге	2	6
49	и все	3	6
50	не столько	3	6
51	все эти	2	6
52	и ее	2	6
53	хотя бы	5	6
54	если бы	2	6
55	по отношению	3	5
56	в них	2	5
57	в ее	3	5
58	мы не	4	5
59	что они	2	5
60	во всей	2	5
61	тот же	2	5
62	с этим	3	5
63	между тем	2	5
64	героя и	2	5
65	отношению к	3	5
66	с другой	2	5
67	и отчасти	2	4
68	роль в	2	4
69	самого начала	2	4
70	точки зрения	7	4
71	могут быть	2	4
72	с ними	2	4
73	мы видим	2	4
74	нет ничего	2	4
75	в каждом	4	4
76	превращается в	3	4
77	тем что	2	4
78	и наконец	5	4
79	с этой	2	4
80	с самого	2	4
81	не мог	2	4
82	еще в	2	4
83	с точки	5	4
84	говорить о	3	4
85	связана с	3	4
86	во времени	2	3
87	в процессе	5	3
88	в другом	2	3
89	для себя	2	3
90	и тем	2	3
91	в области	2	3
92	в искусстве	3	3
93	более того	2	3
94	к тому	2	3
95	в ней	2	3
96	другой стороны	2	3
97	и др	2	3
98	там где	2	3
99	да и	3	3
100	этой проблемы	2	3
101	в этот	2	3
102	лишь в	4	3
103	не является	4	3
104	ее в	2	3
105	и их	7	3
106	и к	2	3
107	несмотря на	2	3
108	вряд ли	3	3
109	в которую	2	3
110	в одном	3	3
111	данном случае	2	2
112	в отношении	2	2
113	к одному	3	2
114	но мы	4	2
115	в тех	2	2
116	вслед за	2	2
117	и стиль	2	2
118	есть не	2	2
119	а как	2	2
120	точку зрения	3	2
121	что же	3	2
122	нуждается в	2	2
123	мы понимаем	2	2
124	было бы	4	2
125	в связи	2	2
126	в двух	4	2
127	в действительности	2	2
128	к анализу	2	2
129	здесь мы	3	2
130	кажется что	2	2
131	отношений между	2	2
132	в материал	2	2
133	в данном	2	2
134	художественное произведение	2	2
135	но ведь	5	2
136	в целях	2	2
137	наконец в	2	2
138	с одной	2	2
139	и должно	2	2
140	не имеет	2	2
141	и является	2	2
142	от всех	2	2
143	в произведении	2	2
144	г в	3	2
145	входит в	2	2
146	школы и	2	2
147	но для	3	2
148	мог бы	2	2
149	и уже	3	2
150	мы уже	2	2
