N	3gram	Bakhtin_fo	StatiiOP
1	в том что	4	47
2	и т д	3	32
3	о том что	2	29
4	в этом отношении	5	24
5	для того чтобы	11	19
6	и т п	18	19
7	до сих пор	4	19
8	с точки зрения	9	14
9	не может быть	4	11
10	в то же	10	9
11	то же время	13	9
12	вместе с тем	3	9
13	дело в том	2	9
14	не только в	6	8
15	в данном случае	2	7
16	в то время	3	7
17	и в этом	2	7
18	но все же	3	7
19	по отношению к	3	6
20	так же как	2	6
21	с тем что	2	5
22	с самого начала	3	5
23	то время как	2	5
24	в том же	3	5
25	но и в	5	5
26	как раз в	4	5
27	в мировой литературе	2	4
28	сами по себе	2	4
29	в другом месте	2	4
30	в связи с	12	4
31	с одной стороны	3	4
32	тем более что	2	4
33	во всех этих	2	3
34	прежде всего в	3	3
35	в том числе	7	3
36	к тому же	2	3
37	о том как	2	3
38	мы имеем в	2	2
39	все более и	2	2
40	но в то	2	2
41	может быть и	4	2
42	и др в	2	2
43	одних и тех	2	2
44	а также и	3	2
45	как и в	3	2
46	той или иной	3	2
47	и в то	7	2
48	прежде всего необходимо	4	2
49	в отличие от	3	2
50	вовсе не является	2	2
51	но он не	2	2
52	здесь не место	2	2
53	к тому времени	2	2
54	и в других	4	2
55	и тех же	2	2
56	том числе и	4	2
57	более и более	2	2
58	в той или	2	2
