N	2gram	Kanaev_Sov	Psycholo
1	и в	7	190
2	в том	4	163
3	что в	2	123
4	и что	2	108
5	может быть	12	107
6	таким образом	11	102
7	в этом	7	100
8	в самом	2	82
9	как бы	4	80
10	не только	4	75
11	и не	6	73
12	что она	3	71
13	самом деле	2	70
14	точки зрения	12	69
15	не может	17	68
16	если мы	4	66
17	так как	4	63
18	было бы	3	56
19	и мы	3	54
20	то же	3	54
21	при этом	3	52
22	как и	6	51
23	а не	3	50
24	что это	2	49
25	не в	3	45
26	в этой	3	43
27	ясно что	3	43
28	и все	3	42
29	вместе с	4	41
30	же самое	2	38
31	мы видим	2	37
32	что все	2	33
33	все же	3	33
34	все это	3	32
35	в себе	3	32
36	мы не	9	31
37	в его	2	31
38	для нас	3	31
39	с одной	2	29
40	с точки	5	29
41	в нем	3	29
42	мы можем	6	28
43	а в	4	27
44	совершенно не	2	26
45	жизни и	4	25
46	в целом	4	24
47	могут быть	2	23
48	и даже	2	22
49	когда мы	3	22
50	с этим	2	22
51	из них	4	22
52	как мы	2	21
53	в конце	3	21
54	той же	2	21
55	все эти	5	20
56	тот же	2	20
57	это не	4	20
58	на этом	2	20
59	мы должны	4	19
60	у него	2	19
61	в одном	3	19
62	что при	2	19
63	но в	3	18
64	в которой	2	18
65	зависимости от	4	18
66	и есть	2	18
67	одна из	3	17
68	во всяком	2	17
69	у нас	3	17
70	из этих	2	17
71	самого начала	3	16
72	и к	3	16
73	из которых	2	16
74	с самого	3	16
75	в таком	2	16
76	и потому	3	15
77	мы знаем	2	15
78	в зависимости	4	15
79	еще не	3	15
80	не могут	2	15
81	в результате	6	15
82	не можем	7	15
83	прежде всего	5	14
84	в области	3	14
85	при таком	3	14
86	такой же	2	14
87	всяком случае	2	14
88	этих двух	2	14
89	как он	3	13
90	отнюдь не	3	13
91	знаем что	2	13
92	их в	4	12
93	в свою	2	12
94	ничего не	6	12
95	не менее	2	12
96	он должен	2	11
97	отличие от	2	11
98	мы видели	4	11
99	но мы	3	11
100	на этот	2	11
101	уже в	3	11
102	все те	2	10
103	отличается от	3	10
104	по мнению	2	10
105	вопрос о	4	9
106	на его	2	9
107	и по	2	9
108	с совершенно	2	9
109	каждого из	2	9
110	и наконец	5	9
111	но все	2	9
112	роль в	2	9
113	если же	2	9
114	и именно	2	9
115	к чему	2	9
116	в виде	2	9
117	так сказать	2	9
118	в отличие	2	9
119	что же	5	8
120	и во	2	8
121	мы получим	3	8
122	тем же	2	8
123	он может	3	8
124	с другом	2	8
125	он в	3	8
126	из двух	3	8
127	друг с	2	8
128	свою очередь	2	7
129	же мы	2	7
130	только один	2	7
131	что такое	2	7
132	в нашем	2	7
133	а на	2	7
134	времени и	2	7
135	со всеми	2	7
136	в каждом	8	7
137	еще более	2	6
138	на две	3	6
139	тем не	2	6
140	у всех	3	6
141	не дает	2	6
142	или же	2	6
143	то и	2	6
144	ее на	2	6
145	уже не	2	6
146	приводит к	2	6
147	говорить о	2	6
148	точку зрения	4	5
149	в один	2	5
150	между собой	3	5
151	к действию	3	5
152	он приводит	2	5
153	видели что	3	5
154	мы получаем	3	5
155	конечно в	2	5
156	она может	2	5
157	нет и	4	5
158	ни одна	2	5
159	из одного	2	4
160	в первом	3	4
161	мы с	2	4
162	дает нам	2	4
163	значение в	2	4
164	у каждого	3	4
165	для его	2	4
166	с помощью	4	4
167	в настоящее	2	4
168	не знаем	2	4
169	настоящее время	2	4
170	может не	3	4
171	ли мы	3	4
172	такие же	2	4
173	который как	2	4
174	можно назвать	2	4
175	в некоторых	2	4
176	состоит из	3	3
177	следующим образом	3	3
178	мы называем	3	3
179	на другом	2	3
180	на их	2	3
181	на котором	2	3
182	только одна	6	3
183	которой он	2	3
184	такого рода	2	3
185	форма в	2	3
186	как известно	2	3
187	в которую	2	3
188	абсолютной величины	2	3
189	каждый раз	6	3
190	быть и	2	3
191	то ни	2	3
192	на этой	3	2
193	из четырех	2	2
194	в условиях	5	2
195	см рис	5	2
196	или иной	2	2
197	и т.д	3	2
198	ведь это	3	2
199	в науке	2	2
200	своим особым	2	2
201	с общим	2	2
202	может дать	2	2
