N	2gram	Berdyaev_M	Vladivir
1	вл соловьев	2	421
2	и в	61	116
3	то что	10	71
4	и не	26	67
5	не только	42	65
6	у него	38	65
7	в этом	34	53
8	в том	9	52
9	том что	7	51
10	что в	12	48
11	но и	34	47
12	в конце	11	41
13	в его	10	40
14	и с	6	39
15	то есть	3	37
16	сказать что	5	36
17	также и	6	36
18	так что	3	35
19	учение о	3	35
20	потому что	25	33
21	что он	16	32
22	не может	39	31
23	о том	5	30
24	только в	7	30
25	никогда не	30	29
26	для него	28	29
27	а в	4	27
28	не было	25	26
29	в то	2	25
30	но в	12	25
31	в себе	12	25
32	и то	2	25
33	а к	2	25
34	и его	13	25
35	даже и	2	24
36	точки зрения	6	23
37	может быть	42	23
38	он не	34	23
39	что же	2	23
40	так как	10	22
41	он был	18	22
42	об этом	2	22
43	ни в	3	22
44	в своей	18	21
45	вместе с	7	21
46	в своем	17	20
47	прежде всего	18	20
48	для нас	3	20
49	и что	4	20
50	и потому	17	19
51	так и	5	19
52	не в	16	18
53	не был	8	18
54	как и	14	18
55	хотя и	2	18
56	с его	6	18
57	не мог	6	18
58	что и	6	17
59	в этой	12	17
60	у нас	13	17
61	а не	36	17
62	уже не	8	16
63	все же	2	16
64	того что	13	16
65	совсем не	3	16
66	было бы	11	16
67	к тому	6	16
68	и все	13	16
69	в котором	9	16
70	не есть	21	16
71	до конца	16	15
72	разного рода	2	15
73	но это	8	15
74	к этому	3	15
75	то же	4	15
76	в своих	4	15
77	и к	9	15
78	уже в	6	14
79	все эти	3	14
80	и как	3	14
81	и на	9	14
82	так же	5	13
83	с тем	10	13
84	и от	3	13
85	что это	5	13
86	жизни и	6	13
87	на этот	2	13
88	то время	2	13
89	во всем	5	13
90	есть только	2	12
91	и у	3	12
92	ничего не	4	12
93	в нем	26	12
94	и по	4	12
95	то в	2	12
96	и это	16	12
97	по себе	2	12
98	в отношении	6	11
99	еще в	4	11
100	я не	4	11
101	все это	6	11
102	это есть	4	11
103	хотя бы	8	11
104	в которой	8	11
105	и здесь	6	11
106	он уже	8	11
107	то он	3	11
108	конце концов	3	11
109	о нем	2	10
110	к нему	8	10
111	в ней	23	10
112	которую он	2	10
113	что все	5	10
114	в истории	2	10
115	в россии	2	10
116	но не	8	10
117	в самом	15	10
118	он и	2	10
119	с ним	5	10
120	это не	10	9
121	о чем	3	9
122	смысле слова	7	9
123	в начале	2	9
124	и можно	3	9
125	с этим	4	9
126	ни с	4	9
127	не будет	3	9
128	отношения к	6	9
129	но он	17	9
130	только и	7	8
131	отношение к	9	8
132	xix века	4	8
133	в чем	3	8
134	себя в	6	8
135	как бы	10	8
136	и он	21	8
137	должно быть	5	8
138	в этот	2	8
139	тем что	7	8
140	и я	5	8
141	это значит	3	8
142	с этой	4	8
143	в этих	6	8
144	как в	9	8
145	и для	7	8
146	когда он	3	8
147	которой он	2	8
148	значит что	4	8
149	конечно не	3	8
150	в каком	2	7
151	который был	4	7
152	философии но	2	7
153	как он	4	7
154	не имеет	7	7
155	к этой	3	7
156	себе и	4	7
157	того чтобы	4	7
158	бы и	8	7
159	и мы	2	7
160	за пределы	5	7
161	к концу	5	7
162	если бы	5	7
163	и вот	7	7
164	к ней	6	7
165	но если	4	7
166	был в	4	7
167	и есть	21	7
168	в нашем	2	7
169	в них	5	7
170	его в	6	6
171	те же	5	6
172	от того	4	6
173	есть и	6	6
174	есть не	9	6
175	и всегда	3	6
176	к своему	2	6
177	в виду	2	6
178	тому что	2	6
179	его на	4	6
180	жизнь и	5	6
181	о боге	7	6
182	было для	3	6
183	в боге	7	6
184	по своему	3	6
185	время как	2	6
186	что она	5	6
187	мысли и	2	6
188	должен был	4	6
189	но у	2	6
190	для того	4	6
191	же и	2	6
192	мы не	2	6
193	она была	2	6
194	в жизни	7	6
195	которых он	5	6
196	но на	2	6
197	той же	3	6
198	ко всему	2	6
199	по своей	4	6
200	он сам	11	6
201	чем в	3	6
202	бог и	8	5
203	но она	3	5
204	он никогда	3	5
205	вопрос о	7	5
206	вера в	3	5
207	друг друга	12	5
208	на все	3	5
209	в их	4	5
210	она не	9	5
211	он в	4	5
212	и за	2	5
213	и без	2	5
214	один из	9	5
215	место в	4	5
216	что они	4	5
217	отношением к	2	5
218	нет ничего	9	5
219	и еще	3	5
220	во всех	3	5
221	говорит что	3	5
222	по преимуществу	4	5
223	и часто	2	5
224	со своим	2	5
225	жизни в	3	5
226	него не	3	5
227	что у	3	5
228	на одной	2	5
229	еще более	3	5
230	в свою	5	5
231	с которым	2	5
232	со своей	2	5
233	это был	2	5
234	не к	6	5
235	не о	2	4
236	был для	2	4
237	к богу	5	4
238	на самом	2	4
239	в свой	2	4
240	истории в	2	4
241	не могут	6	4
242	человека и	19	4
243	но для	2	4
244	в духе	6	4
245	оказывается что	2	4
246	бога и	13	4
247	иное как	4	4
248	не что	4	4
249	бог есть	4	4
250	как к	2	4
251	и вместе	4	4
252	это и	7	4
253	и других	2	4
254	только одно	3	4
255	он мог	2	4
256	как у	2	4
257	у них	4	4
258	любви к	14	4
