N	2gram	Bakhtin_Fr	Poddanst
1	не только	23	17
2	и в	67	14
3	и не	23	12
4	в области	2	11
5	в этом	27	10
6	в отношении	2	10
7	но в	20	9
8	то же	18	9
9	в том	16	9
10	в качестве	5	9
11	хотя бы	2	8
12	в пределах	2	8
13	в то	17	7
14	только в	6	7
15	же время	14	7
16	но и	23	6
17	было бы	5	6
18	в ней	10	6
19	с другой	3	5
20	не в	8	5
21	и о	8	5
22	в которых	3	5
23	может быть	4	5
24	что в	14	4
25	если бы	2	4
26	тех кто	2	4
27	в своем	13	4
28	том что	13	4
29	а также	4	4
30	в котором	3	4
31	и к	7	4
32	как бы	18	4
33	и если	3	4
34	то что	9	4
35	не может	9	4
36	а в	4	4
37	и как	7	3
38	с тем	3	3
39	но не	6	3
40	это не	5	3
41	с точки	5	3
42	мы не	6	3
43	для того	8	3
44	в себе	3	3
45	точки зрения	7	3
46	потому что	8	3
47	одной стороны	2	3
48	в нем	20	3
49	между тем	3	3
50	и без	3	3
51	прежде всего	19	3
52	хотя и	6	3
53	тот же	4	3
54	с одной	2	3
55	да и	2	2
56	в них	12	2
57	мира с	2	2
58	в жизни	4	2
59	было в	2	2
60	если в	3	2
61	для них	2	2
62	никак не	3	2
63	в эту	2	2
64	к началу	3	2
65	и это	5	2
66	есть нечто	2	2
67	слова но	2	2
68	и других	2	2
69	в его	17	2
70	с этим	6	2
71	и вот	4	2
72	в общем	5	2
73	не менее	4	2
74	говорить о	5	2
75	церкви и	4	2
76	именно в	5	2
77	в начале	2	2
78	тем более	3	2
79	все это	15	2
80	в частности	4	2
81	том числе	6	2
82	как на	6	2
83	а не	6	2
84	не было	3	2
85	и есть	5	2
86	например в	6	2
87	из важнейших	2	2
88	и с	18	2
89	на этих	2	2
90	не будем	3	2
91	во всех	20	2
92	в ее	2	2
93	как раз	5	2
94	есть в	5	2
95	в значительной	2	2
96	того что	4	2
97	думать что	2	2
98	из них	5	2
99	не столько	5	2
