N	2gram	Tiupa_Narr	KulturaY
1	и т	3	143
2	т п	2	93
3	и в	22	84
4	в том	20	74
5	потому что	7	68
6	не только	50	60
7	точки зрения	8	59
8	в этом	23	57
9	было бы	2	53
10	и не	34	52
11	может быть	24	47
12	том что	15	44
13	того чтобы	7	44
14	что в	6	44
15	для того	4	41
16	в самом	8	41
17	у нас	4	38
18	самом деле	4	37
19	хотя бы	4	37
20	с точки	2	36
21	в области	4	34
22	таким образом	5	33
23	а не	27	33
24	можно было	2	32
25	если бы	9	32
26	не в	12	30
27	прежде всего	7	30
28	в его	12	30
29	все же	10	29
30	того что	7	28
31	не менее	6	28
32	все эти	3	28
33	в силу	5	26
34	уже не	11	26
35	не может	16	25
36	то что	14	25
37	вовсе не	2	25
38	еще не	6	24
39	с другой	6	24
40	так и	12	23
41	то же	12	23
42	только в	23	23
43	с помощью	2	23
44	тем не	7	21
45	во всяком	2	20
46	но и	39	20
47	по себе	4	20
48	что он	7	19
49	но в	10	19
50	зависимости от	3	19
51	о том	5	19
52	всяком случае	2	19
53	между тем	5	18
54	связи с	3	18
55	в качестве	27	18
56	к тому	13	18
57	в сущности	2	18
58	как бы	11	18
59	и с	3	18
60	вместе с	3	18
61	это не	6	17
62	как раз	9	17
63	как это	7	17
64	что это	4	17
65	другой стороны	2	17
66	в той	4	17
67	в виду	2	16
68	ничего не	8	16
69	в зависимости	3	16
70	что не	2	16
71	что и	3	16
72	но не	7	16
73	по отношению	5	15
74	и тем	9	15
75	один из	8	15
76	а в	19	15
77	при этом	31	15
78	в данном	17	15
79	лишь в	3	15
80	именно в	5	15
81	не было	3	15
82	как на	2	15
83	в нашем	4	15
84	в связи	3	14
85	хотя и	8	14
86	я не	5	14
87	как мы	3	14
88	сказать что	5	14
89	мы имеем	6	14
90	отношению к	5	14
91	сих пор	3	14
92	также и	4	14
93	и на	5	14
94	в ней	5	14
95	до сих	3	14
96	это и	2	13
97	слово это	2	13
98	что она	3	13
99	в пределах	2	13
100	не случайно	2	13
101	в этой	8	13
102	для нас	2	13
103	и его	12	13
104	той же	2	13
105	с этой	3	12
106	как в	9	12
107	того же	2	12
108	в рамках	6	12
109	в результате	4	12
110	однако не	2	12
111	ясно что	2	12
112	или иной	6	11
113	в своем	7	11
114	язык как	2	11
115	из этих	6	11
