N	2gram	Trubetskoy	UchenyiS
1	и в	14	14
2	не только	9	10
3	а не	2	10
4	и не	19	8
5	прежде всего	8	8
6	то что	13	7
7	не может	22	7
8	в этом	17	7
9	может быть	9	6
10	и только	5	5
11	то же	11	5
12	хотя бы	5	5
13	все это	6	5
14	но и	10	4
15	в этой	4	4
16	что такое	2	4
17	в россии	6	4
18	в их	4	4
19	конечно не	5	4
20	не о	2	3
21	в частности	2	3
22	для этого	3	3
23	и т.д	4	3
24	только к	3	3
25	вряд ли	3	3
26	и то	4	3
27	в своей	5	3
28	все же	4	3
29	как и	4	3
30	в то	10	3
31	но в	2	3
32	же время	10	3
33	было бы	5	3
34	в области	2	3
35	бы то	4	3
36	то ни	4	3
37	для него	6	3
38	в самом	3	2
39	в себе	9	2
40	на эту	2	2
41	что он	6	2
42	таким образом	11	2
43	но не	4	2
44	ни от	2	2
45	и для	6	2
46	если бы	6	2
47	между тем	5	2
48	самом деле	7	2
49	только в	5	2
50	и является	2	2
51	не есть	3	2
52	всех этих	3	2
53	даже и	2	2
54	и с	7	2
55	что и	3	2
56	а между	5	2
57	но даже	2	2
58	не могут	4	2
59	сих пор	5	2
60	по себе	2	2
61	тем что	3	2
62	том что	9	2
63	в его	4	2
64	сводится к	3	2
65	все они	3	2
66	в том	17	2
67	что все	3	2
68	если не	2	2
69	должна быть	2	2
70	конце концов	3	2
71	его и	2	2
72	но это	2	2
73	для всех	6	2
74	по существу	5	2
75	не в	4	2
76	в конце	3	2
77	в некоторых	2	2
78	до сих	5	2
