N	3gram	Losev_Prob	Analitik
1	в том что	17	25
2	не может быть	5	19
3	в то же	10	16
4	о том что	8	15
5	той или иной	16	14
6	в данном случае	12	14
7	в отличие от	2	14
8	мы имеем дело	2	11
9	подобно тому как	2	9
10	с одной стороны	2	9
11	с другой стороны	11	9
12	по крайней мере	9	9
13	того или иного	5	9
14	не только в	2	8
15	как и в	2	8
16	с точки зрения	9	8
17	во всяком случае	8	7
18	что иное как	6	7
19	в таком случае	7	7
20	тем не менее	23	6
21	не что иное	6	6
22	так или иначе	2	6
23	есть не что	6	5
24	но и в	2	5
25	в этом случае	8	5
26	том или ином	3	5
27	не только не	5	5
28	в той или	7	5
29	здесь не только	2	4
30	и не в	2	4
31	том что он	2	4
32	для того чтобы	4	4
33	с той или	5	4
34	и тем самым	3	4
35	и в этом	6	4
36	дело здесь не	3	4
37	в том или	2	4
38	в этом смысле	5	4
39	тех или иных	7	4
40	сама по себе	11	4
41	то ни было	4	3
42	то есть в	5	3
43	бы то ни	5	3
44	как раз и	5	3
45	то же самое	17	3
46	и как бы	2	3
47	тот или иной	4	3
48	содержит в себе	13	3
49	сам по себе	10	3
50	хотя бы и	2	3
51	дело не в	4	3
52	в связи с	9	3
53	можно сказать что	2	3
54	сами по себе	8	3
55	дело в том	4	3
56	в зависимости от	3	3
57	и то что	8	3
58	одно и то	4	2
59	что он не	2	2
60	в таких случаях	2	2
61	и то же	5	2
62	что же касается	5	2
63	более или менее	2	2
64	с самим собою	2	2
65	же самое время	10	2
66	можно было бы	6	2
67	не есть ни	4	2
68	отнюдь не является	3	2
69	в чистом виде	3	2
70	заключается в том	5	2
71	этой точки зрения	2	2
72	если бы он	2	2
73	до сих пор	4	2
74	но отнюдь не	2	2
75	и прежде всего	3	2
76	на первый взгляд	3	2
77	на то что	2	2
78	в сравнении с	4	2
