N	2gram	Potebnia_M	Poddanst
1	не только	32	17
2	и в	48	14
3	и не	28	12
4	в области	3	11
5	в этом	19	10
6	но в	8	9
7	то же	35	9
8	в том	47	9
9	хотя бы	3	8
10	в то	16	7
11	только в	29	7
12	же время	8	7
13	с к	2	7
14	быть может	7	6
15	но и	30	6
16	было бы	16	6
17	в смысле	4	6
18	в ней	11	6
19	с другой	8	5
20	не в	24	5
21	и о	6	5
22	в которых	5	5
23	отношении к	3	5
24	может быть	46	5
25	по себе	26	4
26	что в	30	4
27	если бы	20	4
28	на пути	2	4
29	и потому	9	4
30	в своем	6	4
31	том что	28	4
32	мы должны	6	4
33	в котором	7	4
34	с т	2	4
35	и к	5	4
36	как бы	10	4
37	и если	4	4
38	то что	37	4
39	не может	18	4
40	а в	14	4
41	же в	3	4
42	что мы	16	3
43	и как	8	3
44	с тем	9	3
45	в сравнении	4	3
46	но не	8	3
47	тем самым	11	3
48	это не	2	3
49	с точки	3	3
50	сами по	3	3
51	столь же	8	3
52	мы не	17	3
53	я и	3	3
54	для того	8	3
55	в себе	26	3
56	точки зрения	4	3
57	потому что	82	3
58	одной стороны	4	3
59	в нем	16	3
60	между тем	19	3
61	вслед за	6	3
62	и без	9	3
63	она есть	2	3
64	могут быть	6	3
65	прежде всего	6	3
66	и т	12	3
67	хотя и	3	3
68	тот же	2	3
69	с одной	8	3
70	с ними	6	3
71	заключается в	2	3
72	для нас	40	2
73	должно быть	9	2
74	переход от	3	2
75	да и	2	2
76	по-видимому не	2	2
77	в них	9	2
78	в мире	3	2
79	было в	6	2
80	если в	2	2
81	есть не	9	2
82	отношения к	2	2
83	которое в	2	2
84	не к	4	2
85	никак не	3	2
86	в эту	4	2
87	и мы	3	2
88	и это	6	2
89	есть нечто	6	2
90	более чем	2	2
91	слова но	3	2
92	и тем	8	2
93	и других	3	2
94	в его	6	2
95	с этим	12	2
96	в ряду	7	2
97	не менее	9	2
98	говорить о	6	2
99	бы ни	6	2
100	время в	3	2
101	со стороны	4	2
102	именно в	5	2
103	в начале	3	2
104	в виде	3	2
105	тем более	9	2
106	все это	4	2
107	как на	6	2
108	друг другу	2	2
109	а не	22	2
110	не было	12	2
111	мысль о	12	2
112	и есть	4	2
113	например в	9	2
114	и с	4	2
115	в ее	3	2
116	между прочим	5	2
117	заключает в	10	2
118	есть в	6	2
119	нужно было	2	2
120	к чему	2	2
121	того что	24	2
122	думать что	6	2
123	в силу	7	2
124	из них	11	2
125	не столько	2	2
