N	2gram	Vygotskiy_	PoTuStor
1	может быть	19	17
2	и в	37	16
3	и пр	2	12
4	мы можем	11	9
5	в этом	32	9
6	и только	2	9
7	таким образом	39	9
8	прежде всего	12	9
9	и с	10	8
10	точки зрения	49	8
11	не может	16	8
12	и его	10	8
13	сказать что	16	7
14	не только	29	7
15	с его	7	7
16	и это	3	6
17	с точки	34	6
18	самом деле	8	6
19	и к	9	6
20	для него	5	6
21	при этом	6	6
22	ту сторону	2	5
23	ни в	6	5
24	все эти	6	5
25	как бы	16	5
26	только для	6	5
27	нуждается в	2	5
28	в чем	5	5
29	как мы	11	4
30	и на	8	4
31	все это	9	4
32	на самом	4	4
33	в его	16	4
34	и ее	9	4
35	но и	23	4
36	и не	15	4
37	по ту	2	4
38	и все	7	4
39	но в	9	4
40	с самого	9	4
41	в этой	13	4
42	но мы	4	4
43	с ее	3	4
44	и наконец	3	4
45	так как	11	4
46	и их	5	4
47	все что	4	4
48	только в	8	4
49	в нем	2	4
50	хотя бы	7	4
51	можно сказать	6	4
52	так и	12	4
53	в один	4	4
54	жизни человека	2	4
55	для всех	8	4
56	мысли и	7	4
57	самого начала	9	4
58	отнюдь не	2	4
59	и даже	5	4
60	у фрейда	2	3
61	едва ли	5	3
62	ребенка и	8	3
63	что в	25	3
64	жизни и	2	3
65	и теперь	2	3
66	и как	7	3
67	и потому	3	3
68	на этой	2	3
69	тех же	3	3
70	а в	4	3
71	в том	47	3
72	их в	6	3
73	по сравнению	10	3
74	и вот	3	3
75	в общем	5	3
76	с другими	5	3
77	между ними	2	3
78	в области	4	3
79	те же	2	3
80	до сих	4	3
81	и есть	2	3
82	сравнению с	9	3
83	на две	3	3
84	в этих	3	3
85	в конечном	4	3
86	отношения к	3	3
87	с их	2	3
88	как это	6	3
89	то что	32	3
90	во всех	4	3
91	мира и	2	3
92	могут быть	5	3
93	сих пор	4	3
94	на язык	2	3
95	всяком случае	5	3
96	вместе с	14	3
97	учение о	4	3
98	в одном	5	3
99	этом смысле	3	3
100	к себе	2	3
101	и др	5	3
102	на этом	3	3
103	мы знаем	3	3
104	во всяком	6	3
105	и значение	2	3
106	том что	42	3
107	в основе	9	3
108	один из	3	2
109	никогда не	8	2
110	для нас	4	2
111	все остальные	5	2
112	что мы	9	2
113	мы видим	7	2
114	нашу работу	2	2
115	в них	5	2
116	не можем	3	2
117	в жизни	2	2
118	в каком	3	2
119	к ним	2	2
120	для этого	7	2
121	и вообще	2	2
122	же как	8	2
123	и для	3	2
124	что не	2	2
125	что это	8	2
126	этой теории	4	2
127	и по	3	2
128	что и	3	2
129	ее в	3	2
130	на первый	3	2
131	не существует	4	2
132	и мы	3	2
133	было бы	12	2
134	возникает в	2	2
135	и других	4	2
136	о том	14	2
137	можно назвать	2	2
138	то же	12	2
139	с этим	8	2
140	как и	20	2
141	что он	16	2
142	так же	18	2
143	говорить о	4	2
144	потому и	2	2
145	но ведь	2	2
146	и таким	2	2
147	в своей	7	2
148	мы не	13	2
149	из этих	6	2
150	в самом	16	2
151	находится в	2	2
152	в начале	2	2
153	с этой	7	2
154	эти понятия	2	2
155	в детской	3	2
156	в частности	8	2
157	и вся	2	2
158	сознания и	4	2
159	что можно	4	2
160	связанные с	2	2
161	некоторые моменты	2	2
162	он не	11	2
163	у него	2	2
164	ту же	3	2
165	во всей	8	2
166	если мы	8	2
167	со всеми	2	2
168	за пределы	4	2
169	к этому	7	2
170	что на	2	2
171	конечном счете	4	2
172	из тех	3	2
173	о бессознательном	2	2
174	в развитии	31	2
175	с помощью	16	2
176	что оно	6	2
177	и т.п	5	2
178	мы уже	7	2
179	всей их	2	2
180	только то	2	2
181	на основе	7	2
182	с ним	3	2
183	на протяжении	3	2
184	между собой	5	2
