N	2gram	Nazirov_Vr	Literetu
1	и не	5	47
2	не только	9	46
3	и в	8	44
4	может быть	4	43
5	при этом	4	41
6	но и	7	41
7	тогда как	2	40
8	в том	3	39
9	в этом	8	38
10	том что	3	32
11	то что	7	29
12	в мире	2	28
13	в году	18	26
14	то же	5	26
15	как и	6	23
16	в то	5	23
17	не может	2	22
18	х годов	4	21
19	же время	5	21
20	в себе	2	20
21	и т.п	2	20
22	как бы	4	18
23	точки зрения	2	17
24	в его	3	17
25	в этой	2	16
26	не менее	2	15
27	я не	3	15
28	в русской	3	15
29	что он	4	14
30	и даже	6	14
31	в своем	3	13
32	уже не	2	13
33	и его	3	13
34	к себе	2	12
35	в своей	2	12
36	а также	2	12
37	еще не	2	12
38	одним из	3	12
39	о том	4	12
40	никогда не	2	11
41	это не	4	11
42	с его	3	11
43	а в	2	11
44	столь же	2	11
45	вместе с	2	11
46	что в	7	10
47	отнюдь не	2	10
48	из них	2	10
49	же в	2	9
50	связи с	3	9
51	в начале	6	9
52	что я	2	9
53	одна из	2	8
54	в конце	3	8
55	все же	6	8
56	но в	6	8
57	уже в	4	8
58	в глазах	2	8
59	для него	2	8
60	и как	3	8
61	тем что	3	8
62	в своих	4	8
63	с точки	2	8
64	о себе	3	8
65	как раз	2	8
66	так в	2	7
67	русской литературе	3	7
68	человека в	3	7
69	и с	6	7
70	в нем	6	7
71	он не	3	7
72	его в	3	6
73	в виду	4	6
74	и он	2	6
75	не было	5	6
76	и то	2	6
77	далеко не	3	6
78	в ней	4	6
79	у него	5	6
80	права на	2	5
81	он сам	2	5
82	в романе	6	5
83	между тем	5	5
84	несмотря на	4	5
85	в связи	3	5
86	эти слова	3	5
87	место в	2	5
88	в россии	5	5
89	в свою	2	4
90	для нас	4	4
91	и все	7	4
92	в них	2	4
93	но это	2	4
94	к этому	3	4
95	на то	3	4
96	и что	8	4
97	таким образом	2	4
98	не мог	2	4
99	отношения к	2	4
100	о которой	2	4
101	так же	4	3
102	но как	2	3
103	о чем	2	3
104	отношение к	2	3
105	и а	2	3
106	том же	2	3
107	врага в	2	3
108	а с	2	3
109	о нем	6	3
110	и о	3	3
111	речь идет	3	3
112	же как	2	3
113	он был	3	3
114	в истории	4	3
115	во время	2	3
116	в этот	3	3
117	в чем	3	3
118	и уже	3	3
119	с ним	4	3
120	начиная с	2	2
121	у достоевского	4	2
122	и у	3	2
123	в него	2	2
124	от сознания	2	2
125	ответ на	2	2
126	в эти	2	2
127	и ее	2	2
128	нашего времени	2	2
129	имел в	3	2
130	в нашей	2	2
131	тем более	2	2
132	по мнению	2	2
133	на это	2	2
134	в это	2	2
135	что к	2	2
136	он писал	2	2
137	что есть	3	2
138	что у	3	2
139	раз в	3	2
140	в котором	6	2
141	он пишет	2	2
142	чтобы он	3	2
143	году и	2	2
144	в той	2	2
145	на первый	2	2
146	писателей в	2	2
147	на основе	2	2
148	но он	3	2
