N	2gram	Nazirov_Vr	Analitik
1	не только	9	71
2	тогда как	2	67
3	и в	8	66
4	но и	7	57
5	в том	3	52
6	может быть	4	52
7	в этом	8	51
8	как и	6	50
9	и не	5	48
10	том что	3	40
11	при этом	4	40
12	в мире	2	31
13	не может	2	29
14	как бы	4	29
15	отнюдь не	2	29
16	а в	2	28
17	в его	3	27
18	и его	3	27
19	в себе	2	24
20	и даже	6	22
21	в этой	2	22
22	что в	7	22
23	и т.п	2	20
24	о том	4	20
25	но в	6	19
26	в своей	2	19
27	то же	5	19
28	с его	3	19
29	в то	5	18
30	то что	7	16
31	уже не	2	15
32	между тем	5	15
33	не менее	2	14
34	далеко не	3	14
35	столь же	2	14
36	же время	5	14
37	точки зрения	2	13
38	в начале	6	13
39	как раз	2	13
40	для него	2	13
41	а также	2	13
42	он не	3	13
43	никогда не	2	12
44	еще не	2	12
45	в свою	2	11
46	это не	4	11
47	и как	3	11
48	в той	2	11
49	в конце	3	10
50	все же	6	10
51	отношения к	2	10
52	в своем	3	9
53	в русской	3	9
54	таким образом	2	9
55	вместе с	2	9
56	о чем	2	8
57	что он	4	8
58	и все	7	8
59	нашего времени	2	8
60	с точки	2	8
61	с ним	4	8
62	в году	18	7
63	место в	2	7
64	все это	4	7
65	одна из	2	7
66	несмотря на	4	7
67	в глазах	2	7
68	у него	5	7
69	не мог	2	7
70	его в	3	6
71	в нем	6	6
72	ответ на	2	6
73	тем более	2	6
74	он был	3	6
75	и то	2	6
76	же в	2	6
77	русской литературе	3	6
78	о себе	3	6
79	из них	2	6
80	уже в	4	6
81	но как	2	5
82	в романе	6	5
83	а с	2	5
84	в эту	2	5
85	в них	2	5
86	речь идет	3	5
87	я не	3	5
88	к этому	3	5
89	и он	2	5
90	тем что	3	5
91	в котором	6	5
92	и ее	2	4
93	отношение к	2	4
94	и а	2	4
95	одним из	3	4
96	его и	2	4
97	о нем	6	4
98	и о	3	4
99	и что	8	4
100	так в	2	4
101	в чем	3	4
102	в известном	2	4
103	и во	3	4
104	но это	2	4
105	об этом	5	4
106	человека в	3	4
107	в своих	4	4
108	не было	5	4
109	на основе	2	4
110	и далее	2	3
111	в виду	4	3
112	в момент	2	3
113	же не	2	3
114	в ней	4	3
115	связи с	3	3
116	в связи	3	3
117	во время	2	3
118	в одну	2	3
119	х годов	4	3
120	человека с	2	3
121	что у	3	3
122	на то	3	3
123	и с	6	3
124	на место	2	3
125	он сам	2	3
126	нашему убеждению	2	3
127	по нашему	3	3
128	но он	3	3
129	начиная с	2	2
130	при помощи	2	2
131	так же	4	2
132	для нас	4	2
133	к себе	2	2
134	том же	2	2
135	с нею	2	2
136	из повести	2	2
137	т е	3	2
138	на это	2	2
139	время и	2	2
140	на первый	2	2
141	раз в	3	2
142	их в	2	2
143	к ним	2	2
144	и стал	2	2
145	личность и	2	2
146	о которой	2	2
