N	2gram	Berdyaev_N	Poddanst
1	не только	5	17
2	и в	16	14
3	и не	11	12
4	в этом	7	10
5	но в	2	9
6	в том	8	9
7	хотя бы	2	8
8	в то	2	7
9	быть может	4	6
10	в судьбах	2	6
11	но и	3	6
12	в смысле	2	6
13	в ней	5	6
14	xix века	5	6
15	с другой	3	5
16	не в	6	5
17	и пр	3	5
18	может быть	7	5
19	что в	9	4
20	и потому	4	4
21	том что	2	4
22	на путях	2	4
23	и к	5	4
24	то что	4	4
25	не может	16	4
26	а в	2	4
27	с тем	3	3
28	но не	2	3
29	это не	4	3
30	в россии	3	3
31	мы не	2	3
32	в себе	2	3
33	потому что	4	3
34	одной стороны	2	3
35	в нем	5	3
36	могут быть	2	3
37	прежде всего	4	3
38	хотя и	2	3
39	с одной	2	3
40	наряду с	3	3
41	должно быть	4	2
42	в них	4	2
43	в жизни	5	2
44	в мире	3	2
45	одна из	2	2
46	не к	2	2
47	в русском	2	2
48	и мы	4	2
49	и это	2	2
50	помнить что	2	2
51	духа и	3	2
52	с этим	2	2
53	не менее	4	2
54	русской революции	2	2
55	культуры в	5	2
56	все это	5	2
57	а не	17	2
58	не было	4	2
59	и есть	10	2
60	и с	2	2
61	во всех	3	2
62	в ее	3	2
63	есть в	2	2
64	думать что	2	2
65	xix век	2	2
