N	3gram	Vygotskiy_	VLabPisa
1	и т д	6	16
2	и т п	7	9
3	с другой стороны	5	8
4	не может быть	3	8
5	в том что	20	5
6	вместе с тем	3	4
7	не было бы	2	4
8	к тому что	5	4
9	мы видели что	2	3
10	для того чтобы	17	3
11	о том как	3	3
12	о том что	8	3
13	это и есть	2	3
14	в точном смысле	2	2
15	с одной стороны	6	2
16	не только не	3	2
17	во всяком случае	6	2
18	только то что	3	2
19	этой точки зрения	2	2
20	мы знаем что	2	2
21	и никогда не	2	2
22	до сих пор	6	2
23	не в том	2	2
24	что все эти	2	2
25	только в том	5	2
26	в том чтобы	2	2
27	можно было бы	6	2
28	и в другом	2	2
