N	2gram	Nazirov_Tr	slovoVRo
1	и в	18	92
2	в романе	10	89
3	то есть	3	64
4	в нем	4	59
5	может быть	7	59
6	и его	6	59
7	и не	7	51
8	не только	8	44
9	не может	5	41
10	но и	4	39
11	до конца	2	37
12	в этом	9	36
13	так и	5	30
14	в его	3	27
15	все это	4	25
16	как бы	7	24
17	то же	5	23
18	и на	7	22
19	не в	2	21
20	как в	3	21
21	в то	5	20
22	прежде всего	4	19
23	как и	5	18
24	же время	6	18
25	с ним	3	18
26	все же	5	17
27	все эти	3	17
28	и даже	4	17
29	отличие от	2	16
30	при этом	3	16
31	но в	6	16
32	и с	7	15
33	в отличие	2	14
34	романа и	3	14
35	это не	5	13
36	с его	2	13
37	никогда не	2	12
38	отношение к	2	12
39	еще не	4	12
40	один из	3	11
41	для него	3	11
42	в своем	3	10
43	в том	2	10
44	и все	4	10
45	в себе	4	10
46	уже не	2	10
47	его в	2	9
48	в основном	3	9
49	к нему	3	9
50	одна из	2	9
51	с ее	3	9
52	он не	2	9
53	не могут	2	8
54	в самом	2	8
55	перед нами	2	7
56	том что	4	7
57	друг друга	2	7
58	в целом	4	7
59	у него	6	7
60	но все	2	7
61	в таком	2	7
62	ничего не	2	6
63	бы и	2	6
64	что в	4	6
65	ни в	2	6
66	и здесь	2	6
67	в одном	2	6
68	между этими	2	5
69	а как	2	5
70	в данном	2	5
71	в дальнейшем	5	5
72	о том	2	5
73	уже в	3	5
74	и сам	3	5
75	так же	4	4
76	и ее	2	4
77	даже на	2	4
78	что и	2	4
79	что он	6	4
80	в виде	2	4
81	в частности	2	4
82	но это	4	4
83	и как	3	4
84	в известной	2	4
85	к тому	2	4
86	чем он	2	4
87	данном случае	2	3
88	еще раз	2	3
89	не был	2	3
90	но эта	2	3
91	как это	3	3
92	и до	2	3
93	в первом	2	3
94	и то	2	3
95	должно быть	3	3
96	тем что	2	3
97	этими двумя	2	3
98	автора но	2	3
99	в этой	4	3
100	потому что	2	3
101	и это	2	3
102	личности и	2	3
103	этого романа	2	2
104	по замыслу	2	2
105	так что	2	2
106	и за	2	2
107	то что	4	2
108	что все	2	2
109	в образе	6	2
110	в ее	2	2
111	из самых	2	2
112	это очень	5	2
113	то и	2	2
114	и что	4	2
115	человеческой личности	2	2
116	что она	2	2
117	из своих	2	2
118	он был	2	2
119	об этом	4	2
120	вместе со	2	2
121	как у	2	2
122	но они	2	2
123	роман о	2	2
124	столь же	2	2
125	несмотря на	5	2
126	не просто	2	2
127	только о	2	2
