N	2gram	Tiupa_Anal	SlovoVZh
1	не может	3	16
2	точки зрения	3	14
3	может быть	19	14
4	и его	18	13
5	как бы	14	13
6	и в	36	12
7	таким образом	4	12
8	в нашем	4	11
9	отношению к	9	11
10	по отношению	9	11
11	и не	14	10
12	если бы	2	9
13	прежде всего	7	8
14	сказать что	2	7
15	при этом	19	6
16	в том	16	6
17	в нем	3	6
18	только в	9	6
19	к содержанию	3	6
20	и героя	2	6
21	в ней	2	6
22	никогда не	7	5
23	как в	9	5
24	что мы	2	5
25	в жизни	2	5
26	можно сказать	5	5
27	но в	8	5
28	том что	19	5
29	то же	7	5
30	как и	27	5
31	героя и	7	5
32	а не	16	5
33	то что	5	5
34	отнюдь не	7	5
35	в самом	7	4
36	в этом	19	4
37	не только	40	4
38	в литературе	3	4
39	что не	3	4
40	его в	4	4
41	и является	3	4
42	жизни и	2	4
43	не в	9	4
44	высказывания как	2	4
45	с другой	10	4
46	все же	6	4
47	дело в	3	4
48	за пределы	3	4
49	и к	7	4
50	так и	19	4
51	и на	5	4
52	уже не	9	4
53	отношение к	2	4
54	как к	2	3
55	в них	4	3
56	по себе	6	3
57	о том	9	3
58	и для	4	3
59	автору и	2	3
60	да и	3	3
61	все эти	2	3
62	в своей	12	3
63	мы не	4	3
64	в себе	7	3
65	нуждается в	2	3
66	еще не	7	3
67	здесь не	8	3
68	все это	5	3
69	когда он	2	3
70	и ее	3	3
71	между тем	8	3
72	не менее	9	3
73	с ним	2	3
74	в пределах	5	3
75	произведения и	2	3
76	и по	3	3
77	самом деле	2	3
78	того что	4	3
79	тем не	3	3
80	с героем	2	3
81	ведь и	2	3
82	но и	26	3
83	для него	8	3
84	едва ли	6	2
85	в особенности	4	2
86	и то	2	2
87	в его	12	2
88	данном случае	11	2
89	к его	2	2
90	имеет место	3	2
91	и здесь	4	2
92	что в	15	2
93	не так	2	2
94	в отношении	2	2
95	не есть	6	2
96	как уже	4	2
97	место в	4	2
98	ничего не	3	2
99	с его	15	2
100	что и	10	2
101	это не	4	2
102	и все	3	2
103	там где	2	2
104	с точки	2	2
105	от всех	2	2
106	она не	3	2
107	тому же	7	2
108	в своем	7	2
109	дело с	3	2
110	все они	2	2
111	в данном	12	2
112	мы имеем	5	2
113	и что	2	2
114	на примере	2	2
115	в то	8	2
116	себя и	2	2
117	те же	3	2
118	уже в	5	2
119	по природе	3	2
120	в этих	2	2
121	одной стороны	3	2
122	связь с	3	2
123	но это	3	2
124	он не	9	2
125	такой же	2	2
126	в момент	3	2
127	и потому	3	2
128	его как	3	2
129	оно не	2	2
130	но не	13	2
131	как это	7	2
132	автора и	5	2
133	в себя	6	2
134	мы можем	2	2
135	до известной	3	2
136	могут быть	4	2
137	совпадает с	4	2
138	частной жизни	2	2
139	в чем	2	2
140	в форме	2	2
141	с одной	3	2
142	к этому	3	2
143	между ними	3	2
144	этих двух	2	2
145	известной степени	3	2
146	другой стороны	7	2
147	вместе с	3	2
148	но зато	2	2
