N	3gram	Tiupa_Narr	formyVre
1	и т п	2	32
2	то же время	7	21
3	в то же	7	18
4	в связи с	3	15
5	с точки зрения	2	15
6	для того чтобы	4	12
7	но и в	4	12
8	не только в	12	11
9	до сих пор	3	10
10	и в то	2	10
11	одного и того	2	9
12	и того же	2	9
13	к себе самому	3	8
14	в этом отношении	5	7
15	в отличие от	6	7
16	не может быть	6	7
17	с одной стороны	5	6
18	одно и то	2	5
19	и то же	2	5
20	в том что	11	5
21	той или иной	6	5
22	как если бы	2	4
23	не могло быть	2	4
24	как раз в	3	4
25	друг на друга	2	4
26	во всяком случае	2	4
27	по отношению к	5	4
28	но при этом	3	3
29	то же самое	3	3
30	в зависимости от	3	3
31	существенную роль в	3	3
32	о том что	3	3
33	в нем не	2	3
34	сами по себе	2	3
35	на другой день	4	2
36	здесь не только	2	2
37	начало и конец	3	2
38	к тому что	4	2
39	можно сказать что	5	2
40	не было и	2	2
41	дело в том	2	2
42	в частности в	2	2
43	в соответствии с	7	2
44	в данном случае	12	2
45	времени и пространстве	6	2
46	своей собственной жизни	2	2
47	к тому же	8	2
48	в свою очередь	2	2
