N	2gram	Ircho_Kome	Mirosoze
1	и в	40	97
2	может быть	16	64
3	не только	12	63
4	в этом	9	55
5	но и	14	54
6	он не	5	53
7	в нем	8	49
8	не может	3	49
9	у него	6	47
10	и не	19	39
11	потому что	8	37
12	в ней	2	37
13	не в	8	34
14	человека в	2	30
15	но он	2	30
16	прежде всего	8	29
17	как и	12	29
18	но в	6	27
19	в мире	3	27
20	к человеку	2	26
21	и это	3	25
22	в своей	3	25
23	он был	4	25
24	и все	4	24
25	у нас	3	24
26	в своем	6	23
27	что в	12	23
28	что он	11	22
29	в самом	5	21
30	в себе	3	20
31	отношение к	3	20
32	до конца	3	19
33	как бы	3	19
34	в его	8	18
35	в том	19	16
36	том что	19	16
37	то что	8	16
38	было бы	8	16
39	и его	17	16
40	в этой	9	15
41	в котором	6	15
42	в конце	7	14
43	так как	6	14
44	и вот	4	13
45	друг друга	2	13
46	и на	9	13
47	это не	2	12
48	и у	3	12
49	в любви	2	12
50	к нему	5	12
51	в них	7	12
52	все это	7	12
53	но не	3	12
54	с тем	5	11
55	но это	2	11
56	хотя бы	2	11
57	в которой	9	11
58	только в	6	11
59	как в	8	11
60	и для	4	11
61	и к	2	11
62	жизни и	4	11
63	так же	4	10
64	один из	9	10
65	то же	7	10
66	в самой	2	10
67	а в	9	9
68	к тому	15	9
69	что и	10	9
70	и во	4	9
71	из самых	2	9
72	х годов	5	9
73	все что	3	9
74	в свою	2	9
75	не мог	4	9
76	вместе с	8	9
77	вопрос о	5	8
78	ничего не	4	8
79	в этих	5	8
80	того чтобы	4	8
81	в отношении	6	8
82	т е	14	8
83	с его	4	8
84	себя в	2	8
85	за пределы	2	8
86	тем что	5	8
87	для того	3	8
88	нет и	2	8
89	о том	12	8
90	и с	8	8
91	еще в	9	8
92	уже в	9	8
93	как он	2	7
94	в духе	3	7
95	более чем	4	7
96	но если	4	7
97	мог бы	3	7
98	точки зрения	7	7
99	что она	3	7
100	на этом	3	7
101	в нашем	2	7
102	человеку и	2	7
103	его в	6	6
104	или к	2	6
105	на все	3	6
106	всего в	5	6
107	в ее	2	6
108	в образе	4	6
109	совсем не	2	6
110	того как	3	6
111	и от	2	6
112	что это	5	6
113	можно было	5	6
114	к ней	2	6
115	к концу	3	6
116	если бы	4	6
117	с этой	3	6
118	по своей	2	6
119	жизнь и	2	6
120	и более	2	6
121	к людям	2	6
122	что у	6	6
123	на то	3	6
124	и здесь	6	6
125	не к	2	6
126	и если	2	5
127	означает что	2	5
128	с собой	2	5
129	в то	14	5
130	к которому	4	5
131	в их	6	5
132	так и	17	5
133	все время	2	5
134	от этого	2	5
135	в более	4	5
136	и я	2	5
137	интерес к	2	5
138	тот же	5	5
139	во всяком	4	5
140	да и	5	5
141	и мир	2	5
142	с этим	5	5
143	и как	3	5
144	бы в	3	5
145	для этого	2	5
146	еще не	7	5
147	как будто	3	5
148	сих пор	3	5
149	после того	3	5
150	на протяжении	14	5
151	до сих	3	5
152	той же	3	5
153	по отношению	5	4
154	в каждом	2	4
155	от того	3	4
156	конце концов	4	4
157	не всегда	2	4
158	так что	6	4
159	по своему	5	4
160	в чем	3	4
161	тому что	4	4
162	место в	7	4
163	могут быть	3	4
164	для них	2	4
165	в начале	7	4
166	на землю	3	4
167	что они	4	4
168	в истории	10	4
169	никто не	3	4
170	и можно	2	4
171	не все	2	4
172	его с	2	4
173	и даже	5	4
174	и по	6	4
175	ни в	9	4
176	в середине	5	4
177	и их	3	4
178	мы не	4	4
179	отношению к	5	4
180	нас в	3	4
181	время как	6	4
182	это была	2	4
183	еще более	2	4
184	путь к	2	4
185	в той	2	4
186	в своих	2	4
187	и что	2	4
188	то время	8	4
189	будто бы	2	4
190	к его	3	3
191	к этим	3	3
192	о чем	2	3
193	в состоянии	3	3
194	и поэтому	2	3
195	должны были	9	3
196	для себя	2	3
197	одним из	3	3
198	и тем	2	3
199	в трагедии	3	3
200	все же	7	3
201	европейской культуры	2	3
202	это уже	2	3
203	что же	2	3
204	между тем	9	3
205	в виду	2	3
206	ту же	2	3
207	на его	5	3
208	же как	3	3
209	когда в	3	3
210	протяжении всего	3	3
211	принадлежит к	2	3
212	которую он	3	3
213	хотя и	6	3
214	а к	2	3
215	стали бы	2	3
216	то это	3	3
217	и еще	5	3
218	в противоположность	2	3
219	к этому	8	3
220	об этом	2	3
221	и самого	3	3
222	находится в	2	3
223	во всех	4	3
224	именно потому	2	3
225	на этот	5	3
226	только один	2	3
227	не вполне	2	3
228	его до	2	3
229	в одном	10	3
230	со своей	3	3
231	всяком случае	4	3
232	роль в	2	3
233	земли и	2	3
234	и после	3	3
235	и за	3	3
236	все более	4	2
237	в действительности	4	2
238	из всех	2	2
239	если в	3	2
240	не раз	3	2
241	ему и	2	2
242	за собой	3	2
243	его творчество	3	2
244	со своим	6	2
245	и других	7	2
246	были в	2	2
247	такого рода	6	2
248	после этого	3	2
249	нас не	2	2
250	тем как	2	2
251	многие из	3	2
252	от них	3	2
253	которые в	3	2
254	только потому	2	2
255	не менее	6	2
256	того же	4	2
257	ему в	2	2
258	и без	3	2
259	и сам	5	2
260	ни одного	2	2
261	же не	2	2
262	их было	2	2
263	с такой	2	2
264	связи с	3	2
265	в сущности	3	2
266	е в	2	2
267	и ее	5	2
268	во время	11	2
269	столь же	9	2
270	правда в	3	2
271	насилие над	2	2
272	а мы	2	2
273	относится к	2	2
274	на всю	3	2
275	не могли	2	2
276	в свои	4	2
277	его творчества	4	2
278	с их	4	2
279	у нее	2	2
280	это было	5	2
281	также в	3	2
282	наше время	2	2
283	этом отношении	3	2
284	целый ряд	2	2
285	мира в	5	2
286	ее в	2	2
287	можно сделать	3	2
288	и о	3	2
289	не по	5	2
290	не означает	2	2
291	но они	2	2
292	в какой	2	2
293	у других	4	2
294	можно найти	2	2
295	с другой	7	2
296	которой он	2	2
297	по себе	2	2
298	ко всему	2	2
299	свою вину	2	2
300	и уже	2	2
