N	2gram	Vygotskiy_	Myslijsy
1	потому что	27	182
2	то есть	44	142
3	и в	55	121
4	может быть	35	107
5	в том	55	103
6	то что	47	83
7	в слове	3	78
8	для нас	5	75
9	что в	39	73
10	и не	24	73
11	только в	18	72
12	не только	25	67
13	а не	18	67
14	таким образом	38	64
15	в языке	3	60
16	том что	30	59
17	так как	28	59
18	в этом	21	59
19	но и	12	59
20	то же	17	56
21	не в	19	54
22	если бы	10	53
23	в себе	6	53
24	не может	30	52
25	по себе	21	52
26	того что	15	47
27	в сознании	6	46
28	в нем	5	45
29	было бы	14	45
30	не есть	4	42
31	как и	25	42
32	так что	8	39
33	вместе с	10	39
34	мы не	15	38
35	что и	27	38
36	так и	6	37
37	при этом	28	37
38	как в	17	37
39	чувственный образ	2	36
40	тогда когда	7	36
41	что мы	9	36
42	точно так	6	35
43	тем что	7	33
44	и что	28	32
45	внутренней формы	3	31
46	а в	10	30
47	но не	5	29
48	что не	2	29
49	между тем	6	29
50	вовсе не	7	28
51	есть только	7	28
52	мы можем	6	28
53	могут быть	15	27
54	с этим	7	27
55	и т	36	26
56	то и	2	26
57	не было	5	26
58	независимо от	3	26
59	душевной жизни	2	25
60	этого слова	5	25
61	в то	8	24
62	с тем	11	23
63	от того	6	23
64	того как	5	23
65	как бы	11	23
66	только тогда	8	22
67	но в	5	22
68	а потому	5	22
69	не имеет	3	22
70	с другой	7	22
71	то это	3	22
72	чувства и	4	22
73	и потому	2	21
74	не менее	9	21
75	внутренняя форма	6	21
76	в ней	3	20
77	в одном	4	20
78	тем самым	2	19
79	заключает в	3	19
80	мысли и	2	19
81	и как	9	19
82	в сознание	2	19
83	с ним	2	19
84	есть не	6	19
85	и то	4	19
86	сказать что	12	19
87	что это	12	19
88	из этих	6	19
89	но это	3	19
90	должно быть	2	19
91	тем не	6	19
92	о том	11	19
93	того же	3	19
94	в каком	3	18
95	очевидно что	7	18
96	для того	12	18
97	еще не	2	18
98	не могут	6	18
99	там же	2	18
100	по поводу	3	18
101	в самом	18	18
102	что я	4	18
103	в таком	5	18
104	заметить что	3	17
105	в его	8	17
106	со стороны	5	17
107	точки зрения	32	17
108	что оно	4	17
109	во всяком	9	17
110	не можем	3	17
111	уже в	3	17
112	слова в	5	17
113	в своем	3	16
114	к тому	8	16
115	а только	4	16
116	и наоборот	2	16
117	в которой	6	16
118	только что	3	16
119	так же	29	16
120	или же	2	16
121	есть нечто	4	16
122	в них	4	16
123	что если	7	16
124	на то	17	16
125	и на	6	16
126	и по	7	15
127	в нас	3	15
128	т д	10	15
129	стало быть	3	15
130	в этих	6	15
131	с одной	6	15
132	думать что	3	15
133	тому как	10	15
134	и тем	5	15
135	что он	17	15
136	прежде всего	5	15
137	быть может	2	15
138	только как	3	15
139	с другими	2	15
140	в свою	3	15
141	уже не	3	15
142	мы должны	4	14
143	свою очередь	3	14
144	в действительности	4	14
145	и без	3	14
146	должны быть	6	14
147	связи с	2	14
148	там где	5	14
149	само по	8	14
150	то в	2	14
151	мысли в	3	14
152	на деле	11	14
153	столь же	6	14
154	в котором	5	14
155	все же	9	14
156	внешняя форма	2	14
157	сам по	4	14
158	когда мы	4	14
159	во всех	4	14
160	бы ни	2	14
161	же время	2	14
162	смысле этого	2	13
163	что все	10	13
164	и все	8	13
165	те же	9	13
166	зависит от	2	13
167	т п	24	13
168	образом в	3	13
169	и может	3	13
170	например в	5	13
171	в смысле	3	13
172	из них	4	13
173	и его	14	13
174	есть для	2	13
175	как на	6	13
176	никогда не	13	12
177	от него	2	12
178	человека и	3	12
179	и вместе	2	12
180	и при	3	12
181	одно из	2	12
182	что же	4	12
183	что на	4	12
184	не то	2	12
185	все это	11	12
186	под влиянием	4	12
187	как мы	2	12
188	есть в	7	12
189	сих пор	8	12
190	что такое	2	12
191	оно не	2	12
192	или менее	3	12
193	поэтического произведения	3	12
194	в чем	5	12
195	только потому	2	12
196	хотя и	3	12
197	внутреннюю форму	3	12
198	относится к	4	12
199	себе представить	2	12
200	другой стороны	7	12
201	в каждом	5	12
202	более или	3	12
203	всяком случае	7	12
204	до сих	8	12
205	к одному	5	11
206	в силу	4	11
207	той же	9	11
208	того чтобы	13	11
209	и вообще	3	11
210	только на	7	11
211	в состоянии	4	11
212	которые мы	4	11
213	что для	5	11
214	все что	4	11
215	и если	4	11
216	и их	4	11
217	же что	2	11
218	его в	3	11
219	указывает на	6	11
220	мы видели	2	11
221	к нему	3	11
222	сами по	4	11
223	подобно тому	7	11
224	и это	6	11
225	и только	5	11
226	и следовательно	4	10
227	одной стороны	7	10
228	представить себе	5	10
229	том как	2	10
230	слова есть	2	10
231	что только	3	10
232	и для	9	10
233	мысль что	5	10
234	мы говорим	2	10
235	хотя бы	4	10
236	в других	3	10
237	если же	3	10
238	такой степени	2	10
239	тем же	4	10
240	тем и	2	10
241	одной и	6	10
242	тому что	7	10
243	тех пор	2	10
244	мы видим	8	10
245	образ и	2	10
246	и от	4	10
247	и мы	6	10
248	бы в	3	10
249	он не	8	10
250	если мы	21	10
251	и с	5	10
252	то время	6	10
253	и есть	5	10
254	что при	8	10
255	в нее	2	9
256	вопрос о	3	9
257	таком случае	3	9
258	и других	4	9
259	зрения и	2	9
260	могли бы	3	9
261	не будет	4	9
262	разница между	3	9
263	поэзии и	8	9
264	для самого	2	9
265	и даже	11	9
266	на него	2	9
267	себе не	4	9
268	и о	4	9
269	далеко не	7	9
270	с точки	12	9
271	самом деле	19	9
272	мысли а	2	9
273	один из	6	9
274	в целом	8	9
275	можно сказать	2	9
276	что она	11	9
277	до тех	3	9
278	одного и	2	9
279	с в	4	9
280	на самом	6	8
281	при помощи	27	8
282	на вопрос	4	8
283	что даже	3	8
284	такое же	3	8
285	по тому	4	8
286	тот же	8	8
287	не как	3	8
288	что они	7	8
289	с и	17	8
290	и более	3	8
291	в самой	2	8
292	их в	4	8
293	в которых	5	8
294	только не	4	8
295	или что	4	8
296	во всем	5	8
297	вслед за	10	8
298	говоря о	2	8
299	удовольствия и	2	8
300	была бы	2	8
301	и той	5	8
302	между ними	2	8
303	на все	6	8
304	с ними	2	8
305	и тогда	3	8
306	не так	2	8
307	которые не	3	8
308	художественное произведение	16	8
309	что есть	3	8
310	что по	5	8
311	мы в	3	8
312	или в	2	8
313	но мы	3	7
314	к другим	2	7
315	для себя	2	7
316	столько же	4	7
317	а как	2	7
318	том же	4	7
319	одном из	2	7
320	на основании	7	7
321	в искусстве	24	7
322	она не	6	7
323	что содержание	2	7
324	и во	3	7
325	себя и	3	7
326	значение и	3	7
327	только один	2	7
328	и понятия	2	7
329	или не	2	7
330	его с	3	7
331	все эти	7	7
332	в собственном	4	7
333	за пределы	2	7
334	поэтическое произведение	2	7
335	и тот	4	7
336	за ним	2	7
337	с этой	8	7
338	что у	8	7
339	в своих	12	7
340	в другой	3	7
341	но что	3	7
342	как она	4	7
343	не знаем	2	7
344	и теперь	2	7
345	один и	2	7
346	все в	2	7
347	в таких	2	7
348	его к	2	7
349	но как	4	7
350	мысли но	2	7
351	то все	2	7
352	что именно	4	7
353	не всегда	2	7
354	тем как	2	7
355	на котором	2	7
356	для понимания	2	7
357	бы и	5	7
358	на это	2	7
359	к этому	5	7
360	которое мы	2	7
361	сама по	2	7
362	в жизни	5	7
363	этом смысле	3	7
364	не существует	4	7
365	несмотря на	8	7
366	с но	3	7
367	но если	2	6
368	слов в	2	6
369	в виду	6	6
370	таким путем	6	6
