N	2gram	Tiupa_Narr	FransuaR
1	и в	19	367
2	то есть	19	209
3	в этом	17	112
4	и т.п	8	108
5	и не	20	101
6	и его	5	99
7	в его	9	98
8	прежде всего	4	92
9	не только	32	87
10	но и	23	84
11	как бы	4	82
12	все эти	2	79
13	как и	7	76
14	в нем	4	75
15	но в	6	75
16	и др	2	72
17	и на	3	72
18	в том	18	71
19	как мы	3	71
20	то же	4	66
21	и все	2	66
22	так и	9	65
23	в этой	5	65
24	в сущности	3	64
25	и с	4	64
26	в то	3	63
27	же время	4	55
28	что в	3	52
29	в своем	2	51
30	только в	4	48
31	и до	2	46
32	том что	14	45
33	то что	11	41
34	жизни и	3	40
35	у него	4	40
36	точки зрения	10	37
37	в ней	3	37
38	с его	6	36
39	может быть	25	35
40	о том	6	35
41	сказать что	4	34
42	и даже	3	34
43	в себе	8	34
44	он не	3	32
45	для него	2	32
46	нового времени	2	31
47	в литературе	2	31
48	так же	2	30
49	никогда не	3	30
50	и потому	2	30
51	один из	3	30
52	не может	10	29
53	еще не	7	29
54	его в	2	29
55	не в	14	29
56	при этом	9	29
57	в особенности	4	29
58	связи с	4	29
59	что он	6	29
60	из них	3	28
61	в основе	5	28
62	в той	6	28
63	здесь и	2	28
64	роль в	2	27
65	том числе	6	27
66	все же	7	27
67	в эпизоде	3	27
68	в области	2	25
69	мира и	2	25
70	отношение к	2	24
71	в ее	3	24
72	в частности	14	24
73	например в	2	24
74	но не	6	24
75	как в	7	24
76	времени и	7	24
77	своего рода	12	23
78	и для	2	23
79	это не	2	23
80	к нему	5	23
81	даже в	2	22
82	а в	11	22
83	тем что	3	22
84	не было	2	22
85	именно в	6	21
86	в себя	6	21
87	в качестве	21	21
88	что это	3	21
89	ни в	3	21
90	одним из	2	21
91	есть в	2	21
92	и как	5	21
93	уже в	3	21
94	а также	7	20
95	как раз	2	20
96	одной из	4	20
97	этом отношении	3	20
98	в значительной	2	20
99	с точки	2	20
100	самом деле	2	20
101	в связи	2	20
102	в форме	5	19
103	хотя и	3	19
104	было бы	4	19
105	далеко не	5	19
106	с другой	8	19
107	с ее	3	19
108	на протяжении	6	19
109	здесь не	4	18
110	это и	3	18
111	перед нами	4	18
112	одна из	3	18
113	числе и	4	17
114	но все	4	17
115	того что	2	17
116	можно было	2	17
117	в результате	2	17
118	а не	12	17
119	между тем	3	16
120	ничего не	2	16
121	между ними	2	16
122	они не	2	16
123	с одной	7	16
124	и одновременно	2	16
125	одно из	2	15
126	особенно в	3	15
127	от всех	2	15
128	не мог	4	15
129	из этих	3	15
130	по существу	2	14
131	в данном	5	14
132	и он	3	14
133	несмотря на	2	14
134	отличие от	5	13
135	этого эпизода	3	13
136	или в	2	13
137	в мире	9	13
138	и есть	2	13
139	мира в	5	13
140	не на	2	13
141	о чем	2	13
142	они и	2	13
143	одной стороны	7	13
144	смерти и	2	12
145	во всей	2	12
146	все то	2	12
147	жизни в	3	12
148	в пределах	2	12
149	и ее	2	12
150	те же	4	12
151	та же	2	12
152	по своей	3	12
153	можно сказать	5	12
154	о нем	4	12
155	другой стороны	4	12
156	наконец в	2	11
157	зрения на	2	11
158	уже не	5	11
159	и т.д	7	11
160	время в	2	11
161	той или	4	11
162	что они	3	11
163	в отличие	5	11
164	данном случае	4	10
165	или иной	5	10
166	значительной степени	2	10
167	со смертью	2	10
168	к тому	7	10
169	его как	2	10
170	во второй	2	10
171	по отношению	7	10
172	к которому	2	10
173	да и	4	10
174	что не	4	9
175	как известно	2	9
176	говорит о	2	9
177	но как	2	9
178	вплоть до	2	9
179	как это	6	9
180	отношению к	6	9
181	как к	2	9
182	что на	2	9
183	не имеет	2	9
184	же в	4	9
185	жизнью и	2	9
186	отношения к	2	9
187	языка и	2	8
188	нуждается в	5	8
189	включает в	2	8
190	все те	4	8
191	более или	2	8
192	на первый	2	8
193	или менее	2	8
194	не менее	3	8
195	тому же	5	8
196	они в	2	8
197	точку зрения	4	7
198	в церкви	4	7
199	точка зрения	6	7
200	времени в	2	7
201	не как	2	7
202	что у	2	7
203	в свою	3	7
204	тому как	2	7
205	на том	3	7
206	одного из	4	7
207	себя в	5	7
208	подобно тому	2	7
209	из которых	4	7
210	в таком	2	7
211	на него	3	7
212	всех его	2	7
213	к себе	5	7
214	что по	2	7
215	нет и	2	7
216	такого рода	7	6
217	свою очередь	3	6
218	и тот	2	6
219	или даже	2	6
220	жизни как	3	6
221	лица и	2	6
222	могут быть	3	6
223	было в	2	6
224	в противоположность	2	6
225	совершенно не	2	6
226	а именно	3	6
