N	2gram	Vinokur_St	Problemy
1	и в	61	106
2	и не	23	90
3	как бы	8	70
4	может быть	16	66
5	т е	21	59
6	в его	19	56
7	в этом	37	52
8	в нем	9	51
9	не может	10	49
10	что он	23	44
11	как и	11	44
12	но и	28	40
13	точки зрения	16	40
14	для него	10	39
15	и его	11	39
16	а не	19	38
17	не только	36	36
18	то же	7	36
19	то что	27	33
20	но в	16	33
21	прежде всего	11	32
22	в то	10	29
23	все это	13	29
24	он не	11	29
25	и все	3	28
26	не в	15	27
27	в одном	7	27
28	же время	5	26
29	к нему	2	25
30	в сущности	2	25
31	с точки	10	25
32	и т	36	25
33	в самом	14	25
34	и с	6	25
35	самом деле	14	24
36	не как	2	24
37	вовсе не	24	24
38	и на	7	23
39	таким образом	16	22
40	в каждом	3	22
41	что я	3	22
42	по себе	3	22
43	там где	6	21
44	никогда не	7	20
45	все же	12	20
46	потому что	13	20
47	только в	11	20
48	что в	41	19
49	с его	3	19
50	отношению к	3	19
51	что же	6	19
52	на самом	8	18
53	в себе	3	18
54	по отношению	3	18
55	т п	11	18
56	все эти	7	18
57	еще не	4	18
58	но не	5	18
59	это не	8	17
60	в том	56	17
61	так и	15	17
62	а в	18	17
63	и к	5	17
64	так же	7	16
65	в другом	5	16
66	если бы	11	16
67	в своей	12	16
68	этом смысле	2	16
69	до конца	4	15
70	о мире	2	15
71	и для	4	15
72	у него	3	15
73	в отношении	11	14
74	так как	7	14
75	в своем	8	14
76	в конце	5	14
77	я не	13	14
78	лишь в	3	14
79	и сам	4	14
80	как раз	10	14
81	а как	5	14
82	его в	4	13
83	в романе	4	13
84	и это	4	13
85	в целом	5	13
86	на него	3	13
87	но все	9	13
88	том что	49	12
89	в одной	3	12
90	даже в	5	12
91	ничего не	6	12
92	так что	8	12
93	к тому	9	12
94	между тем	7	12
95	не знает	2	12
96	что и	8	12
97	при этом	4	12
98	было бы	21	12
99	во всяком	8	12
100	но это	9	12
101	за пределы	2	12
102	и даже	8	12
103	и как	2	12
104	как в	15	12
105	отношении к	3	12
106	в котором	11	12
107	и что	8	12
108	у меня	3	12
109	не могут	2	11
110	в форме	2	11
111	конце концов	2	11
112	она не	3	11
113	ни одного	4	11
114	этого слова	2	11
115	бы и	4	11
116	это слово	6	11
117	бы в	2	11
118	тем что	6	11
119	с другой	11	11
120	их в	2	11
121	как будто	5	11
122	отношение к	3	10
123	для себя	3	10
124	что не	3	10
125	ведь и	3	10
126	самого начала	3	10
127	до сих	13	10
128	сих пор	12	10
129	той же	5	10
130	в слове	5	10
131	и потому	3	9
132	с самого	4	9
133	могут быть	5	9
134	в них	2	9
135	хотя и	4	9
136	да и	4	9
137	другой стороны	9	9
138	хотя бы	8	9
139	что у	8	9
140	ни в	5	9
141	всяком случае	8	9
142	в той	9	9
143	но он	5	9
144	уже в	3	8
145	наконец в	2	8
146	как к	3	8
147	одним из	2	8
148	это и	5	8
149	и о	4	8
150	того что	14	8
151	несмотря на	4	8
152	и до	2	8
153	не на	3	8
154	должна быть	3	8
155	из его	3	8
156	и от	2	8
157	что это	5	8
158	и он	2	8
159	с их	2	8
160	знает и	2	8
161	в результате	5	8
162	о том	30	8
163	и у	2	8
164	и так	3	8
165	из них	11	8
166	же и	4	8
167	не о	2	7
168	вопрос о	9	7
169	были бы	2	7
170	в этих	5	7
171	в их	3	7
172	в виде	3	7
173	к своему	3	7
