N	2gram	Bakhtin_Fr	Poddanst
1	не только	24	17
2	и в	105	14
3	и не	34	12
4	в области	10	11
5	в этом	22	10
6	в отношении	7	10
7	но в	16	9
8	то же	6	9
9	в том	17	9
10	хотя бы	2	8
11	в пределах	3	8
12	в то	5	7
13	только в	16	7
14	же время	5	7
15	но и	20	6
16	было бы	4	6
17	в смысле	2	6
18	в ней	7	6
19	xix века	6	6
20	с другой	3	5
21	не в	4	5
22	и о	4	5
23	и пр	5	5
24	может быть	11	5
25	что в	4	4
26	и потому	14	4
27	в своем	11	4
28	том что	9	4
29	европейской культуры	3	4
30	мы должны	2	4
31	и к	7	4
32	как бы	33	4
33	то что	7	4
34	не может	9	4
35	а в	4	4
36	же в	4	4
37	что мы	2	3
38	и как	2	3
39	но не	7	3
40	это не	4	3
41	с точки	6	3
42	для того	2	3
43	в себе	7	3
44	точки зрения	10	3
45	потому что	6	3
46	одной стороны	2	3
47	в нем	16	3
48	между тем	5	3
49	и без	4	3
50	могут быть	4	3
51	прежде всего	26	3
52	хотя и	4	3
53	тот же	4	3
54	с одной	2	3
55	с ними	2	3
56	наряду с	2	3
57	для нас	5	2
58	не о	2	2
59	да и	5	2
60	в них	13	2
61	в жизни	7	2
62	одна из	5	2
63	отношения к	5	2
64	которое в	2	2
65	для них	2	2
66	не к	2	2
67	в эту	6	2
68	и это	3	2
69	духа и	3	2
70	и других	6	2
71	в его	24	2
72	по сравнению	2	2
73	в ряду	3	2
74	и вот	5	2
75	в xix	2	2
76	в общем	4	2
77	не менее	2	2
78	бы ни	2	2
79	время в	3	2
80	культуры в	4	2
81	именно в	6	2
82	в начале	4	2
83	еще более	6	2
84	все это	16	2
85	в частности	6	2
86	значительной мере	3	2
87	том числе	10	2
88	как на	4	2
89	во всей	4	2
90	не было	3	2
91	например в	3	2
92	и с	8	2
93	во всех	13	2
94	в ее	5	2
95	xix веке	2	2
96	между прочим	2	2
97	как раз	3	2
98	есть в	6	2
99	в значительной	9	2
100	того что	3	2
101	думать что	2	2
102	главным образом	6	2
103	так называемые	2	2
104	из них	7	2
105	образом на	2	2
