N	3gram	Losev_Dial	Vladivir
1	в том что	12	29
2	о том что	6	22
3	тем не менее	10	18
4	в то время	6	13
5	во всяком случае	3	12
6	в связи с	3	12
7	содержит в себе	2	11
8	к тому же	2	11
9	в то же	3	10
10	с точки зрения	25	10
11	не может быть	12	10
12	как раз и	3	9
13	то же время	3	9
14	на то что	3	8
15	это значит что	25	7
16	на первый план	4	7
17	точно так же	3	7
18	в данном случае	3	6
19	никакого отношения к	3	6
20	с другой стороны	3	6
21	и в этом	4	6
22	так или иначе	2	6
23	само по себе	8	6
24	бы то ни	2	5
25	то время как	6	5
26	но даже и	3	5
27	и в то	2	5
28	не говоря уже	6	5
29	ничего не говорит	5	5
30	в сравнении с	5	5
31	по крайней мере	10	4
32	сам по себе	6	4
33	говоря уже о	6	4
34	вовсе не есть	5	4
35	это учение о	3	4
36	не что иное	6	4
37	в этом отношении	2	4
38	с одной стороны	3	4
39	что иное как	6	4
40	и т д	38	4
41	то это значит	4	4
42	ни в каком	8	3
43	и больше ничего	4	3
44	иметь в виду	3	3
45	так что в	2	3
46	не имеет никакого	3	3
47	субъекта и объекта	4	3
48	в самом деле	6	3
49	но это не	2	3
50	и в частности	2	3
51	не только не	7	3
52	к тому что	2	3
53	не в том	5	3
54	в последнее время	2	3
55	хотя и не	2	3
56	мы уже сказали	2	3
57	и прежде всего	6	2
58	а не только	2	2
59	и то же	2	2
60	не говорит о	3	2
61	в течение всего	2	2
62	не было ни	2	2
63	имеет никакого отношения	3	2
64	или по крайней	4	2
65	для нас в	2	2
66	то что мы	3	2
67	так же как	2	2
68	но то что	2	2
69	есть прежде всего	4	2
70	даже и не	3	2
71	субъект и объект	2	2
72	не может не	3	2
73	в себе не	2	2
74	одно и то	2	2
75	в таком случае	11	2
76	ни в чем	2	2
77	и тем не	2	2
78	что это есть	4	2
79	есть не что	3	2
80	уже о том	3	2
81	это и есть	4	2
82	в вопросе о	2	2
83	если иметь в	2	2
84	по одному тому	3	2
