N	2gram	Bakhtin_fo	VerxiiNi
1	и в	84	26
2	таким образом	14	22
3	с тем	5	18
4	в этом	41	15
5	вместе с	9	15
6	точки зрения	14	13
7	как бы	11	12
8	в том	16	11
9	не только	16	10
10	из этих	5	10
11	и с	10	10
12	может быть	18	10
13	что в	9	9
14	так как	12	9
15	связи с	14	9
16	но и	14	9
17	но не	9	8
18	с другой	4	8
19	и у	8	8
20	и не	19	8
21	как на	2	8
22	но все	6	7
23	в эпоху	5	7
24	потому что	11	7
25	связанные с	5	7
26	одной стороны	3	7
27	из них	8	7
28	то что	13	7
29	с одной	5	7
30	но в	16	7
31	том что	7	7
32	в отношении	5	6
33	все же	12	6
34	к тому	6	6
35	о том	4	6
36	мы должны	2	6
37	того же	9	6
38	в себе	7	6
39	в конце	11	6
40	что и	5	6
41	с точки	9	6
42	и т.д	2	6
43	все эти	12	6
44	все это	10	6
45	и потому	4	6
46	так и	17	6
47	во всяком	5	6
48	никогда не	8	5
49	в мире	4	5
50	одной из	3	5
51	и для	12	5
52	не имеет	5	5
53	так же	7	5
54	том числе	7	5
55	и к	4	5
56	друг с	5	5
57	отношение к	5	5
58	к жизни	2	5
59	того чтобы	11	5
60	лишь в	8	5
61	в его	19	5
62	богов и	2	5
63	для того	12	5
64	с другом	5	5
65	а не	7	5
66	тому же	2	5
67	сих пор	4	5
68	до сих	4	5
69	и от	3	4
70	что все	4	4
71	далеко не	3	4
72	а в	6	4
73	с другими	3	4
74	в котором	8	4
75	в самом	9	4
76	в нем	28	4
77	не может	8	4
78	в смысле	5	4
79	в которых	4	4
80	попадает в	2	4
81	бога и	2	4
82	то есть	42	4
83	целый ряд	2	4
84	то же	18	4
85	числе и	4	4
86	и по	5	4
87	в этих	6	4
88	только в	12	4
89	что он	2	4
90	и только	3	4
91	он не	6	4
92	во время	7	4
93	в течение	2	4
94	в этой	3	4
95	в то	13	4
96	в своем	8	3
97	с самого	3	3
98	друг за	2	3
99	оказывается что	2	3
100	к ним	3	3
101	уже не	5	3
102	хотя бы	2	3
103	и нет	2	3
104	к этому	5	3
105	в результате	6	3
106	в которой	3	3
107	в значительной	3	3
108	и даже	5	3
109	и как	12	3
110	если бы	6	3
111	и те	4	3
112	же как	2	3
113	в других	9	3
114	при этом	8	3
115	к концу	3	3
116	у них	4	3
117	в качестве	6	3
118	с этой	3	3
119	в связи	13	3
120	и другие	6	3
121	в таком	4	3
122	так что	4	3
123	ясно что	2	3
124	но по	2	3
125	можно сказать	2	3
126	отношению к	5	3
127	в одном	10	3
128	того что	5	3
129	для него	5	3
130	по своему	3	2
131	мы видели	2	2
132	одно из	3	2
133	сказать что	4	2
134	связан с	2	2
135	которые в	2	2
136	с идеей	2	2
137	и является	2	2
138	по сравнению	3	2
139	и это	5	2
140	или иной	4	2
141	не могут	4	2
142	а также	5	2
143	и проч	5	2
144	в самой	3	2
145	для всех	3	2
146	стадии развития	2	2
147	можно только	2	2
148	выход из	2	2
149	мы имеем	2	2
150	ни один	2	2
151	в процессе	4	2
152	мы можем	2	2
153	между этими	4	2
154	в начале	3	2
155	ему в	3	2
156	вплоть до	3	2
157	похож на	3	2
158	особенно в	3	2
159	в свою	2	2
160	не как	2	2
161	связанных с	3	2
162	не могла	2	2
163	именно в	5	2
164	конечно не	7	2
165	если не	3	2
166	тогда когда	2	2
167	в образе	8	2
168	те же	5	2
169	что мы	2	2
170	в них	11	2
171	и на	13	2
172	и здесь	2	2
173	уже в	5	2
174	еще не	8	2
175	к другу	2	2
176	все что	2	2
177	наконец в	2	2
178	жизни и	12	2
179	иной раз	2	2
180	иной характер	2	2
181	не было	8	2
182	самого начала	3	2
183	можно назвать	2	2
184	этом отношении	5	2
185	не в	10	2
186	только для	2	2
187	и наконец	6	2
188	той или	3	2
189	в одно	3	2
190	жизни по	2	2
191	и все	10	2
192	на друга	4	2
193	но когда	2	2
194	значительной мере	2	2
195	же время	13	2
196	героев и	5	2
197	один из	5	2
198	в виду	5	2
199	со всеми	4	2
200	сравнению с	3	2
201	с телом	2	2
202	друг на	4	2
203	совершенно иной	3	2
204	них не	2	2
205	не к	2	2
206	людей и	2	2
207	прежде всего	28	2
208	тот же	4	2
209	не могло	5	2
210	его от	3	2
211	с его	10	2
212	этими двумя	3	2
213	во всех	13	2
214	в разных	6	2
215	же самое	2	2
216	быть и	4	2
217	по существу	17	2
