N	2gram	Voloshinov	Freidism
1	и не	14	34
2	таким образом	8	34
3	точки зрения	11	31
4	не может	13	30
5	и пр	4	29
6	может быть	13	28
7	и в	42	28
8	в этом	10	28
9	прежде всего	22	26
10	в его	6	25
11	и его	7	22
12	мы можем	7	20
13	с помощью	6	20
14	как бы	30	19
15	как мы	10	18
16	то что	9	17
17	вовсе не	2	16
18	так как	8	15
19	точка зрения	4	15
20	с точки	5	15
21	все эти	3	15
22	самом деле	5	14
23	так и	7	14
24	в своей	2	14
25	с ним	2	14
26	во всех	6	13
27	и все	4	13
28	в душе	2	13
29	но в	5	13
30	как и	12	13
31	по отношению	2	13
32	точку зрения	6	12
33	и потому	2	12
34	том что	3	12
35	то же	16	12
36	что он	2	12
37	мы видели	5	12
38	в самом	5	12
39	и наконец	5	12
40	для него	3	12
41	все это	4	12
42	сказать что	3	11
43	его в	4	11
44	отношению к	2	11
45	только в	7	11
46	никогда не	7	10
47	и с	5	10
48	не только	28	10
49	но и	16	10
50	не в	6	10
51	он не	2	10
52	в том	3	10
53	мы уже	11	10
54	один из	4	10
55	что же	8	10
56	тот же	2	10
57	конечно не	3	10
58	мы должны	10	9
59	к этому	2	9
60	те же	5	9
61	совершенно не	3	9
62	к нему	2	9
63	уже не	4	9
64	и на	7	9
65	мы не	9	9
66	а не	7	9
67	с его	8	9
68	все же	9	8
69	с этим	2	8
70	было бы	7	8
71	и вот	3	8
72	еще не	3	8
73	с другими	2	8
74	а в	5	8
75	в ней	8	8
76	при этом	9	8
77	в каком	2	7
78	так сказать	4	7
79	до конца	2	7
80	в жизни	2	7
81	в то	9	7
82	в себе	10	7
83	хотя бы	18	7
84	и для	3	7
85	отношение к	2	7
86	роль в	3	7
87	я и	2	7
88	не является	5	7
89	того что	4	7
90	но не	2	7
91	с самого	4	7
92	об этом	3	7
93	связь с	2	7
94	в нем	6	7
95	если мы	4	7
96	и к	4	7
97	из них	3	7
98	жизни и	3	7
99	в этой	6	7
100	на самом	3	6
101	для этого	2	6
102	но мы	2	6
103	мы имеем	2	6
104	из этих	2	6
105	человека и	2	6
106	для того	9	6
107	если он	3	6
108	которой мы	4	6
109	в пределах	2	6
110	к тому	4	6
111	что такое	4	6
112	можно сказать	4	6
113	в свою	6	6
114	зрения на	3	6
115	внешнюю речь	2	6
116	же время	7	6
117	в основе	3	6
118	что это	4	5
119	ничего не	8	5
120	внешней речи	4	5
121	в которой	7	5
122	другими словами	7	5
123	от того	3	5
124	во второй	3	5
125	на первый	2	5
126	и те	2	5
127	между ними	3	5
128	в этих	2	5
129	как это	5	5
130	не знает	3	5
131	самого начала	4	5
132	увидим что	2	5
133	внутренней речи	18	5
134	что и	3	5
135	тому что	5	5
136	в своих	2	5
137	это не	3	5
138	той же	7	5
139	в процессе	6	5
140	отнюдь не	10	5
141	того чтобы	7	5
142	не было	2	5
143	в ее	3	5
144	вместе с	5	5
145	человека в	2	4
146	и вообще	2	4
147	эти высказывания	2	4
148	все время	5	4
149	так же	4	4
150	но это	2	4
151	в области	6	4
152	этот процесс	2	4
153	связанных с	5	4
154	нашего сознания	2	4
155	внутренняя речь	5	4
156	на него	4	4
157	этом отношении	2	4
158	внутренней и	3	4
159	если бы	4	4
160	мы увидим	5	4
161	в виду	3	4
162	не всегда	2	4
163	но ведь	6	4
164	свою очередь	4	4
165	только на	3	4
166	может стать	3	4
167	как в	3	4
168	между собой	2	4
169	влияние на	4	4
170	по своему	3	4
171	в котором	3	4
172	связанные с	2	4
173	потому что	7	4
174	и внешней	3	4
175	в голову	3	4
176	как с	2	4
177	этот вопрос	2	4
178	что оно	3	4
179	и т.п	25	4
180	выражение в	3	4
181	не существует	4	4
182	главным образом	3	4
183	в целом	4	4
184	нет и	3	4
185	зависимости от	7	4
186	этом мы	3	4
187	в зависимости	7	4
188	войти в	2	4
189	всех своих	4	4
190	слова и	5	4
191	и то	5	3
192	и от	7	3
193	все то	2	3
194	о них	2	3
195	в сознании	5	3
196	независимо от	5	3
197	нуждается в	3	3
198	и даже	3	3
199	тем же	4	3
200	и как	10	3
201	и содержание	2	3
202	видели что	3	3
203	как не	2	3
204	социального общения	14	3
205	ни один	2	3
206	и при	2	3
207	у нас	4	3
208	одной и	4	3
209	или как	6	3
210	связано с	2	3
211	и ни	2	3
212	чаще всего	3	3
213	себе и	2	3
214	же мы	5	3
215	и той	7	3
216	сих пор	2	3
217	в какой	2	3
218	ведь и	2	3
219	и следовательно	5	3
220	мы в	3	3
221	на этот	2	3
222	не так	3	3
223	ни на	3	3
224	и является	5	3
225	нам в	3	3
226	которое не	2	3
227	о том	4	3
228	человека с	2	3
229	их в	3	3
230	но для	3	3
231	ответ на	3	3
232	мы называем	4	3
233	для всех	2	3
234	в обществе	4	3
235	в одном	4	3
236	что мы	11	3
237	уже в	5	3
238	себя в	4	3
239	на это	4	3
240	для них	2	3
241	мы конечно	2	3
242	между двумя	2	3
243	мы видим	4	3
244	во внутренней	4	3
245	и сам	2	3
246	природы и	2	3
247	в нашем	5	3
248	социальной группы	4	3
249	между тем	3	3
250	да и	4	2
251	человека все	2	2
252	в отношении	2	2
253	вопрос о	2	2
254	или иной	6	2
255	когда мы	6	2
256	той социальной	2	2
257	содержание и	3	2
258	во внешнюю	2	2
259	же такое	2	2
260	бы и	2	2
261	должно быть	2	2
