N	2gram	Tiupa_Vved	Sotsiolo
1	все это	3	7
2	в том	21	5
3	в этом	27	5
4	для нас	4	3
5	не только	32	3
6	и только	2	3
7	в его	9	3
8	не в	12	3
9	и в	23	3
10	она может	2	2
11	дело не	2	2
12	должна быть	3	2
13	отношению к	11	2
14	по отношению	11	2
15	еще не	8	2
16	по природе	2	2
17	только в	9	2
18	что в	6	2
19	тем более	3	2
20	в частности	19	2
21	том что	16	2
22	было бы	4	2
23	таким образом	6	2
24	то же	8	2
25	как будто	6	2
26	и что	2	2
27	к которому	2	2
28	то что	9	2
29	как бы	8	2
30	но и	31	2
31	очевидно что	2	2
32	в конце	3	2
33	или даже	2	2
34	далеко не	5	2
35	может быть	25	2
36	в результате	5	2
