N	3gram	Losev_Vesc	TeoriaLi
1	в том что	9	10
2	в то же	5	8
3	то же время	4	8
4	с другой стороны	3	6
5	более или менее	4	6
6	так или иначе	5	5
7	в данном случае	2	5
8	для того чтобы	2	5
9	не может быть	22	5
10	с точки зрения	6	3
11	с одной стороны	3	3
12	в этом смысле	2	3
13	тем не менее	11	3
14	подобно тому как	5	3
15	можно сказать что	3	3
16	тех или иных	2	3
17	в свою очередь	5	3
18	ту или иную	3	2
19	то ни было	12	2
20	одно и то	5	2
21	бы то ни	12	2
22	не только не	4	2
23	и то же	5	2
24	этой точки зрения	3	2
25	в самом деле	7	2
26	том что он	2	2
27	мы имеем дело	2	2
28	к тому что	2	2
29	с этой точки	3	2
30	и в то	3	2
31	сама по себе	7	2
32	в основе своей	2	2
33	в отношении к	2	2
