N	2gram	Potebnia_M	VeschiIm
1	не есть	13	79
2	и не	34	57
3	не только	32	48
4	то что	24	48
5	не может	30	46
6	и в	58	45
7	и есть	4	40
8	может быть	47	39
9	и т	10	39
10	т д	6	38
11	а не	38	37
12	что я	2	26
13	потому что	89	25
14	было бы	21	24
15	в себе	22	23
16	что она	3	23
17	по себе	24	23
18	только в	36	23
19	сказать что	5	22
20	и что	13	22
21	в смысле	4	22
22	и следовательно	4	20
23	что такое	3	20
24	как бы	12	20
25	с нею	6	19
26	что это	5	19
27	но и	26	19
28	что же	3	19
29	есть только	16	18
30	все же	11	18
31	в этом	18	18
32	есть не	7	17
33	и это	3	17
34	прежде всего	8	17
35	так как	29	17
36	что мы	11	17
37	того что	15	16
38	таким образом	21	16
39	в том	38	15
40	как и	16	15
41	в ней	9	15
42	уже не	4	15
43	не в	23	14
44	и то	4	14
45	но это	7	14
46	том что	21	13
47	а и	5	13
48	не будет	2	13
49	и для	8	13
50	в самом	5	13
51	то ни	3	13
52	в себя	2	13
53	ничего не	2	12
54	иное как	2	12
55	но если	4	12
56	что в	34	12
57	точки зрения	8	12
58	она есть	3	12
59	что и	16	12
60	что они	6	12
61	и как	11	12
62	не что	2	12
63	то же	13	12
64	ни было	4	12
65	еще не	9	12
66	что иное	2	12
67	между собою	10	12
68	и даже	4	12
69	о том	6	12
70	если мы	5	12
71	и с	3	12
72	есть нечто	7	12
73	бы то	2	12
74	в то	6	11
75	не менее	10	11
76	что не	15	11
77	вовсе не	13	11
78	тем не	11	11
79	д и	2	11
80	и их	6	11
81	ни в	2	11
82	и только	6	11
83	крайней мере	6	10
84	в чем	6	10
85	что оно	5	10
86	с ее	2	10
87	по крайней	6	10
88	есть явление	5	9
89	это не	10	9
90	нисколько не	2	9
91	со стороны	11	9
92	так что	23	9
93	в своем	3	9
94	то и	15	9
95	она не	3	9
96	должно быть	9	9
97	хотя бы	4	9
98	бы в	6	9
99	у нас	3	9
100	на то	5	9
101	но не	19	9
102	ни с	2	9
103	но что	2	9
104	и его	7	9
105	с ним	7	9
106	его в	3	8
107	и потому	7	8
108	указывает на	2	8
109	что он	5	8
110	но в	12	8
111	в ее	2	8
112	мы не	17	8
113	себя и	3	8
114	все это	3	8
115	должна быть	4	8
116	с другими	3	8
117	если бы	23	8
118	с тем	9	8
119	что есть	3	8
120	для него	13	8
121	не с	2	8
122	с другой	13	8
123	в действительности	6	7
124	не потому	2	7
125	от того	9	7
126	и тем	5	7
127	из них	2	7
128	самом деле	2	7
129	а в	11	7
130	все эти	3	7
131	в сущности	2	7
132	относится к	5	7
133	никак не	3	7
134	или не	3	7
135	то не	5	7
136	сама по	4	7
137	слова и	7	7
138	тем что	15	7
139	с этой	3	7
140	оно не	4	7
141	мог бы	5	7
142	и тогда	2	7
143	никогда не	7	6
144	в каком	7	6
145	вопрос о	5	6
146	независимо от	15	6
147	для себя	4	6
148	понимать себя	2	6
149	когда мы	4	6
150	и все	6	6
151	в нем	26	6
152	для всякого	3	6
153	между ними	2	6
154	в разных	2	6
155	должны быть	11	6
156	в своей	3	6
157	как мы	3	6
158	одна из	4	6
159	и вообще	5	6
160	бытия и	3	6
161	дело в	3	6
162	и другое	7	6
163	быть только	7	6
164	этот вопрос	2	6
165	их в	2	6
166	из себя	6	6
167	мы говорим	3	6
168	несмотря на	5	6
169	жизни и	3	6
170	с точки	4	6
171	в одном	13	6
172	и если	6	5
173	мы должны	4	5
174	в понятии	2	5
175	должен быть	2	5
176	но тогда	3	5
177	это что	2	5
178	звук и	4	5
179	свою очередь	8	5
180	ничем не	2	5
181	вместе с	12	5
182	себе в	2	5
183	собственно говоря	2	5
184	того же	13	5
185	на себе	3	5
186	даже и	4	5
187	и без	4	5
188	и след	3	5
189	между прочим	5	5
190	тогда когда	15	5
191	то это	8	5
192	мы находим	3	5
193	отлично от	2	5
194	один из	2	5
195	мы видим	5	5
196	в его	7	5
197	хотя и	6	5
198	для этого	2	5
199	на это	2	5
200	во всех	12	5
201	в которой	5	5
202	но совершенно	2	5
203	с а	4	5
204	мысли и	9	5
205	в мысли	13	5
206	ее с	2	5
207	или как	2	5
208	в жизни	5	5
209	подобно тому	7	5
210	что у	2	5
211	что для	5	5
212	все что	5	5
213	в свою	8	5
214	вообще и	2	5
215	есть всегда	2	5
216	только не	2	5
217	или что	3	5
218	как она	3	5
219	тому как	8	5
220	собою и	2	5
221	быть не	7	5
222	если же	5	5
223	оно и	4	4
224	так же	7	4
225	том как	6	4
226	она может	3	4
227	и притом	6	4
228	и у	3	4
229	об отношении	3	4
230	что именно	2	4
231	при помощи	2	4
232	в их	3	4
233	так и	17	4
234	только тогда	7	4
235	который мы	2	4
236	что все	4	4
237	в этой	3	4
238	более или	6	4
239	то время	3	4
240	это будет	5	4
241	этой точки	2	4
242	не то	3	4
243	же не	2	4
244	переходит в	2	4
245	его на	3	4
246	того чтобы	4	4
247	не было	7	4
248	тот же	5	4
249	во всяком	9	4
250	с ними	2	4
251	и от	5	4
252	само по	6	4
253	то в	6	4
254	с этим	11	4
255	судить о	3	4
256	есть в	4	4
257	только то	3	4
258	как оно	2	4
259	к ней	3	4
260	мы можем	10	4
261	на него	6	4
262	по своей	2	4
263	и о	3	4
264	но только	2	4
265	и более	3	4
266	время как	2	4
267	в котором	5	4
268	если это	2	4
269	есть уже	4	4
270	образом и	2	4
271	точке зрения	4	4
272	на этом	3	4
273	не существует	2	4
274	главным образом	4	4
275	или менее	6	4
276	находится в	2	4
277	еще более	2	4
278	сам по	5	4
279	же время	4	4
280	он не	4	4
281	о которой	2	4
282	собственном смысле	2	4
283	и понимания	10	3
284	к одному	3	3
285	что ему	2	3
286	я могу	2	3
287	для человека	3	3
288	из того	3	3
289	для меня	4	3
290	но как	4	3
291	человека и	2	3
292	же есть	2	3
293	вопроса о	2	3
294	но даже	2	3
295	но она	3	3
296	в другом	3	3
297	что из	2	3
298	то мы	4	3
299	чем бы	2	3
300	к ее	2	3
301	себе не	3	3
302	оба эти	2	3
303	только на	4	3
304	нужно было	3	3
305	мы видели	5	3
306	к нему	2	3
307	но оно	3	3
308	к тому	5	3
309	ли в	2	3
310	не понимает	2	3
311	а только	8	3
312	была бы	3	3
313	с в	5	3
314	одной стороны	6	3
315	другой стороны	7	3
316	быть может	6	3
317	различие между	2	3
318	если не	5	3
319	нельзя сказать	2	3
320	в целом	3	3
321	тогда как	10	3
322	и во	6	3
323	заключается в	3	3
324	необходимые для	2	3
325	и может	5	3
326	в истории	8	3
327	только один	3	3
328	не все	3	3
329	могла бы	5	3
330	тем более	2	3
331	в собственном	4	3
332	от этого	2	3
333	применении к	3	3
334	и образ	2	3
335	но уже	2	3
336	только что	4	3
337	и самое	3	3
338	превращается в	2	3
339	для того	8	3
340	как в	18	3
341	нас в	2	3
342	с одной	7	3
343	не мог	3	3
344	вбирает в	2	3
345	но все	4	3
346	сами по	8	3
347	у него	3	3
348	не имеет	9	3
349	явлений и	3	3
350	видели что	2	3
351	в своих	4	3
352	в самой	5	3
353	оно может	2	3
354	есть как	2	3
355	стало быть	6	3
356	допустим что	2	3
357	не можем	5	3
358	на язык	7	3
359	к другому	2	3
360	однако в	4	3
