N	2gram	Vygotskiy_	NovoeSre
1	а не	7	17
2	и в	47	16
3	не может	23	16
4	совсем не	2	12
5	и не	27	11
6	и есть	4	10
7	что в	23	9
8	в том	38	8
9	он не	5	8
10	может быть	20	7
11	как и	19	7
12	в новой	4	7
13	в этом	47	7
14	это есть	6	7
15	никогда не	7	6
16	в высшей	3	6
17	лишь в	3	6
18	ни в	3	6
19	не в	7	6
20	не знает	3	6
21	но это	4	6
22	не только	36	5
23	все это	5	5
24	в нем	6	5
25	с ее	2	5
26	в ней	5	5
27	и к	11	5
28	должно быть	3	4
29	по своему	11	4
30	в них	3	4
31	и для	5	4
32	не имеет	6	4
33	прежде всего	9	4
34	не менее	6	4
35	и потому	3	4
36	то что	40	4
37	о том	5	4
38	это не	6	4
39	потому что	26	4
40	и все	5	4
41	тому как	2	3
42	но и	19	3
43	подобно тому	2	3
44	с другой	7	3
45	в ее	7	3
46	она не	7	3
47	к тому	13	3
48	что такое	2	3
49	в своей	4	3
50	еще не	5	3
51	перейти к	6	3
52	как в	7	3
53	конечно не	2	3
54	не есть	4	3
55	за пределы	2	3
56	сказать что	18	3
57	во всех	9	3
58	вопрос о	9	3
59	это было	2	3
60	наряду с	2	3
61	не означает	4	3
62	в основе	5	3
63	с тем	8	3
64	в одну	2	2
65	время как	7	2
66	зависит от	3	2
67	в себе	14	2
68	что она	8	2
69	к более	3	2
70	и с	5	2
71	одна из	2	2
72	для этого	4	2
73	но не	13	2
74	нет и	4	2
75	что все	6	2
76	и от	6	2
77	не могли	5	2
78	того чтобы	26	2
79	природе и	2	2
80	и это	2	2
81	и заключается	3	2
82	в новом	2	2
83	когда мы	2	2
84	и весь	3	2
85	же как	14	2
86	из ее	3	2
87	а в	3	2
88	все время	3	2
89	но в	9	2
90	том что	28	2
91	мысли в	12	2
92	и на	4	2
93	с этим	5	2
94	есть в	5	2
95	и что	14	2
96	все эти	7	2
97	мы не	10	2
98	движение от	7	2
99	в смысле	9	2
100	вот почему	3	2
101	можно было	7	2
102	это и	7	2
103	переходе от	8	2
104	у него	2	2
105	по существу	2	2
106	с их	2	2
107	как это	7	2
108	другой стороны	3	2
109	так же	26	2
110	так и	8	2
111	могут быть	7	2
112	но для	2	2
113	одной стороны	7	2
114	такой же	4	2
115	в то	10	2
116	не могла	2	2
117	хотя и	4	2
118	связана с	4	2
119	мысли и	13	2
120	мы говорим	2	2
121	должно было	2	2
122	этом смысле	2	2
123	с одной	7	2
124	переход к	4	2
125	том и	3	2
126	и даже	3	2
127	в центре	2	2
128	вместе с	19	2
129	я не	3	2
