N	3gram	Bakhtin_fo	Komedia
1	в том что	4	29
2	к тому же	2	21
3	до сих пор	4	16
4	то же время	13	16
5	в то же	10	16
6	о том что	2	13
7	для того чтобы	11	11
8	в то время	3	11
9	и т п	18	11
10	по отношению к	3	9
11	то время как	2	9
12	с одной стороны	3	9
13	вместе с тем	3	9
14	с самого начала	3	7
15	в связи с	12	6
16	с точки зрения	9	6
17	в том числе	7	6
18	в отличие от	3	6
19	и т д	3	5
20	в этом отношении	5	5
21	о том как	2	5
22	само собой разумеется	2	4
23	так как он	2	4
24	но все же	3	4
25	по сравнению с	3	4
26	на протяжении всего	2	3
27	друг от друга	2	3
28	ни в чем	3	3
29	в соответствии с	2	3
30	в том же	3	3
31	наряду с этим	3	3
32	но и в	5	3
33	друг с другом	5	3
34	том числе и	4	3
35	в чем не	3	3
36	собой разумеется что	2	3
37	равно как и	4	3
38	мы имеем в	2	2
39	в большинстве случаев	2	2
40	на первый план	2	2
41	не похож на	3	2
42	же что и	3	2
43	в нем не	3	2
44	не было и	2	2
45	не только в	6	2
46	так же как	2	2
47	одних и тех	2	2
48	и тех же	2	2
49	как и в	3	2
50	друг за другом	2	2
51	тем более что	2	2
52	одной стороны и	2	2
53	и в то	7	2
54	таким образом и	2	2
55	имеем в виду	3	2
